cluster_size,frequency,percentage
2,1124,64.30205949656751
3,427,24.4279176201373
4,91,5.205949656750572
5,32,1.8306636155606408
6,19,1.0869565217391304
7,12,0.6864988558352403
8,7,0.40045766590389015
9,6,0.34324942791762014
10,6,0.34324942791762014
11,4,0.2288329519450801
12,2,0.11441647597254005
13,1,0.057208237986270026
14,3,0.17162471395881007
15,3,0.17162471395881007
17,3,0.17162471395881007
21,1,0.057208237986270026
23,1,0.057208237986270026
24,1,0.057208237986270026
27,1,0.057208237986270026
33,1,0.057208237986270026
38,1,0.057208237986270026
134,1,0.057208237986270026
406,1,0.057208237986270026
