variant,model,train_total,train_positives,train_negatives,val_f1,val_precision,val_recall,tokens_used,test_f1,test_precision,test_recall,f1,precision,recall
faiss_small,logreg,100,34,66,0.99,0.99,0.99,0,0.8082191780821918,0.7108433734939759,0.9365079365079365,0.99,0.99,0.99
faiss_small,xgb,100,34,66,0.9751243781094527,0.9702970297029703,0.98,0,,,,0.9751243781094527,0.9702970297029703,0.98
faiss_small,rf,100,34,66,0.9748743718592964,0.9797979797979798,0.97,0,,,,0.9748743718592964,0.9797979797979798,0.97
faiss_small,hist_gb,100,34,66,0.9611650485436893,0.9339622641509434,0.99,0,,,,0.9611650485436893,0.9339622641509434,0.99
faiss_small,gb,100,34,66,0.9565217391304348,0.9252336448598131,0.99,0,,,,0.9565217391304348,0.9252336448598131,0.99
faiss_large,hist_gb,600,200,400,0.9850746268656716,0.9801980198019802,0.99,0,0.9037037037037037,0.8472222222222222,0.9682539682539683,0.9850746268656716,0.9801980198019802,0.99
faiss_large,xgb,600,200,400,0.9849246231155778,0.98989898989899,0.98,0,,,,0.9849246231155778,0.98989898989899,0.98
faiss_large,logreg,600,200,400,0.9801980198019802,0.9705882352941176,0.99,0,,,,0.9801980198019802,0.9705882352941176,0.99
faiss_large,rf,600,200,400,0.9795918367346939,1.0,0.96,0,,,,0.9795918367346939,1.0,0.96
faiss_large,gb,600,200,400,0.9753694581280788,0.9611650485436893,0.99,0,,,,0.9753694581280788,0.9611650485436893,0.99
active,gb,2558,200,2358,0.9949748743718593,1.0,0.99,0,0.9312977099236641,0.8970588235294118,0.9682539682539683,0.9949748743718593,1.0,0.99
active,hist_gb,2558,200,2358,0.9949748743718593,1.0,0.99,0,,,,0.9949748743718593,1.0,0.99
active,xgb,2558,200,2358,0.9949748743718593,1.0,0.99,0,,,,0.9949748743718593,1.0,0.99
active,rf,2558,200,2358,0.9850746268656716,0.9801980198019802,0.99,0,,,,0.9850746268656716,0.9801980198019802,0.99
active,logreg,2558,200,2358,0.9847715736040609,1.0,0.97,0,,,,0.9847715736040609,1.0,0.97
faiss_small_plus_random,logreg,120,34,86,0.9850746268656716,0.9801980198019802,0.99,0,0.8082191780821918,0.7108433734939759,0.9365079365079365,0.9850746268656716,0.9801980198019802,0.99
faiss_small_plus_random,xgb,120,34,86,0.9753694581280788,0.9611650485436893,0.99,0,,,,0.9753694581280788,0.9611650485436893,0.99
faiss_small_plus_random,rf,120,34,86,0.9748743718592964,0.9797979797979798,0.97,0,,,,0.9748743718592964,0.9797979797979798,0.97
faiss_small_plus_random,gb,120,34,86,0.9705882352941176,0.9519230769230769,0.99,0,,,,0.9705882352941176,0.9519230769230769,0.99
faiss_small_plus_random,hist_gb,120,34,86,0.9658536585365853,0.9428571428571428,0.99,0,,,,0.9658536585365853,0.9428571428571428,0.99
faiss_large_plus_random,logreg,720,200,520,0.9801980198019802,0.9705882352941176,0.99,0,0.8531468531468531,0.7625,0.9682539682539683,0.9801980198019802,0.9705882352941176,0.99
faiss_large_plus_random,xgb,720,200,520,0.9801980198019802,0.9705882352941176,0.99,0,,,,0.9801980198019802,0.9705882352941176,0.99
faiss_large_plus_random,rf,720,200,520,0.9753694581280788,0.9611650485436893,0.99,0,,,,0.9753694581280788,0.9611650485436893,0.99
faiss_large_plus_random,hist_gb,720,200,520,0.9705882352941176,0.9519230769230769,0.99,0,,,,0.9705882352941176,0.9519230769230769,0.99
faiss_large_plus_random,gb,720,200,520,0.9556650246305418,0.941747572815534,0.97,0,,,,0.9556650246305418,0.941747572815534,0.97
active_plus_random,gb,2969,193,2776,0.9949748743718593,1.0,0.99,0,0.9302325581395349,0.9090909090909091,0.9523809523809523,0.9949748743718593,1.0,0.99
active_plus_random,hist_gb,2969,193,2776,0.99,0.99,0.99,0,,,,0.99,0.99,0.99
active_plus_random,xgb,2969,193,2776,0.99,0.99,0.99,0,,,,0.99,0.99,0.99
active_plus_random,rf,2969,193,2776,0.9850746268656716,0.9801980198019802,0.99,0,,,,0.9850746268656716,0.9801980198019802,0.99
