cluster_size,frequency,percentage
2,16,28.57142857142857
3,3,5.357142857142857
4,4,7.142857142857142
5,2,3.571428571428571
6,1,1.7857142857142856
7,2,3.571428571428571
8,4,7.142857142857142
10,2,3.571428571428571
14,1,1.7857142857142856
15,2,3.571428571428571
19,1,1.7857142857142856
20,1,1.7857142857142856
28,1,1.7857142857142856
33,1,1.7857142857142856
34,1,1.7857142857142856
36,1,1.7857142857142856
40,2,3.571428571428571
46,1,1.7857142857142856
48,1,1.7857142857142856
49,1,1.7857142857142856
59,1,1.7857142857142856
68,1,1.7857142857142856
90,1,1.7857142857142856
109,1,1.7857142857142856
127,1,1.7857142857142856
128,1,1.7857142857142856
138,1,1.7857142857142856
188,1,1.7857142857142856
