Target Column,Products_1,Products_2,Products_3,Products_4
id,id,id,id,id
brand,brand,brand,brand,brand
title,title,title,title,title
description,description,description,description,description
price,price,price,price,price
priceCurrency,priceCurrency,priceCurrency,priceCurrency,priceCurrency
url,product_url,productUrl,Link,link
title_description,title_description,title_description,title_description,title_description
model,model,model,model,model
model_number,model_number,model_number,model_number,model_number
product_type,product_type,product_type,product_type,product_type
chipset_name,chipset_name,chipset_name,chipset_name,chipset_name
vram_gb,vram_gb,vram_gb,vram_gb,vram_gb
storage_gb,storage_gb,storage_gb,storage_gb,storage_gb
read_speed_mb_s,read_speed_mb_s,read_speed_mb_s,read_speed_mb_s,read_speed_mb_s
write_speed_mb_s,write_speed_mb_s,write_speed_mb_s,write_speed_mb_s,write_speed_mb_s
bus_type,bus_type,bus_type,bus_type,bus_type
interface_type,interface_type,interface_type,interface_type,interface_type
width_mm,width_mm,width_mm,width_mm,width_mm
length_mm,length_mm,length_mm,length_mm,length_mm
height_mm,height_mm,height_mm,height_mm,height_mm
weight_g,weight_g,weight_g,weight_g,weight_g
storage_connection_type,storage_connection_type,storage_connection_type,storage_connection_type,storage_connection_type
memory_type,memory_type,memory_type,memory_type,memory_type
color,color,color,color,color
form_factor,form_factor,form_factor,form_factor,form_factor
Mapped,26/26,26/26,26/26,26/26
