cluster_size,frequency,percentage
2,862,19.31436253641049
3,1252,28.052879229218014
4,458,10.262155500784226
5,321,7.19247143177235
6,282,6.318619762491598
7,214,4.794980954514901
8,192,4.302038987228322
9,119,2.66636791395922
10,104,2.3302711180820075
11,68,1.5236388079766972
12,69,1.546045261035178
13,44,0.9858839345731572
14,27,0.6049742325789828
15,39,0.8738516692807529
16,33,0.7394129509298678
17,29,0.6497871386959444
18,26,0.5825677795205019
19,39,0.8738516692807529
20,22,0.4929419672865786
21,17,0.3809097019941743
22,21,0.47053551422809764
23,15,0.33609679587721264
24,18,0.40331615505265517
25,9,0.20165807752632758
26,11,0.2464709836432893
27,9,0.20165807752632758
28,8,0.17925162446784673
29,12,0.2688774367017701
30,12,0.2688774367017701
31,5,0.1120322652924042
32,10,0.2240645305848084
33,3,0.06721935917544253
34,8,0.17925162446784673
35,8,0.17925162446784673
37,3,0.06721935917544253
38,2,0.04481290611696168
39,7,0.1568451714093659
40,3,0.06721935917544253
41,3,0.06721935917544253
42,4,0.08962581223392337
43,2,0.04481290611696168
44,4,0.08962581223392337
45,1,0.02240645305848084
46,2,0.04481290611696168
49,4,0.08962581223392337
50,1,0.02240645305848084
52,1,0.02240645305848084
54,1,0.02240645305848084
55,1,0.02240645305848084
57,5,0.1120322652924042
58,4,0.08962581223392337
60,1,0.02240645305848084
61,1,0.02240645305848084
63,3,0.06721935917544253
66,1,0.02240645305848084
67,2,0.04481290611696168
68,1,0.02240645305848084
69,2,0.04481290611696168
72,1,0.02240645305848084
73,2,0.04481290611696168
74,1,0.02240645305848084
76,1,0.02240645305848084
79,3,0.06721935917544253
80,1,0.02240645305848084
81,1,0.02240645305848084
85,1,0.02240645305848084
86,1,0.02240645305848084
87,1,0.02240645305848084
88,3,0.06721935917544253
90,2,0.04481290611696168
94,1,0.02240645305848084
95,1,0.02240645305848084
97,1,0.02240645305848084
98,2,0.04481290611696168
100,1,0.02240645305848084
104,1,0.02240645305848084
105,1,0.02240645305848084
106,1,0.02240645305848084
108,1,0.02240645305848084
126,1,0.02240645305848084
144,1,0.02240645305848084
151,1,0.02240645305848084
163,1,0.02240645305848084
189,1,0.02240645305848084
195,1,0.02240645305848084
264,1,0.02240645305848084
281,1,0.02240645305848084
768,1,0.02240645305848084
6472,1,0.02240645305848084
