source,attribute,baseline_alignment_rate,n_cells,n_aligned
crossref,authors,0.0,0,0
crossref,first_page,0.0,0,0
crossref,issue,0.0,0,0
crossref,journal,0.0,0,0
crossref,keywords,0.0,0,0
crossref,last_page,0.0,0,0
crossref,publication_year,0.0,0,0
crossref,referenced_works_count,0.0,0,0
crossref,title,0.0,0,0
crossref,type,0.0,0,0
crossref,volume,0.0,0,0
dblp,authors,0.0,0,0
dblp,first_page,0.0,0,0
dblp,issue,0.0,0,0
dblp,journal,0.0,0,0
dblp,keywords,0.0,0,0
dblp,last_page,0.0,0,0
dblp,publication_year,0.0,0,0
dblp,referenced_works_count,0.0,0,0
dblp,title,0.0,0,0
dblp,type,0.0,0,0
dblp,volume,0.0,0,0
open_alex,authors,0.0,0,0
open_alex,first_page,0.0,0,0
open_alex,issue,0.0,0,0
open_alex,journal,0.0,0,0
open_alex,keywords,0.0,0,0
open_alex,last_page,0.0,0,0
open_alex,publication_year,0.0,0,0
open_alex,referenced_works_count,0.0,0,0
open_alex,title,0.0,0,0
open_alex,type,0.0,0,0
open_alex,volume,0.0,0,0
