entity_id,source,attribute,original_value,attempted_format,reason,knob,level
crossref-00424,crossref,first_page,1:1,locale:plain,roundtrip_parse_fail,5,easy
crossref-01569,crossref,first_page,e1005925,locale:plain,roundtrip_parse_fail,5,easy
crossref-01693,crossref,first_page,e1005932,locale:plain,roundtrip_parse_fail,5,easy
crossref-01775,crossref,first_page,e144,locale:plain,roundtrip_parse_fail,5,easy
crossref-01950,crossref,first_page,e1005942,locale:plain,roundtrip_parse_fail,5,easy
crossref-02162,crossref,first_page,e1005973,locale:plain,roundtrip_parse_fail,5,easy
crossref-02247,crossref,first_page,e1005772,locale:plain,roundtrip_parse_fail,5,easy
crossref-02499,crossref,first_page,e1005988,locale:plain,roundtrip_parse_fail,5,easy
crossref-02610,crossref,first_page,e1005960,locale:plain,roundtrip_parse_fail,5,easy
crossref-02705,crossref,first_page,e1005740,locale:plain,roundtrip_parse_fail,5,easy
crossref-02727,crossref,first_page,e1006014,locale:plain,roundtrip_parse_fail,5,easy
crossref-02797,crossref,first_page,e1006013,locale:plain,roundtrip_parse_fail,5,easy
crossref-02800,crossref,first_page,e1005910,locale:plain,roundtrip_parse_fail,5,easy
crossref-02893,crossref,first_page,e1006003,locale:plain,roundtrip_parse_fail,5,easy
crossref-03157,crossref,first_page,e1006018,locale:plain,roundtrip_parse_fail,5,easy
crossref-03195,crossref,first_page,S76,locale:plain,roundtrip_parse_fail,5,easy
crossref-03245,crossref,first_page,e1005963,locale:plain,roundtrip_parse_fail,5,easy
crossref-03443,crossref,first_page,e1006017,locale:plain,roundtrip_parse_fail,5,easy
crossref-03556,crossref,first_page,e1006020,locale:plain,roundtrip_parse_fail,5,easy
crossref-03581,crossref,first_page,e1005995,locale:plain,roundtrip_parse_fail,5,easy
crossref-03617,crossref,first_page,e1006027,locale:plain,roundtrip_parse_fail,5,easy
crossref-03641,crossref,first_page,e1006047,locale:plain,roundtrip_parse_fail,5,easy
crossref-04116,crossref,first_page,e1006056,locale:plain,roundtrip_parse_fail,5,easy
