source_dataset,source_column,target_dataset,target_column,score
dbpedia,id,games,id,1.0
dbpedia,gm_nm,games,name,1.0
dbpedia,launch_yr,games,releaseYear,1.0
dbpedia,studio,games,developer,1.0
dbpedia,system,games,platform,1.0
dbpedia,gnr,games,genres,1.0
dbpedia,franchise,games,series,1.0
metacritic,id,games,id,1.0
metacritic,name,games,name,1.0
metacritic,releaseYear,games,releaseYear,1.0
metacritic,developer,games,developer,1.0
metacritic,platform,games,platform,1.0
metacritic,genres,games,genres,1.0
metacritic,criticScore,games,criticScore,1.0
metacritic,userScore,games,userScore,1.0
metacritic,ESRB,games,ESRB,1.0
sales,id,games,id,1.0
sales,prod_title,games,name,1.0
sales,launch_dt,games,releaseYear,1.0
sales,studio,games,developer,1.0
sales,dist,games,publisher,1.0
sales,hw,games,platform,1.0
sales,genre,games,genres,1.0
sales,press_score,games,criticScore,1.0
sales,comm_rating,games,userScore,1.0
sales,age_class,games,ESRB,1.0
sales,units_sold_mm,games,globalSales,1.0
