cluster_size,frequency,percentage
2,2268,60.51227321237994
3,1148,30.629669156883672
4,153,4.0821771611526145
5,56,1.4941302027748131
6,30,0.8004268943436499
7,18,0.48025613660619
8,17,0.45357524012806827
9,12,0.32017075773745995
10,8,0.21344717182497333
11,2,0.05336179295624333
12,4,0.10672358591248667
13,1,0.026680896478121666
14,4,0.10672358591248667
15,2,0.05336179295624333
16,3,0.08004268943436499
17,1,0.026680896478121666
18,3,0.08004268943436499
21,2,0.05336179295624333
22,1,0.026680896478121666
26,1,0.026680896478121666
27,1,0.026680896478121666
28,1,0.026680896478121666
29,1,0.026680896478121666
31,1,0.026680896478121666
32,1,0.026680896478121666
36,1,0.026680896478121666
37,1,0.026680896478121666
38,1,0.026680896478121666
40,1,0.026680896478121666
46,1,0.026680896478121666
52,1,0.026680896478121666
78,1,0.026680896478121666
82,1,0.026680896478121666
103,1,0.026680896478121666
