id_dblp,id_openalex,label
dblp-54140,open_alex-46205,0
dblp-06986,open_alex-33486,1
dblp-30139,open_alex-48423,0
dblp-30159,open_alex-08075,0
dblp-53141,open_alex-39275,0
dblp-55801,open_alex-21648,1
dblp-33279,open_alex-50844,1
dblp-33033,open_alex-50030,0
dblp-39173,open_alex-07932,0
dblp-58253,open_alex-44819,0
dblp-00734,open_alex-27014,1
dblp-58798,open_alex-14686,0
dblp-39787,open_alex-25505,0
dblp-14312,open_alex-19111,1
dblp-55982,open_alex-49848,0
dblp-21315,open_alex-22008,0
dblp-01259,open_alex-08356,0
dblp-36567,open_alex-37627,0
dblp-60387,open_alex-13626,0
dblp-32212,open_alex-22550,1
dblp-01945,open_alex-57004,0
dblp-31014,open_alex-56292,0
dblp-08322,open_alex-03451,0
dblp-40570,open_alex-00575,0
dblp-46563,open_alex-03122,0
dblp-10811,open_alex-35252,1
dblp-19988,open_alex-52045,0
dblp-19805,open_alex-50607,1
dblp-16073,open_alex-13134,1
dblp-30291,open_alex-55519,1
dblp-09580,open_alex-08903,0
dblp-32915,open_alex-11168,0
dblp-22103,open_alex-06883,0
dblp-26403,open_alex-00984,0
dblp-31619,open_alex-01107,0
dblp-39639,open_alex-42341,0
dblp-17324,open_alex-46174,1
dblp-08528,open_alex-01258,0
dblp-50889,open_alex-47817,0
dblp-01672,open_alex-48080,0
dblp-57041,open_alex-29833,1
dblp-02186,open_alex-38648,1
dblp-28796,open_alex-11082,0
dblp-26808,open_alex-16944,0
dblp-05018,open_alex-16172,1
dblp-24269,open_alex-49659,0
dblp-32200,open_alex-08360,1
dblp-42345,open_alex-39813,1
dblp-50543,open_alex-28243,0
dblp-27754,open_alex-44167,1
dblp-06537,open_alex-34428,0
dblp-42824,open_alex-45735,0
dblp-24696,open_alex-09855,0
dblp-46869,open_alex-37611,0
dblp-52653,open_alex-24666,0
dblp-57933,open_alex-42798,0
dblp-50403,open_alex-14102,1
dblp-45059,open_alex-03555,0
dblp-45300,open_alex-41920,0
dblp-33960,open_alex-31181,0
dblp-08481,open_alex-53407,1
dblp-14883,open_alex-11458,0
dblp-36889,open_alex-40086,0
dblp-48345,open_alex-42620,0
dblp-36078,open_alex-27441,1
dblp-11623,open_alex-02380,0
dblp-14400,open_alex-24992,0
dblp-40608,open_alex-01440,0
dblp-47749,open_alex-50424,1
dblp-19088,open_alex-35101,1
dblp-40946,open_alex-24072,0
dblp-11035,open_alex-28938,1
dblp-30245,open_alex-14657,0
dblp-16807,open_alex-50984,0
dblp-16993,open_alex-44106,0
dblp-06255,open_alex-34751,0
dblp-04235,open_alex-58247,0
dblp-03593,open_alex-15218,0
dblp-01918,open_alex-06585,0
dblp-53180,open_alex-39785,1
dblp-52988,open_alex-49672,0
dblp-06120,open_alex-25513,0
dblp-31866,open_alex-55851,0
dblp-17811,open_alex-13451,0
dblp-09898,open_alex-45840,1
dblp-60359,open_alex-27982,0
dblp-56213,open_alex-09331,0
dblp-22877,open_alex-29010,0
dblp-34599,open_alex-59135,1
dblp-19976,open_alex-36167,1
dblp-24380,open_alex-40720,1
dblp-20740,open_alex-52881,1
dblp-31584,open_alex-46383,0
dblp-24075,open_alex-30913,0
dblp-58362,open_alex-44955,0
dblp-50980,open_alex-48252,0
dblp-11615,open_alex-55582,0
dblp-11299,open_alex-15122,0
dblp-05106,open_alex-23390,0
dblp-02094,open_alex-16140,1
dblp-05778,open_alex-17537,0
dblp-08755,open_alex-54809,0
dblp-19117,open_alex-47300,0
dblp-38856,open_alex-55989,1
dblp-24505,open_alex-24385,0
dblp-48051,open_alex-05134,1
dblp-11291,open_alex-46517,1
dblp-10329,open_alex-43045,1
dblp-20464,open_alex-44975,1
dblp-39177,open_alex-21244,1
dblp-39834,open_alex-56155,0
dblp-42479,open_alex-56858,0
dblp-14230,open_alex-26338,1
dblp-39869,open_alex-23362,0
dblp-54452,open_alex-34616,0
dblp-60322,open_alex-22045,0
dblp-30922,open_alex-31009,0
dblp-33141,open_alex-13047,0
dblp-35626,open_alex-02528,0
dblp-28168,open_alex-53789,0
dblp-17972,open_alex-00948,0
dblp-26981,open_alex-35856,0
dblp-55982,open_alex-17255,0
dblp-29160,open_alex-16812,0
