case,source_dataset,source_column,target_dataset,target_column,score,notes,source_file
companies-augmented-easy,dbpedia,id,Companies,id,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/dbpedia_mapping.csv
companies-augmented-easy,dbpedia,name,Companies,name,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/dbpedia_mapping.csv
companies-augmented-easy,dbpedia,founded,Companies,founded,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/dbpedia_mapping.csv
companies-augmented-easy,dbpedia,country,Companies,country,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/dbpedia_mapping.csv
companies-augmented-easy,dbpedia,city,Companies,city,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/dbpedia_mapping.csv
companies-augmented-easy,dbpedia,industry,Companies,industry,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/dbpedia_mapping.csv
companies-augmented-easy,dbpedia,keypeople,Companies,keypeople,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/dbpedia_mapping.csv
companies-augmented-easy,dbpedia,assets,Companies,assets,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/dbpedia_mapping.csv
companies-augmented-easy,dbpedia,revenue,Companies,revenue,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/dbpedia_mapping.csv
companies-augmented-easy,forbes,id,Companies,id,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/forbes_mapping.csv
companies-augmented-easy,forbes,name,Companies,name,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/forbes_mapping.csv
companies-augmented-easy,forbes,country,Companies,country,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/forbes_mapping.csv
companies-augmented-easy,forbes,industry,Companies,industry,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/forbes_mapping.csv
companies-augmented-easy,forbes,assets,Companies,assets,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/forbes_mapping.csv
companies-augmented-easy,forbes,revenue,Companies,revenue,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/forbes_mapping.csv
companies-augmented-easy,fullcontact,id,Companies,id,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/fullcontact_mapping.csv
companies-augmented-easy,fullcontact,name,Companies,name,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/fullcontact_mapping.csv
companies-augmented-easy,fullcontact,country,Companies,country,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/fullcontact_mapping.csv
companies-augmented-easy,fullcontact,city,Companies,city,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/fullcontact_mapping.csv
companies-augmented-easy,fullcontact,keypeople,Companies,keypeople,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/fullcontact_mapping.csv
companies-augmented-easy,fullcontact,founded,Companies,founded,0.95,llm_based_matching,DI-Bench/runs/augmented/companies/easy/schema_matching/mappings/fullcontact_mapping.csv
