case,source_dataset,source_column,target_dataset,target_column,score,notes,source_file
music,discogs,id,Music Release,id,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/discogs_mapping.csv
music,discogs,title_str,Music Release,name,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/discogs_mapping.csv
music,discogs,performer,Music Release,artist,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/discogs_mapping.csv
music,discogs,pub_dt,Music Release,release-date,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/discogs_mapping.csv
music,discogs,origin_loc,Music Release,release-country,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/discogs_mapping.csv
music,discogs,duration,Music Release,duration,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/discogs_mapping.csv
music,discogs,imprint,Music Release,label,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/discogs_mapping.csv
music,discogs,category,Music Release,genre,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/discogs_mapping.csv
music,discogs,tracks_track-name,Music Release,tracks,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/discogs_mapping.csv
music,lastfm,id,Music Release,id,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/lastfm_mapping.csv
music,lastfm,album_title,Music Release,name,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/lastfm_mapping.csv
music,lastfm,band,Music Release,artist,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/lastfm_mapping.csv
music,lastfm,album_length,Music Release,duration,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/lastfm_mapping.csv
music,lastfm,tracks_track-name,Music Release,tracks,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/lastfm_mapping.csv
music,musicbrainz,id,Music Release,id,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/musicbrainz_mapping.csv
music,musicbrainz,Attribute_2,Music Release,name,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/musicbrainz_mapping.csv
music,musicbrainz,Attribute_3,Music Release,artist,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/musicbrainz_mapping.csv
music,musicbrainz,Attribute_4,Music Release,release-date,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/musicbrainz_mapping.csv
music,musicbrainz,Attribute_5,Music Release,release-country,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/musicbrainz_mapping.csv
music,musicbrainz,Attribute_6,Music Release,duration,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/musicbrainz_mapping.csv
music,musicbrainz,Attribute_9,Music Release,tracks,0.95,llm_based_matching,DI-Bench/runs/music/schema_matching/mappings/musicbrainz_mapping.csv
