id,t,ar,rd,rc,du,lb,g,tk
mbrainz_1,Fermats Theorem / Sight Beyond,John B,1996,United Kingdom of Great Britain and Northern Ireland,17m 35s,,,"['Fermats Theorem', 'Sight Beyond']"
mbrainz_2,Tempest / Inner Sense by Tohoku Zunko,Psychosis,1998-12-14,United Kingdom of Great Britain and Northern Ireland,724,,,"['Tempest', 'Inner Sense']"
mbrainz_3,The Sign's Alive,Ly0kc,2000,United of America,39:44,,,
mbrainz_4,Surrender,Petalpush,1999,USA,27:06,,,
mbrainz_6,Unreasonable Behaviour,"Garnier, Laurent",24.07.2000,France,4145,,,"['The Warning', 'City Sphere', 'Forgotten Thoughts', 'The Sound of the Big Babou', 'Unreasonable Behaviour', ""Cycles d'oppositions"", 'The Man With the Red Face', 'Communications From the Lab', 'Greed, Part 1 + 2', 'Dangerous Drive', 'Downfall', 'Last Tribute From the 20th Century', 'Acid Eiffel', 'Smart Move', 'Madness', 'Last Tribute From the 20th Century', 'Communications From the Lab']"
mbrainz_7,In the Spirit,"Trent, Ron",01/01/1999,United Kingdom of Great Britain and Northern Ireland,,,,"['In the Spirit (The Full Experience)', 'In the Spirit (Kada)', 'In the Spirit (Guitar Alchemy)']"
mbrainz_8,The Dance,"Gallery Collective, The",01/01/1996,United States of America,31:09,,,"['The Dance (The Full Gallery mix)', 'The Dance (Saxxy instrumental mix)', 'The Dance (Sleezy dub mix)']"
mbrainz_9,Come of Age,,1994-01-01,UK,24:23,,,"['Bliss', 'Tunnel Vision', 'Catch the Sun', 'Mystic Vibrations']"
mbrainz_11,Electronically Tested,Surgeon,01.01.1995,United Kingdom of Great Britain and Northern Ireland,0:26:53,,,"['Barrier Method', 'Pork Machine', 'Language Barrier', 'Machine Language']"
mbrainz_15,The Return / Back to the Future,Alpha Omega,2000-09-01,United Kingdom of Great Britain and Northern Ireland,13:59,,,
mbrainz_16,Open Spaces / Science Fusion,Spirit,01.01.1996,United Kingdom of Great Britain and Northern Ireland,,,,"['Open Spaces', 'Science Fusion']"
mbrainz_17,The Music in Me,"Johnson, Paul",1994-01-01,United States of America,0:00,,,"['The Music in Me', 'Slinky', ""Y'all Stole Them Dances"", 'Life in the Jungle', 'Soft Spot']"
mbrainz_19,On and On,GH-106,01/01/1997,United Kingdom of Great Britain and Northern Ireland,0,,,"['XJ6', 'Fantasy', 'On and On']"
mbrainz_21,Second Area / Think Tank,Inigo,2001,United Kingdom of Great Britain and Northern Ireland,0:00,,,"['Second Area', 'Think Tank']"
mbrainz_22,U.F.Orb,"Orb, The",,United States of America,4437,,,"['O.O.B.E.', 'U.F.Orb', 'Blue Room', 'Towers of Dub', 'Close Encounters', 'Majestic', 'Sticky End']"
mbrainz_23,Psychic Driving,Feral,03/01/2000,United States of America,26:35,,,"['Psychic Driving (Wamdue remix)', 'TSK', 'Psychic Driving', 'Borderlands']"
mbrainz_25,Purple Eggs,Subcode,01.01.2000,United States of America,13:26,,,
mbrainz_26,Spiritual Insurrection Mixes,"Claussell, Joe",01/01/2000,States of America,0s,,,
mbrainz_27,The Travellers' Dream (release),Aedena Cycle,01/01/1994,Belgium,1822,,,"[""The Travellers' Dream"", 'The Dreamshadow', 'Ciguri', 'Pharagonesia']"
mbrainz_30,Ascensionism,"Bone, Richard",2000,USA,44m 37s,,,"['Waters of Assiyah', 'Sister Samadhi', 'Kavvannah', 'Ariel Dane & The Seraphim Swing', ""Walkin' With the Dharma Bums"", 'Ascensionism', 'Jhana', ""Sultry Sally's Meditation Alley"", 'The Continuing Adventures of Jet Swami', '[untitled]']"
mbrainz_31,Let Go / Deception,Teebee,2000-01-01,United Kingdom of Great Britain and Northern Ireland,0,,,"['Let Go', 'Deception']"
mbrainz_32,Up All Night / Take Control,,25.06.2001,United Kingdom of Great Britain and Northern Ireland,0:00,,,"['Up All Night', 'Take Control']"
mbrainz_33,Take California and Party,Propellerheads,01.01.1999,United Kingdom of Great Britain and Northern Ireland,805,,,"['Take California and Party', 'Take California']"
mbrainz_37,Beyond the Dance,Rhythim Is Rhythim,01.01.1989,United States of America,0:00,,,"['Beyond the Dance (Cult mix)', 'Beyond the Dance (Bizzarro mix)', 'Sinister (Trolley mix)']"
mbrainz_38,Tribal Liberation,"Duke, DJ",01/01/1999,States of America,0:00,,,"['Tribal Journey (The Sun mix)', 'Tribal Journey (The Earth mix)', 'Tribal Journey (The Moon Beats)']"
mbrainz_39,Soundtracks for Broken Video Games,S.I.N.E. W.A.V.E.,2000-01-01,United States of America,0s,,,"['Telecommunication', 'Networking 3401', 'Thought Process', 'Contact', 'Robot']"
mbrainz_40,,Bougie Soliterre,01.01.2000,United Kingdom of GreatBritain and Northern Ireland,0s,,,"['Common Thread (main horn mix)', 'Superficial', 'Got the Bug', 'Something (main vocal mix)', 'Besides You (main vocal mix)', 'Magical Moments (Audio Rogue mix)', ""Bougez (Bougie's main horn mix)"", 'Miles Away (People People main mix)']"
mbrainz_45,The Fallen / State of Mind,Corellian,2000-01-01,United Kingdom of Great Britain and Northern Ireland,0s,,,
mbrainz_47,Beyond the Ozone EP,,01.01.1998,United Kingdom of Great Britain and Northern Ireland,0:00:00,,,"['Ginger Biscuit', 'Blue Lights', 'Beyond the Ozone', 'The Skipper']"
mbrainz_48,Resurrection EP (album),Mampi Swift,2001-04-01,United Kingdom of Great Britain and Northern Ireland,0:00,,,"['Resurrection', 'Jaws 2', 'Illusions', 'Trippin']"
mbrainz_49,Halcyon Days,Mikael Delta,2001,United Kingdom of Great Britain and Northern Ireland,1:10:20,,,"['Postcards From You', 'In My Heart', 'Melt', 'Diving', 'Halcyon Days', 'The Dawn', 'Body Feedback', 'The Way You Touch My Soul', 'My Brother Says', 'Time Will Show', ""Love Don't Matter"", 'Milk & Honey', 'Deep Indigo', 'Holy Water']"
mbrainz_50,Cobalt Nightmare Mixes,Arty Gruber,1999-01-01,United Kingdom of Britain and Northern Ireland,0:00,,,
mbrainz_52,Trippin' on Broken Beats,Omni Trio,1996-01-01,United Kingdom of Great Britain and Northern Ireland,0:13:24,,,"[""Trippin' on Broken Beats"", 'Soul of Darkness (Promenade 96 Rollout)']"
mbrainz_53,The Future Is on Fire,"Morgenstern,",02/28/2000,,0:00,,,"['The Future Is on Fire, Part 1', 'The Future Is on Fire, Part 2', 'The Future Is on Fire, Part 3', 'The Future Is on Fire, Part 4']"
mbrainz_54,Prevention Beyond Cause,"Ruskin, James",1999-06-04,United Kingdom of Great Britain and Northern Ireland,0s,,,"['[untitled]', '[untitled]', '[untitled]', '[untitled]', '[untitled]']"
mbrainz_56,Minute Details,"Funker, Herman, III",1997-10-31,United Kingdom of Great Britain and Northern Ireland,0:00,,,"['Minute Details', 'Joint Elephant', 'Speaking in Tongues', 'Evidence']"
mbrainz_57,TZ Goes Beyond 10!,Outlander feat.,1992-01-01,Belgium,24:04,,,"['Psycho Tribe', 'Sonic Assault', 'To You', 'Prime Instinct']"
mbrainz_59,Voodoopussy (orig.),Voodooamt,1998,Germany,13:09,,,
mbrainz_60,Voodoo,Monika Kruse @ Voodooamt,03/01/1998,Federal Republic of Germany,17:52,,,"['Voodoo', 'Screwdriver', 'Itchy']"
mbrainz_61,The Contino Sessions,Death in Vegas,1999-09-22,Japan,1h 14s,,,"['Dirge', 'Soul Auctioneer', 'Death Threat', 'Flying', 'Aisha', 'Lever Street', 'Aladdinâ€™s Story', 'Broken Little Sister', 'Neptune City', ""Luther's Funk"", 'Blood Yawning']"
mbrainz_64,Still Life,Amongst Myselves,2001-06-0,Australia,1h 1m 24s,,,"[""Ra's Playground"", 'Shepherds of the Rings', 'The Ground Melts', 'Ship of Dreams', 'Safe in Narwang Baru', 'Encounter at the Bay', ""Lowell's Legacy"", 'Darkness', 'Relics of an Early Universe']"
mbrainz_66,Trouble / Daylight,Q Project,01.01.2001,United Kingdom of Great Britain and Northern Ireland,0s,,,"['Trouble', 'Daylight']"
mbrainz_67,Violator,"Varley, Gez",2001-01-01,6ermony,0:00,,,"['Violator', 'Violator (S.R.I. remix)', 'Violator (Thomas P. Heckmann remix)', 'Violator (Stewart Walker remix)']"
mbrainz_68,Quiet Is the New Loud,"Remote Viewer, The",2000,United Kingdom of Great Britain and Northern Ireland,0:00,,,"['How Did We Get It So Wrong?', 'A Lot of Ifs (Inzamam)', 'Press It On', 'Quiet Is the New Loud', 'Does It Take Turn', 'Slowly, in Waves']"
mbrainz_69,To Let Go,"Romanenko, Mikael",2001,United Kingdom of Great Britain and Ireland,29m 29s,,,
mbrainz_70,Spirit (album),Cunnie Williams,01/01/2001,Germany,0:00:00,,,
mbrainz_71,Surrender Now,Progression,01.01.2000,United States of America,o,,,"['Surrender Now', 'Tribal Dub', 'Drums of Life']"
mbrainz_72,Spaces,Esa,2001-06-26,Belgium,1954,,,"['Pond Assemblage', 'Med Test', 'Space']"
mbrainz_73,Yesterday Was Dramatic - Today Is OK,mÃºm,2007,Japan,1:07:33,,,"['Iâ€™m 9 Today', 'Smell Memory', 'There Is a Number of Small Things', 'Random Summer', 'Asleep on a Train', 'Awake on a Train', 'The Ballad of the Broken Birdie Records', 'The Ballad of the Broken String', 'Sunday Night Just Keeps on Rolling', 'Slow Bicycle']"
mbrainz_74,To the Music,Mojolators,01/01/2000,United States of America,8:57,,,"['To the Music', 'Drifting']"
mbrainz_75,Dance EP,"Greene, Greg",1999-01-01,United Kingdom of Great Britain and Northern Ireland,0:00,,,"['After the Dance (Pagan edit)', 'After the Dance (Rob Mello remix)']"
mbrainz_76,Enchanting Signs,Beanfield,01/01/1999,Germany,28m 30s,,,
mbrainz_77,Momentum / Immersion,Deep Blue,2001,United Kingdom of Great Britain and Northern Ireland,893,,,"['Momentum', 'Immersion']"
mbrainz_78,Joyride,Benjamin Diamond,01/01/2000,France,0:00,,,"['Joyride', 'Joyride (dub)']"
mbrainz_79,On the Dancefloor EP,"Griffin, Willie",2001-07,United Kingdom of Great Britain and Northern Ireland,0,,,"['On the Dancefloor', 'Classic Fingers', 'Mystical Journey']"
