matcher,threshold,f1,precision,recall,true_positives,false_positives,false_negatives,classifier,use_probabilities,n_features,hyperparams,string_similarity_function,string_tokenization,n_comparators
MLBasedMatcher,0.3,0.5901639344262295,0.5,0.72,72,72,28,logreg,True,60.0,"{'C': 10.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'max_iter': 1000, 'multi_class': 'deprecated', 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': False}",,,
RuleBasedMatcher,0.5,0.5220338983050848,0.39487179487179486,0.77,77,118,23,,,,,jaro_winkler,,6.0
MLBasedMatcher,0.4,0.5161290322580644,0.5581395348837209,0.48,48,38,52,logreg,True,60.0,"{'C': 10.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'max_iter': 1000, 'multi_class': 'deprecated', 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': False}",,,
RuleBasedMatcher,0.4,0.5103092783505155,0.34375,0.99,99,189,1,,,,,jaro_winkler,,6.0
RuleBasedMatcher,0.6,0.5085714285714286,0.356,0.89,89,161,11,,,,,overlap,char,6.0
MLBasedMatcher,0.3,0.5074626865671642,0.504950495049505,0.51,51,50,49,xgboost,True,60.0,"{'objective': 'binary:logistic', 'colsample_bytree': 0.8, 'enable_categorical': False, 'eval_metric': 'logloss', 'learning_rate': 0.05, 'max_depth': 3, 'missing': nan, 'n_estimators': 100, 'scale_pos_weight': 10.005681818181818, 'subsample': 0.8, 'use_label_encoder': False}",,,
RuleBasedMatcher,0.3,0.5063291139240507,0.3389830508474576,1.0,100,195,0,,,,,cosine,char,6.0
RuleBasedMatcher,0.5,0.5037783375314862,0.3367003367003367,1.0,100,197,0,,,,,overlap,char,6.0
RuleBasedMatcher,0.3,0.5012531328320802,0.33444816053511706,1.0,100,199,0,,,,,jaro_winkler,,6.0
RuleBasedMatcher,0.3,0.5,0.3333333333333333,1.0,100,200,0,,,,,overlap,char,6.0
RuleBasedMatcher,0.4,0.5,0.3333333333333333,1.0,100,200,0,,,,,overlap,char,6.0
RuleBasedMatcher,0.4,0.49856733524355307,0.3493975903614458,0.87,87,162,13,,,,,cosine,char,6.0
RuleBasedMatcher,0.3,0.49738219895287955,0.33687943262411346,0.95,95,187,5,,,,,sorensen_dice,char,6.0
RuleBasedMatcher,0.3,0.49169435215946844,0.3681592039800995,0.74,74,127,26,,,,,jaccard,char,6.0
RuleBasedMatcher,0.4,0.48916408668730654,0.3542600896860987,0.79,79,144,21,,,,,sorensen_dice,char,6.0
RuleBasedMatcher,0.3,0.48433048433048426,0.3386454183266932,0.85,85,166,15,,,,,monge_elkan,word,2.0
RuleBasedMatcher,0.4,0.48000000000000004,0.336,0.84,84,166,16,,,,,monge_elkan,word,2.0
RuleBasedMatcher,0.5,0.48000000000000004,0.336,0.84,84,166,16,,,,,monge_elkan,word,2.0
RuleBasedMatcher,0.7,0.4478764478764478,0.36477987421383645,0.58,58,101,42,,,,,monge_elkan,word,2.0
RuleBasedMatcher,0.8,0.4478764478764478,0.36477987421383645,0.58,58,101,42,,,,,monge_elkan,word,2.0
RuleBasedMatcher,0.6,0.4461538461538462,0.3625,0.58,58,102,42,,,,,monge_elkan,word,2.0
RuleBasedMatcher,0.9,0.441860465116279,0.36075949367088606,0.57,57,101,43,,,,,monge_elkan,word,2.0
RuleBasedMatcher,0.5,0.43999999999999995,0.36666666666666664,0.55,55,95,45,,,,,cosine,char,6.0
RuleBasedMatcher,0.5,0.4396551724137931,0.38636363636363635,0.51,51,81,49,,,,,sorensen_dice,char,6.0
RuleBasedMatcher,0.7,0.43523316062176165,0.45161290322580644,0.42,42,51,58,,,,,overlap,char,6.0
