id1,id2,label,is_hard
3957588,52499748,1,False
25980043,28803055,1,False
39143445,6875909,1,False
20919659,30048111,1,False
31158408,90993338,0,False
9545127,22207502,1,False
27965637,85694947,0,False
36829921,10862342,0,False
45252731,59933939,1,False
48951428,44802924,0,True
51563635,45388399,1,False
46891078,32190901,1,False
60294267,26977607,1,False
87560329,66581304,1,False
6477979,31729426,0,False
9210121,32492686,0,False
28212814,18197151,1,False
62078047,22696080,1,False
74413605,55105128,0,True
66284906,95303225,1,False
44618699,55105128,0,True
62197544,21436548,1,False
48951428,67818648,0,False
51563635,15243561,0,True
98557440,75418922,1,False
21357223,32492686,0,False
26285820,43524915,1,False
74664189,78645105,0,False
40657837,12601891,1,False
63475263,15694691,1,False
790322,81370212,1,False
1367517,77229645,0,True
73035052,15081125,1,False
87430670,15694691,0,False
28204167,54699332,1,False
5541784,45388399,0,True
91998940,33164035,0,True
75436923,81589317,1,False
18241261,59371044,1,False
24673290,22519203,1,False
12120697,81370212,0,True
62078047,77229645,0,True
37366005,76155229,1,False
35479899,74115015,0,True
9291809,96067120,1,False
30865647,33164035,0,False
98009535,95303225,0,False
88855243,67087419,0,True
9004260,87528676,1,False
70715850,51881114,1,False
17093585,22018468,1,False
89520680,32586695,0,True
6817605,45991513,1,False
77251182,92930814,0,False
52437198,31291687,0,True
28204167,7206236,0,False
45702055,25536211,0,True
62817036,57419163,0,False
37366005,77596659,0,True
61937132,24308656,0,False
84816822,46182260,1,False
35022778,16526774,1,False
14296399,51893803,1,False
80703508,86024202,0,True
36863105,23123467,0,True
10126197,13323054,0,False
4425308,4125396,1,False
77093147,18197151,0,False
1252810,60975501,1,False
74635538,98406611,1,False
21153036,22615150,1,False
84816822,92929142,0,False
74017051,67318157,1,False
9545127,71377449,0,False
86835292,43921466,1,False
2967922,88783737,0,False
9830579,52774015,1,False
1088849,21085676,1,False
40849883,36258612,0,False
5603029,79322922,0,False
23766798,66752889,0,True
39143445,19411291,0,False
50232345,71536635,0,False
89199142,58877869,1,False
30865647,8294669,1,False
34392254,11410160,1,False
52172790,97231319,1,False
84127875,53548309,0,False
52216082,19411291,1,False
6850120,49271093,0,False
1051429,33164035,0,False
47930825,12425146,0,True
33916475,50672860,0,False
25909923,65902732,1,False
21120112,97121064,0,False
14728561,45128854,1,False
33650372,87292025,1,False
33662403,86024202,1,False
47930825,23123467,0,True
40849883,94023120,0,True
77651287,94023120,0,True
62817036,69577580,1,False
94807470,79085544,1,False
21663730,50360533,1,False
67375798,61050661,0,False
64204030,17106657,0,False
51788229,94023120,1,False
74655572,80344423,0,False
6480791,50672860,0,False
9752639,22599611,1,False
49241259,8389373,1,False
74635538,96342701,0,False
17885462,52397662,0,False
10006478,30048111,0,False
15730411,51002400,0,False
53763929,81376715,1,False
64204030,9127388,1,False
45550541,7351682,1,False
62078047,49443304,0,False
77791574,25536211,1,False
