id1,id2,label,is_hard
28212814,12404184,0,False
64499444,40744627,1,False
7131523,96606457,0,True
32159667,68616904,1,False
27166335,41720223,0,False
23766798,60926906,1,False
10164790,20390207,0,False
24041154,92228530,0,True
31158408,44123496,1,False
43837358,74956462,0,False
4330,51061090,1,False
33743161,68229314,1,False
67266823,31726913,1,False
4425308,18687923,0,True
73035052,10627843,1,False
98009535,85884739,0,True
30526558,37026032,0,False
43481409,97997914,0,False
9931826,91452319,0,True
26366372,55820273,1,False
42551174,10391772,0,False
36863105,30606247,1,False
17093585,4648146,1,False
40849883,14365536,0,True
77791574,24856378,1,False
46066406,74921256,1,False
70715850,18207118,0,False
21153036,35054140,0,True
24673290,37879130,0,False
43481409,36518944,0,True
63475263,69004107,0,False
92869360,36983299,1,False
65406066,75658571,0,False
58505382,72591161,1,False
70715850,18031980,0,True
88855243,37351978,1,False
9004260,23535389,0,False
52172790,38836785,0,True
5541784,36246279,0,False
34118962,83073102,1,False
50232345,91452319,0,True
7808986,18207118,0,False
88407990,33355653,1,False
33662403,10391772,0,False
3323341,69004107,0,True
45550541,71212847,1,False
25537521,40744627,0,True
5603029,23211539,0,True
58685745,68665486,1,False
63669867,20203774,1,False
50064518,26738061,1,False
64499444,89923273,0,False
65522262,56232630,1,False
65406066,59032057,1,False
44551871,64356572,0,False
30526558,31407039,0,True
20317030,17899082,0,False
53763929,65598015,1,False
17885462,34253861,1,False
14210025,17671245,0,True
26366372,4392484,0,False
9830579,36983299,0,True
28212814,40032101,1,False
44486080,64334870,0,False
58505382,90625496,0,True
10164790,75658571,1,False
1367517,36875298,1,False
26377693,9631991,0,False
26441327,91897985,0,True
51788229,9631991,0,False
45252731,95051535,0,True
1088849,18576054,1,False
25980043,22684792,1,False
15497680,18920928,1,False
1213105,19590182,1,False
13661943,26452947,1,False
44559075,20847402,0,False
32159667,20462564,0,True
11218658,18687923,0,True
93115467,23646540,0,False
34392254,15658592,1,False
3957588,28601651,0,False
88850217,87163778,1,False
93115467,57030114,1,False
70715850,20462564,1,False
77651287,14787728,1,False
22415142,39434551,0,True
50240914,53182019,1,False
52518330,42589927,0,False
90249643,42589927,1,False
25909923,74956462,0,False
1252810,53357791,0,True
74655572,30355136,1,False
9545127,60257394,1,False
64204030,53357791,0,False
61937132,4486239,0,True
78427880,48184346,0,False
45252731,35054140,1,False
78427880,62958901,1,False
2967922,81739529,0,False
35479899,13750671,0,False
87560329,35648212,1,False
53763929,17952251,0,False
33662403,9631991,1,False
25909923,42008504,0,True
43481409,30923260,1,False
61107059,49739678,0,False
33428043,96130409,0,True
88407990,31447687,0,True
13661943,91452319,0,True
74017051,29935211,0,True
52172790,96130409,0,False
61107059,20462564,0,True
44551871,17899082,1,False
74664189,28601651,1,False
19807424,64356572,1,False
20919659,23535389,1,False
72380436,18207118,1,False
92213757,50853852,1,False
67844012,86735831,0,True
92213757,4486239,0,False
22415142,48184346,1,False
12120697,1707364,1,False
10958685,80826544,1,False
28204167,44593789,1,False
92869360,83850638,0,False
14210025,11833679,1,False
36829921,23646540,0,False
24673290,18997869,1,False
46891078,4497800,1,False
6817605,29935211,0,True
62202191,81293471,0,False
62197544,49082586,0,True
61402118,41720223,1,False
61937132,80826544,0,False
77093147,83073102,0,False
91998940,86735831,1,False
9830579,18207118,0,False
54859186,26738061,0,False
29807017,37026032,0,True
89199142,81739529,1,False
34118962,91452319,0,True
94807470,78086660,1,False
22415142,20203774,0,False
30526558,44593789,0,True
14296399,47613152,1,False
35022778,4392484,1,False
4425308,54630603,1,False
5541784,17952251,1,False
64499444,36875298,0,False
46925007,70151903,1,False
33428043,13750671,0,False
20919659,51061090,0,True
51886539,91452319,0,True
10966509,21668308,0,False
84816822,20847402,1,False
85773146,8389372,1,False
75436923,97997914,1,False
27166335,81293471,1,False
60294267,81285148,0,False
72112341,34253861,0,False
1051429,17671245,1,False
24446703,92228530,0,True
33743161,31447687,0,True
10126197,77221551,1,False
18406024,91452319,1,False
24446703,22323468,0,False
6477979,74146632,0,False
35008093,542014,1,False
