id,br,t,dsc,amt,ccy,cluster_id,Link,tdsc,m,mno,ptyp,cn,vrm,stg,rs,ws,bt,it,wd,ln,ht,wt,sc,mt,col,ff
products_3_46320085,Gigabyte,GIGABYTE GeForce RTX 3080 GAMING OC 10G GRAPHICS CARD (GV-N3080GAMING OC-10GD),To Avail the offer Click Here,"85,969.06",INR,1002037,https://www.pcstudio.in/product/gigabyte-geforce-rtx-3080-gaming-oc-10g-graphics-card,GIGABYTE GeForce RTX 3080 GAMING OC 10G GRAPHICS CARD (GV-N3080GAMING OC-10GD). Description: To Avail the offer Click Here,GeForce RTX 3080 GAMING OC 10G,GV-N3080GAMING OC-10GD,GPU,,10.0,,,,,,,,,,,,,
products_3_91583813,Western Digital,WD Blue 6TB SATA3 256MB 3.5' 5400RPM 6Gb/s HDD,"Western Digital WD Blue 3.5-inch PC hard drives deliver solid reliability for office and web applications, and they are perfect for extra storage for desktop PC computing. Specifications Cache 256MB Capacity 6TB Form Factor 3.5 inch Interface SATA Misc.Product FamilyRPM 5400 RPM Series WD Blue PC/MAC Warranty 2 Years Weight 0.64 KG",326.67,AUD,1004942,https://netplus.com.au/products/wd-blue-6tb-sata3-256mb-3-5-5400rpm-6gb-s-hdd,"WD Blue 6TB SATA3 256MB 3.5' 5400RPM 6Gb/s HDD. Description: Western Digital WD Blue 3.5-inch PC hard drives deliver solid reliability for office and web applications, and they are perfect for extra storage for desktop PC computing. Specifications Cache 256MB Capacity 6TB Form Factor 3.5 inch Interface SATA Misc.Product FamilyRPM 5400 RPM Series WD Blue PC/MAC Warranty 2 Years Weight 0.64 KG",Blue WD,,HDD,,,"5,587.94 GiB",,,SATA,SATA III,,,,,,,,3.5-inch
products_3_86850217,Corsair,SSD 960GB Corsair Force MP510 NVMe,SSD 960GB Corsair Force MP510 NVMe,"2,721.49",SEK,1007272,https://www.nordwaystore.se/ssd-960gb-corsair-force-mp510-nvme,SSD 960GB Corsair Force MP510 NVMe. Description: SSD 960GB Corsair Force MP510 NVMe,Force Series MP510,,SSD,,,,,,,NVMe,,,,,,,,
products_3_33177591,Gigabyte,Gigabyte GV-N166SOC-6GD graphics card NVIDIA GeForce GTX 1660 SUPER 6 GB GDDR6,"Gigabyte GV-N166SOC-6GD, GeForce GTX 1660 SUPER, 6 GB, GDDR6, 1920 bit, 7680 x 4320 pixels, PCI Express x16 3.0",,EUR,1028734,https://www.copaco.com/en-be/hardware/gigabyte-gv-n166soc-6gd-graphics-card-nvidia-geforce-gtx-1660-super-6-gb-gddr6-gig-gv-n166soc-6gd,"Gigabyte GV-N166SOC-6GD graphics card NVIDIA GeForce GTX 1660 SUPER 6 GB GDDR6. Description: Gigabyte GV-N166SOC-6GD, GeForce GTX 1660 SUPER, 6 GB, GDDR6, 1920 bit, 7680 x 4320 pixels, PCI Express x16 3.0",GV-N1665OC-6GD,GV-N166SOC-6GD,GPU,,6.O,,,,PCI Express x16,,,,,,,,,
products_3_69693971,MSI,MSI V375-040R grafikkort GeForce GTX 1660 Ti 6 GB GDDR6,"Grafikkort, NVIDIA GeForce GTX 1660 Ti Overclocked (Core clock 1500 MHz / Boost clock 1875 MHz), 1536 CUDA kerner, 6 GB GDDR6 (Memory clock 12 GHz) - 192-bit, PCI Express 3.0 x16, 1 x HDMI 2.0b / 3 x DisplayPort 1.4 tilslutninger, understøtter NVIDIA G-Sync, 1 x 8-pins strømstik, kortlængde: 247mm - MSI Twin Frozr low noise cooler - GTX 1660 Ti GAMING X 6G","3,054.04",DKK,1029916,https://extremegaming.dk/vare/msi-v375-040r-grafikkort-geforce-gtx-1660-ti-6-gb-gddr6,"MSI V375-040R grafikkort GeForce GTX 1660 Ti 6 GB GDDR6. Description: Grafikkort, NVIDIA GeForce GTX 1660 Ti Overclocked (Core clock 1500 MHz / Boost clock 1875 MHz), 1536 CUDA kerner, 6 GB GDDR6 (Memory clock 12 GHz) - 192-bit, PCI Express 3.0 x16, 1 x HDMI 2.0b / 3 x DisplayPort 1.4 tilslutninger, understøtter NVIDIA G-Sync, 1 x 8-pins strømstik, kortlængde: 247mm - MSI Twin Frozr low noise cooler - GTX 1660 Ti GAMING X 6G",GTX 1660 Ti GAMING X 6G,V375-040R,GPU,GeForce GTX 1660 Ti,6.0,,,,PCI Express x16,,,,,,,,,
products_3_93023962,Asus,Asus ROG Strix GeForce RTX 2080 Super Advanced 8GB Gaming Graphics Card,"Cuda Cores: 3072, Boost Clock: 1860MHz, GDDR6, 256-bit Memory, Mem Clock: 15.5Ghz, Ray Tracing, 2 x DisplayPort, 2 x HDMI, 1 x Type-C, 3 yr Warranty",,,1036963,https://www.novatech.co.uk/products/asus-rog-strix-geforce-rtx-2080-super-advanced-8gb-gaming-graphics-card/rog-strix-rtx2080s-a8g-gaming.html,"Asus ROG Strix GeForce RTX 2080 Super Advanced 8GB Gaming Graphics Card. Description: Cuda Cores: 3072, Boost Clock: GDDR6, 256-bit Memory, Mem Clock: 15.5Ghz, Ray Tracing, 2 x DisplayPort, 2 x HDMI, 1 x Type-C, 3 yr Warranty",ROG Strix GeForce RTX 2080Super Advanced 8GB Gaming,,,GeForce RTX 2080 Super,8.0,,,,,,,,,,,GDDR6,,
products_3_89923273,Asus,ASUS 90YV0DQ0-M0NA00 scheda video GeForce RTX 2060 SUPER 8 GB GDDR6,"ASUS 90YV0DQ0-M0NA00, GeForce RTX 2060 SUPER, 8 GB, GDDR6, 256 bit, 7680 x 4320 Pixel, PCI Express 4.0",756.93,EUR,1038355,https://www.computerunion.it/geforce/43664-asus-90yv0dq0-m0na00-scheda-video-geforce-rtx-2060-super-8-gb-gddr6-4718017494908.html,"ASUS 90YV0DQ0-M0NA00 scheda video GeForce RTX 2060 SUPER 8 GB GDDR6. Description: ASUS 90YV0DQ0-M0NA00, GeForce RTX 2060 SUPER, 8 GB, GDDR6, 256 bit, 7680 x 4320 Pixel, PCI Express 4.0",,90YV0DQ0-M0NA00,GPU,GeForce RTX 2060,8.0,,,,PCIe 4.o,,,,,,,GDDR6,,
products_3_29935211,Gigabyte,Gigabyte Radeon RX 5600XT Gaming OC 6GB GDDR6 Graphics Card,"Stream Processors: 2304, Boost Clock: 1620MHz, GDDR6, 192-bit Memory, Memory Clock: 12000Mhz, 3 x DisplayPort, 1 x HDMI, 3 Year Warranty",357.23,GBP,1048970,https://www.novatech.co.uk/products/gigabyte-radeon-rx-5600xt-gaming-oc-6gb-gddr6-graphics-card/gv-r56xtgamingoc-6gd.html,"Gigabyte Radeon RX 5600XT Gaming OC 6GB GDDR6 Graphics Card. Description: Stream Processors: 2304, Boost Clock: 1620MHz, GDDR6, 192-bit Memory, Memory Clock: 12000Mhz, 3 x DisplayPort, 1 x HDMI, 3 Year Warranty",Radeon RX 5600XT Gaming OC,,GPU,,,,,,,,,,,,,,,
products_3_55876174,AMD,AMD - RADEON PRO WX 4100 4GB PCIE 3.0 16X 4X M-DP LP RETAILIN CTLR,AMD RADEON PRO WX 4100 4GB PCIE 3.0 16X 4X M-DP LP RETAILIN CTLR (100-506008) - GPU-familie: AMD - GPU: Radeon Pro WX4100 - Grensesnitt: PCI Express x16 3.0 - Videominne: 4GB - Videominnetype: GDDR5 - Minnebussbredde: 128 bit - DVI: 0 - VGA: 0 - HDMI: 0 - Displayport: 4 - USB-C: 0 - Profile: Lav - Kjøletype: Aktiv,"3,513.50",NOK,1050421,https://deal.no/amd-radeon-pro-wx-4100/cat-p/c0/p9171843,AMD - RADEON PRO WX 4100 4GB PCIE 3.0 16X 4X M-DP LP RETAILIN CTLR. Description: AMD RADEON PRO WX 4100 4GB PCIE 3.0 16X 4X M-DP LP RETAILIN CTLR (100-506008) - GPU-familie: AMD - GPU: Radeon Pro WX4100 - Grensesnitt: PCI Express x16 3.0 - Videominne: 4GB - Videominnetype: GDDR5 - Minnebussbredde: 128 bit - DVI: 0 - VGA: 0 - HDMI: 0 - Displayport: 4 - USB-C: 0 - Profile: Lav - Kjøletype: Aktiv,,,GPU,,,,,,PCI Exprcss x16,,,,,,,,,
products_3_57965652,Palit,PALIT NE6166SS18J9-161F PALIT GeForce GT,PALIT NE6166SS18J9-161F PALIT GeForce GT,289.32,EU R,1051451,https://shop.selenal.lv/107117/palit-ne6166ss18j9-161f-palit-geforce-gt,PALIT NE6166SS18J9-161F PALIT GeForce GT. Description: PALIT NE6166SS18J9-161F PALIT GeForce GT,GeForce HT,NE6166SS18J9-161F,GPU,,,,,,,,,,,,,,,
