id,brand,title,description,price,priceCurrency,cluster_id,product_url,title_description,model,model_number,product_type,chipset_name,vram_gb,storage_gb,read_speed_mb_s,write_speed_mb_s,bus_type,interface_type,width_mm,length_mm,height_mm,weight_g,storage_connection_type,memory_type,color,form_factor
products_1_12198483,,Gigabyte NVIDIA GeForce RTX 3080 Gaming OC 10GB Ampere Graphics Card,"CUDA Cores: 8704, Boost Clock: 1800MHz, GDDR6X, 320-bit Memory, Memory Clock: 19.0 Gbps, Ray Tracing, 3x Display Port, 2x HDMI, 3 Yr Warranty.",1020.14,GBP,1002037,https://www.novatech.co.uk/products/gigabyte-nvidia-geforce-rtx-3080-gaming-oc-10gb-ampere-graphics-card/gv-n3080gamingoc-10gd.html,"Gigabyte NVIDIA GeForce RTX 3080 Gaming OC 10GB Ampere Graphics Card. Description: CUDA Cores: 8704, Boost Clock: 1800MHz, GDDR6X, 320-bit Memory, Memory Clock: 19.0 Gbps, Ray Tracing, 3x Display Port, 2x HDMI, 3 Yr Warranty.",NVIDIA GeForce RTX 3080 Gaming OC,,GPU,RTX 3080,,,,,,,,,,,,,,
products_1_78378158,Western,"WD Blue 6TB 3.5\"" SATA 3 HDD/Hard Drive","6TB WD Blue WD60EZAZ, 3.5\"" HDD, SATA III - 6Gb/s, 5400rpm, 256MB Cache, OEM NCQ",165.75,GBP,1004942,https://www.scan.co.uk/products/6tb-wd-blue-wd60ezaz-35-hdd-sata-iii-6gb-s-5400rpm-256mb-cache-oem-ncq,"WD Blue 6TB 3.5\"" SATA 3 HDD/Hard Drive. Description: 6TB WD Blue WD60EZAZ, 3.5\"" HDD, SATA III - 6Gb/s, 5400rpm, 256MB Cache, OEM NCQ",WD Blue,WD60EZAZ,,,,,,,SATA,,,,,,3.5-inch SATA,,,3.5-inch
products_1_80641070,Corsair,"CORSAIR - Force Series MP510 960GB M.2 SSD PCIe Gen3 x4, M.2 NVMe, up to 3480/3000MB/s read/write","Solid State Drive, 960 GB, intern, M.2 2280, PCI Express 3.0 x4 (NVMe), AES",2708.49,NOK,1007272,https://www.proshop.no/SSD/Corsair-Force-MP510-M2-SSD-960GB/2687875,"Corsair Force MP510 M.2 SSD - 960GB. Description: Solid State Drive, 960 GB, intern, M.2 2280, PCI Express 3.0 x4 (NVMe), 256-bit AES",Force MP510,,SSD,,,894.07 GiB,,,PCI Express x4,NVMe,,,,,M.2,,,M.2 2280
products_1_70593055,Gigabyte,Gigabyte GeForce GTX 1660 SUPER OC 6GB Dual Fan Graphics Card,"Powered by GeForce GTX 1660 SUPERIntegrated with 6GB GDDR6 192-bit memory interfaceWINDFORCE 2X Cooling System with alternate spinning fans90 mm unique blade fansProtection Back PlateCore Clock1830 MHz (Reference Card: 1785 MHz)WINDFORCE 2X COOLING SYSTEMWINDFORCE 2X cooling system features 2x 90mm unique blade fans, alternate spinning fan, a composite copper heat pipe direct touch GPU and 3D active fan functionality, together delivering an effective heat dissipation capacity for higher performance at lower temperatures.ALTERNATE SPINNINGThe GIGABYTE ?Alternate Spinning? is the only solution that can solve the turbulent airflow of adjacent fans. Since the adjacent fans rotate in the same direction, the airflow direction is opposite between the fans, which will cause turbulent airflow and reduce heat dissipation efficiency. GIGABYTE turns the adjacent fans in the opposite direction, so that the airflow direction between the two fans is the same, reducing the turbulence and enhancing the airflow pressure.UNIQUE BLADE FANThe airflow is spilt by the triangular fan edge, and guided smoothly through the 3D stripe curve on the fan surface, effectively enhancing the airflow.3D ACTIVE FANThe 3D Active Fan provides semi-passive cooling, and the fans will remain off when the GPU is in a low load or low power game. It allows gamers to enjoy gameplay in complete silence when the system is running light or idle.HEAT PIPE DIRECT TOUCHThe shape of the pure copper heat pipe maximizes the direct contact area with the GPU, enhancing heat transfer. The heat pipe also covers the VRAM through a large metal plate contact to ensure proper cooling.COMPOSITE HEAT-PIPEThe composite heat-pipe combines thermal conductivity and phase transition to efficiently manage the heat transfer between two solid interfaces which increases cooling capacity.EXTREME DURABILITY AND OVERCLOCKINGThe graphics card uses the better power phases design to allow the MOSFET to operate at lower temperature, and over-temperature protection design and load balancing for each MOSFET, plus the Ultra Durable certified chokes and capacitors, to provide excellent performance and longer system life.PROTECTION BACK PLATEThe back plate not only provides an aesthetical shape, but also enhances the structure of the graphics card to provide complete protection.SpecificationsGraphics ProcessingGeForce GTX 1660 SUPERCore Clock1830 MHz (Reference Card: 1785 MHz)CUDA Cores1408Memory Clock14000 MHzMemory Size6 GBMemory TypeGDDR6Memory Bus192 bitMemory Bandwidth (GB/sec)336 GB/sCard BusPCI-E 3.0 x 16Digital Maximum Resolution7680x432060HzMulti-View4Card SizeL=225.65 W=122.02 H=40.5 mmPCB FormATXDirectX12OpenGL4.6Recommended PSU450WPower Connectors8 pin x 1OutputDisplayPort 1.4 *3HDMI 2.0b *1AccessoriesQuick guideDriver CD",368.53,GBP,1028734,https://www.pcbelfast.co.uk/product/gigabyte-geforce-gtx-1660-super-oc-6gb-dual-fan-graphics-card,"Gigabyte GeForce GTX 1660 SUPER OC 6GB Dual Fan Graphics Card. Description: Powered by GeForce GTX 1660 SUPERIntegrated with 6GB GDDR6 192-bit memory interfaceWINDFORCE 2X Cooling System with alternate spinning fans90 mm unique blade fansProtection Back PlateCore Clock1830 MHz (Reference Card: 1785 MHz)WINDFORCE 2X COOLING SYSTEMWINDFORCE 2X cooling system features 2x 90mm unique blade fans, alternate spinning fan, a composite copper heat pipe direct touch GPU and 3D active fan functionality, together delivering an effective heat dissipation capacity for higher performance at lower temperatures.ALTERNATE SPINNINGThe GIGABYTE ?Alternate Spinning? is the only solution that can solve the turbulent airflow of adjacent fans. Since the adjacent fans rotate in the same direction, the airflow direction is opposite between the fans, which will cause turbulent airflow and reduce heat dissipation efficiency. GIGABYTE turns the adjacent fans in the opposite direction, so that the airflow direction between the two fans is the same, reducing the turbulence and enhancing the airflow pressure.UNIQUE BLADE FANThe airflow is spilt by the triangular fan edge, and guided smoothly through the 3D stripe curve on the fan surface, effectively enhancing the airflow.3D ACTIVE FANThe 3D Active Fan provides semi-passive cooling, and the fans will remain off when the GPU is in a low load or low power game. It allows gamers to enjoy gameplay in complete silence when the system is running light or idle.HEAT PIPE DIRECT TOUCHThe shape of the pure copper heat pipe maximizes the direct contact area with the GPU, enhancing heat transfer. The heat pipe also covers the VRAM through a large metal plate contact to ensure proper cooling.COMPOSITE HEAT-PIPEThe composite heat-pipe combines thermal conductivity and phase transition to efficiently manage the heat transfer between two solid interfaces which increases cooling capacity.EXTREME DURABILITY AND OVERCLOCKINGThe graphics card uses the better power phases design to allow the MOSFET to operate at lower temperature, and over-temperature protection design and load balancing for each MOSFET, plus the Ultra Durable certified chokes and capacitors, to provide excellent performance and longer system life.PROTECTION BACK PLATEThe back plate not only provides an aesthetical shape, but also enhances the structure of the graphics card to provide complete protection.SpecificationsGraphics ProcessingGeForce GTX 1660 SUPERCore Clock1830 MHz (Reference Card: 1785 MHz)CUDA Cores1408Memory Clock14000 MHzMemory Size6 GBMemory TypeGDDR6Memory Bus192 bitMemory Bandwidth (GB/sec)336 GB/sCard BusPCI-E 3.0 x 16Digital Maximum Resolution7680x4320@60HzMulti-View4Card SizeL=225.65 W=122.02 H=40.5 mmPCB FormATXDirectX12OpenGL4.6Recommended PSU450WPower Connectors8 pin x 1OutputDisplayPort 1.4 *3HDMI 2.0b *1AccessoriesQuick guideDriver CD",GeForce GTX 1660 SUPER OC 6GB Dual Fan,,GPU,,,,,,PCI Express x16,,,,,,,,,
products_1_71242639,MSI,MSI GeForce GTX 1660 Ti GAMING X 6GB GDDR6 Graphics Card,"GTX 1660 TI, 6GB GDDR6, Boost: 1875 MHz, RGB Lighting",,,1029916,https://www.ebuyer.com/877344-msi-geforce-gtx-1660-ti-gaming-x-6gb-gddr6-graphics-card-gtx-1660-ti-gaming-x-6g,"MSI GeForce GTX 1660 Ti GAMING X 6GB GDDR6 Graphics Card. Description: GTX 1660 TI, 6GB GDDR6, Boost: 1875 MHz, RGB Lighting",GeForce GTX 1660 Ti GAMING X,,,,6.0,,,,,,,,,,,,,
products_1_42225711,Asus,"GeForce® RTX 2080 SUPER Advanced ROG-STRIX-RTX2080S-A8G-GAMING, 1650 1860MHz, 8GB GDDR6, Graphics Card",ASUS ROG Strix GeForce® RTX 2080 SUPER Advanced edition 8GB GDDR6 with powerful cooling and a super performance boost for high refresh rates and VR gaming,1099.04,USD,1036963,https://www.avadirect.com/GeForce-RTX-2080-SUPER-Advanced-ROG-STRIX-RTX2080S-A8G-GAMING-1650-1860MHz-8GB-GDDR6-Graphics-Card/Product/12905257,"GeForce® RTX 2080 SUPER™ Advanced ROG-STRIX-RTX2080S-A8G-GAMING, 1650 - 1860MHz, 8GB GDDR6, Graphics Card. Description: ASUS ROG Strix GeForce® RTX 2080 SUPER™ Advanced edition 8GB GDDR6 with powerful cooling and a super performance boost for high refresh rates and VR gaming",ROG Strix GeForce RTX 2080 SUPER Advanced edition,,GPU,GeForce RTX 2080 Super,,,,,,,,,,,,GDDR6,,
products_1_44678762,Asus,Asus Strix GeForce RTX 2060 Super EVO OC Gaming 8GB Graphics Card,"Cuda Cores: 2176, Boost Clock: 1860MHz, GDDR6, 256-bit Memory, Memory Clock: 14Ghz, Ray Tracing, 2 x DisplayPort, 2 x HDMI, 1 x Type-C, 3 Yr Warranty",,,1038355,https://www.novatech.co.uk/products/asus-strix-geforce-rtx-2060-super-evo-oc-gaming-8gb-graphics-card/90yv0dq0-m0na00.html,"Asus Strix GeForce RTX 2060 Super EVO OC Gaming 8GB Graphics Card. Description: Cuda Cores: 2176, Boost Clock: 1860MHz, GDDR6, 256-bit Memory, Memory Clock: 14Ghz, Ray Tracing, 2 x DisplayPort, 2 x HDMI, 1 x Type-C, 3 Yr Warranty",Strix GeForce RTX 2060 Super EVO OC Gaming,,GPU,GeForce RTX 2060 Super,7.45 GiB,,,,,,,,,,,GDDR6,,
products_1_18241261,Gigabyte,Gigabyte AMD Radeon RX 5600 XT GAMING OC 6GB GDDR6 RDNA PCIe 4.0 Graphics Card,"Gigabyte Radeon RX 5600 XT GAMING OC 6GB GDDR6 PCIe 4.0 Graphics Card, 7nm RDNA, 2304 Streams, 1560MHz, 1620MHz Boost",360.85,GBP,1048970,https://www.scan.co.uk/products/gigabyte-radeon-rx-5600-xt-gaming-oc-6gb-gddr6-pcie-40-graphics-card-7nm-rdna-2304-streams-1560m,"Gigabyte AMD Radeon RX 5600 XT GAMING OC 6GB GDDR6 RDNA PCIe 4.0 Graphics Card. Description: Gigabyte Radeon RX 5600 XT GAMING OC 6GB GDDR6 PCIe 4.0 Graphics Card, 7nm RDNA, 2304 Streams, 1560MHz, 1620MHz Boost",Radeon RX 5600 XT GAMING OC,,GPU,,,,,,PCIe 4.0,,,,,,,,,
products_1_1352033,AMD,AMD RADEON PRO WX 4100 4 GB GDDR5,"World’s Fastest Low-Profile Workstation Graphics Card1Content creation has evolved over the past ten years, and so have the demands of the designers and creators. CAD professionals want flexible, sleek, and quiet small form-factor workstations. Radeon Pro WX 4100 delivers the performance and reliability workstation users need to get their job done.Great Performance in a Small Form FactorPurpose-built for CAD professionals, the Radeon Pro WX 4100 graphics card is the world’s fastest low-profile workstation graphics solution available today1, delivering up to 2.4 TFLOPS of compute performance. Based on 14nm FinFET technology, the Radeon Pro WX 4100 GPU contains the latest innovations found in the state-of-the-art Polaris GPU architecture.Planned ISV CertificationsThe Radeon Pro certification team is working diligently with our ISV partners to ensure certification on many of the popular applications that are being used in the Design and Manufacturing spaces, making certain that the Radeon Pro WX 4100 graphics card is properly supported on key applications so you can have a hassle-free experience.Quality You Can TrustRadeon Pro WX is the embodiment of innovation and design within the Radeon Technologies Group. Great care is taken into crafting each product to ensure quality and reliability are at the highest of standards. We are proud to stand behind our three year limited warranty (see details at www.amd.com/Warranty) and optional seven year extended limited warranty also available (see details and requirements at www.amd.com/ExtendedWarranty).",352.26,GBP,1050421,https://www.clicksaveandprint.com/amd-radeon-pro-wx-4100-4-gb-gddr5-100-506008,"AMD RADEON PRO WX 4100 4 GB GDDR5. Description: World’s Fastest Low-Profile Workstation Graphics Card1Content creation has evolved over the past ten years, and so have the demands of the designers and creators. CAD professionals want flexible, sleek, and quiet small form-factor workstations. Radeon™ Pro WX 4100 delivers the performance and reliability workstation users need to get their job done.Great Performance in a Small Form FactorPurpose-built for CAD professionals, the Radeon™ Pro WX 4100 graphics card is the world’s fastest low-profile workstation graphics solution available today1, delivering up to 2.4 TFLOPS of compute performance. Based on 14nm FinFET technology, the Radeon Pro WX 4100 GPU contains the latest innovations found in the state-of-the-art Polaris GPU architecture.Planned ISV CertificationsThe Radeon Pro certification team is working diligently with our ISV partners to ensure certification on many of the popular applications that are being used in the Design and Manufacturing spaces, making certain that the Radeon™ Pro WX 4100 graphics card is properly supported on key applications so you can have a hassle-free experience.Quality You Can TrustRadeon™ Pro WX is the embodiment of innovation and design within the Radeon Technologies Group. Great care is taken into crafting each product to ensure quality and reliability are at the highest of standards. We are proud to stand behind our three year limited warranty (see details at www.amd.com/Warranty) and optional seven year extended limited warranty also available (see details and requirements at www.amd.com/ExtendedWarranty).",RADEON PRO WX 4100,,GPU,,,,,,,,,,,,,,,
products_1_55998431,Palit,Palit GeForce GTX 1660 SUPER 6GB StormX Boost Graphics Card,"Available CCL, this Palit GTX 1660 SUPER StormX 6GB Overclocked Graphics Card is VR Ready and has HDMI, DVI and DisplayPort outputs",,,1051451,https://www.cclonline.com/product/300173/NE6166SS18J9-161F/Graphics-Cards/Palit-GeForce-GTX-1660-SUPER-StormX-OC-6GB-Overclocked-Graphics-Card/VGA5698,"Palit GeForce GTX 1660 SUPER 6GB StormX Boost Graphics Card. Description: Available @ CCL, this Palit GeForce GTX 1660 SUPER StormX 6GB Overclocked Graphics Card is VR Ready and has HDMI, DVI and DisplayPort outputs",GeForcr GTX 1660 SUPER StormX Boost,,GPU,GeForce GTX 1660 Super,6.0,,,,,,,,,,,,,
