entity_id,source,attribute,original_value,attempted_format,reason,knob,level
products_1_78378158,products_1,capacity_gb,6000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_80641070,products_1,capacity_gb,960.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_1022732,products_1,capacity_gb,4000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_8051112,products_1,capacity_gb,120.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_32738830,products_1,capacity_gb,240.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_25469647,products_1,capacity_gb,128.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_23574144,products_1,capacity_gb,1000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_15497680,products_1,capacity_gb,4000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_34032163,products_1,capacity_gb,128.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_78827999,products_1,capacity_gb,256.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_67183699,products_1,capacity_gb,3000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_51563635,products_1,capacity_gb,1800.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_90249643,products_1,capacity_gb,960.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_61786604,products_1,capacity_gb,512.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_22682562,products_1,capacity_gb,2000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_48110334,products_1,capacity_gb,1000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_36622630,products_1,capacity_gb,128.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_32159667,products_1,capacity_gb,10000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_36708398,products_1,capacity_gb,960.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_71663409,products_1,capacity_gb,1200.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_22882105,products_1,capacity_gb,1000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_18538085,products_1,capacity_gb,450.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_98496862,products_1,capacity_gb,8000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_18327954,products_1,capacity_gb,2000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_66183633,products_1,capacity_gb,2000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_33041345,products_1,capacity_gb,1920.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_58034111,products_1,capacity_gb,300.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_19453676,products_1,capacity_gb,2000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_25687193,products_1,capacity_gb,480.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_53202784,products_1,capacity_gb,128.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_17129011,products_1,capacity_gb,1000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_10678822,products_1,capacity_gb,32.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_14715948,products_1,capacity_gb,6000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_1161397,products_1,capacity_gb,2000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_7017608,products_1,capacity_gb,1000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_98332414,products_1,capacity_gb,1000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_4473153,products_1,capacity_gb,1000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_4050965,products_1,capacity_gb,1000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_22424953,products_1,capacity_gb,4000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_25769761,products_1,capacity_gb,500.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_77251182,products_1,capacity_gb,8000.0,locale:de_DE,roundtrip_parse_fail,5,medium
products_1_16121684,products_1,capacity_gb,2000.0,locale:de_DE,roundtrip_parse_fail,5,medium
