Target Column,Products_1,Products_2,Products_3,Products_4
id,id,id,id,id
brand,brnd,br,Attribute_3,br
title,prd_ttl,t,Attribute_2,t
description,desc,dsc,Attribute_4,dsc
price,prc,amt,Attribute_5,amt
priceCurrency,cur,ccy,Attribute_6,ccy
url,product_url,productUrl,Link,link
title_description,t_desc,tdsc,Attribute_7,tdsc
model,mdl,m,Attribute_9,m
model_number,mdl_no,mno,Attribute_10,mno
product_type,prd_typ,ptyp,Attribute_8,ptyp
chipset_name,chip,cn,Attribute_11,cn
vram_gb,vram,vrm,Attribute_12,vrm
storage_gb,stor,stg,Attribute_13,stg
read_speed_mb_s,rd_speed_mbs,rs,Attribute_19,rs
write_speed_mb_s,wr_speed_mbs,ws,Attribute_20,ws
bus_type,bus_t,bt,Attribute_14,bt
interface_type,iface_t,it,Attribute_15,it
width_mm,w_mm,wd,Attribute_24,wd
length_mm,l_mm,ln,Attribute_23,ln
height_mm,h_mm,ht,Attribute_22,ht
weight_g,wt_g,wt,Attribute_25,wt
storage_connection_type,stor_conn,sc,Attribute_17,sc
memory_type,mem_t,mt,Attribute_16,mt
color,clr,col,Attribute_21,col
form_factor,form_f,ff,Attribute_18,ff
Mapped,26/26,26/26,26/26,26/26
