source,attribute,null_rate
products_1,bus_standard,0.22660098522167488
products_1,capacity_gb,0.29679802955665024
products_1,category,0.0
products_1,colour,0.8522167487684729
products_1,connector,0.49137931034482757
products_1,currency_code,0.05295566502463054
products_1,form_factor,0.48645320197044334
products_1,gpu_chipset,0.7155172413793104
products_1,height_millimeters,0.9433497536945813
products_1,interface,0.4630541871921182
products_1,length_millimeters,0.9445812807881774
products_1,list_price,0.04926108374384237
products_1,manufacturer,0.0332512315270936
products_1,manufacturer_part_number,0.5886699507389163
products_1,memory_technology,0.7413793103448276
products_1,model_name,0.07881773399014778
products_1,name_and_description,0.0
products_1,product_description,0.0
products_1,product_name,0.0
products_1,sequential_read_mb_s,0.8140394088669951
products_1,sequential_write_mb_s,0.8497536945812808
products_1,video_memory_gb,0.7179802955665024
products_1,weight_grams,0.9679802955665024
products_1,width_millimeters,0.9445812807881774
products_2,brandName,0.050492610837438424
products_2,busType,0.26354679802955666
products_2,capacityGb,0.30049261083743845
products_2,chipset,0.7155172413793104
products_2,color,0.8620689655172413
products_2,connectionType,0.5012315270935961
products_2,currency,0.07142857142857142
products_2,depthMm,0.9482758620689655
products_2,descriptionText,0.0
products_2,formFactor,0.49507389162561577
products_2,heightMm,0.9408866995073891
products_2,interfaceType,0.47783251231527096
products_2,memoryType,0.7487684729064039
products_2,modelName,0.08620689655172414
products_2,mpn,0.5935960591133005
products_2,name,0.0
products_2,priceAmount,0.07142857142857142
products_2,productCategory,0.0
products_2,readSpeedMbps,0.8091133004926109
products_2,titleAndDescription,0.0
products_2,vramGb,0.7216748768472906
products_2,weightG,0.9667487684729064
products_2,widthMm,0.9482758620689655
products_2,writeSpeedMbps,0.8423645320197044
products_3,Brand,0.05380577427821522
products_3,Bus,0.24803149606299213
products_3,CapacityGB,0.3031496062992126
products_3,Chipset,0.7125984251968503
products_3,Colour,0.8937007874015748
products_3,Connector,0.5236220472440944
products_3,Currency,0.05905511811023622
products_3,Details,0.0
products_3,FormFactor,0.5091863517060368
products_3,HeightMM,0.9514435695538058
products_3,Interface,0.5
products_3,LengthMM,0.9619422572178478
products_3,MemorySizeGB,0.7152230971128609
products_3,MemoryType,0.7401574803149606
products_3,Model,0.09580052493438321
products_3,PartNo,0.610236220472441
products_3,Price,0.06430446194225722
products_3,ProductTitle,0.0
products_3,ReadMBs,0.8333333333333334
products_3,TitleDetails,0.0
products_3,Type,0.0026246719160104987
products_3,WeightG,0.968503937007874
products_3,WidthMM,0.958005249343832
products_3,WriteMBs,0.8713910761154856
products_4,amt,0.06869009584664537
products_4,bus,0.2220447284345048
products_4,cap_gb,0.31309904153354634
products_4,cat,0.001597444089456869
products_4,chip,0.707667731629393
products_4,clr,0.9169329073482428
products_4,conn,0.48881789137380194
products_4,cur,0.07028753993610223
products_4,desc,0.0
products_4,ff,0.4792332268370607
products_4,h_mm,0.9440894568690096
products_4,iface,0.4680511182108626
products_4,l_mm,0.9616613418530351
products_4,mdl,0.07827476038338659
products_4,mem,0.7412140575079872
products_4,mfr,0.054313099041533544
products_4,name,0.0
products_4,name_desc,0.0
products_4,pn,0.6006389776357828
products_4,rd_mbs,0.8306709265175719
products_4,vram,0.7172523961661342
products_4,w_mm,0.9568690095846646
products_4,wr_mbs,0.8594249201277955
products_4,wt_g,0.9664536741214057
