source,attribute,baseline_alignment_rate,n_cells,n_aligned
products_1,bus_type,0.632653,147,93
products_1,storage_gb,0.972789,147,143
products_1,product_type,0.975,200,195
products_1,color,0.0,0,0
products_1,storage_connection_type,0.677083,96,65
products_1,priceCurrency,0.973118,186,181
products_1,form_factor,0.901099,91,82
products_1,chipset_name,0.34,50,17
products_1,height_mm,0.0,0,0
products_1,interface_type,0.393939,99,39
products_1,length_mm,0.0,0,0
products_1,price,0.069892,186,13
products_1,brand,0.936508,189,177
products_1,model_number,0.84375,96,81
products_1,memory_type,0.973684,38,37
products_1,model,0.382514,183,70
products_1,title_description,0.271357,199,54
products_1,description,0.26,200,52
products_1,title,0.26,200,52
products_1,read_speed_mb_s,0.022727,44,1
products_1,write_speed_mb_s,0.717949,39,28
products_1,vram_gb,0.632653,49,31
products_1,weight_g,0.0,0,0
products_1,width_mm,0.0,0,0
products_2,brand,0.901734,173,156
products_2,bus_type,0.618644,118,73
products_2,storage_gb,0.0,114,0
products_2,chipset_name,0.291667,24,7
products_2,color,0.0,0,0
products_2,storage_connection_type,0.619048,63,39
products_2,priceCurrency,0.248588,177,44
products_2,length_mm,0.0,0,0
products_2,description,0.14,200,28
products_2,form_factor,0.919355,62,57
products_2,height_mm,0.0,0,0
products_2,interface_type,0.309859,71,22
products_2,memory_type,0.964286,28,27
products_2,model,0.284916,179,51
products_2,model_number,0.813333,75,61
products_2,title,0.275,200,55
products_2,price,0.005495,182,1
products_2,product_type,0.994595,185,184
products_2,read_speed_mb_s,0.756098,41,31
products_2,title_description,0.175879,199,35
products_2,vram_gb,0.952381,21,20
products_2,weight_g,0.0,0,0
products_2,width_mm,0.0,0,0
products_2,write_speed_mb_s,0.724138,29,21
products_3,brand,0.867089,158,137
products_3,bus_type,0.669291,127,85
products_3,storage_gb,0.0,100,0
products_3,chipset_name,0.32,25,8
products_3,color,0.0,0,0
products_3,storage_connection_type,0.721311,61,44
products_3,priceCurrency,0.220339,177,39
products_3,description,0.099476,191,19
products_3,form_factor,0.961538,52,50
products_3,height_mm,0.0,0,0
products_3,interface_type,0.245902,61,15
products_3,length_mm,0.0,0,0
products_3,vram_gb,1.0,19,19
products_3,memory_type,0.884615,26,23
products_3,model,0.245399,163,40
products_3,model_number,0.723077,65,47
products_3,price,0.011173,179,2
products_3,title,0.183246,191,35
products_3,read_speed_mb_s,0.0,27,0
products_3,title_description,0.094737,190,18
products_3,product_type,0.959538,173,166
products_3,weight_g,0.0,0,0
products_3,width_mm,0.0,0,0
products_3,write_speed_mb_s,0.12,25,3
products_4,price,0.094203,138,13
products_4,bus_type,0.681319,91,62
products_4,storage_gb,0.0,75,0
products_4,product_type,0.977941,136,133
products_4,chipset_name,0.294118,17,5
products_4,color,0.0,0,0
products_4,storage_connection_type,0.809524,42,34
products_4,priceCurrency,0.146154,130,19
products_4,description,0.078431,153,12
products_4,form_factor,0.844444,45,38
products_4,height_mm,0.0,0,0
products_4,interface_type,0.351852,54,19
products_4,length_mm,0.0,0,0
products_4,model,0.216418,134,29
products_4,memory_type,0.933333,15,14
products_4,brand,0.910714,112,102
products_4,title,0.189542,153,29
products_4,title_description,0.078947,152,12
products_4,model_number,0.803571,56,45
products_4,read_speed_mb_s,0.0,21,0
products_4,vram_gb,1.0,14,14
products_4,width_mm,0.0,0,0
products_4,write_speed_mb_s,0.705882,17,12
products_4,weight_g,0.0,0,0
