silver_cluster_id,pipe_cluster_id,name,artist,release-date,release-country,label,genre,duration,n_attributes_correct,fully_correct
mbrainz_2347,discogs_10320,True,True,False,True,True,True,False,5,False
mbrainz_2397,discogs_10504,True,False,False,True,True,True,False,4,False
mbrainz_23870,discogs_106146,True,True,False,False,True,True,False,4,False
mbrainz_2558,discogs_11149,True,False,False,True,True,True,False,4,False
mbrainz_348,discogs_1143,True,True,False,True,True,True,False,5,False
mbrainz_2660,discogs_11632,True,True,False,True,True,True,False,5,False
mbrainz_49,discogs_117,True,False,False,True,True,True,False,4,False
mbrainz_21036,discogs_118956,True,True,False,True,True,True,False,5,False
mbrainz_2033,discogs_12183,True,True,False,False,True,True,False,4,False
mbrainz_2807,lastFM_5959,False,False,False,True,False,,False,1,False
mbrainz_28928,discogs_124072,True,False,False,False,False,False,False,1,False
mbrainz_14410,discogs_125229,True,True,False,True,True,True,False,5,False
mbrainz_375,discogs_1257,True,False,False,True,True,True,False,4,False
mbrainz_3202,discogs_13862,True,False,False,True,True,True,False,4,False
mbrainz_3151,discogs_14247,True,True,False,True,True,True,False,5,False
mbrainz_3388,discogs_14628,True,False,False,True,True,,False,3,False
mbrainz_25400,discogs_148750,False,True,False,True,True,True,False,4,False
mbrainz_3570,discogs_15361,False,True,False,True,True,True,False,4,False
mbrainz_436,discogs_1636,True,True,False,True,True,True,False,5,False
mbrainz_77,discogs_176,True,True,False,True,True,True,False,5,False
mbrainz_469,discogs_1799,True,True,False,False,False,False,False,2,False
mbrainz_4495,discogs_19176,True,True,False,True,True,False,False,4,False
mbrainz_4615,discogs_19670,True,True,False,True,True,True,True,6,False
mbrainz_5189,discogs_22686,True,False,False,True,True,True,False,4,False
mbrainz_5285,discogs_22772,False,True,False,True,True,True,False,4,False
mbrainz_5463,discogs_23650,True,True,False,True,True,,True,5,False
mbrainz_5586,discogs_24299,True,True,False,True,False,True,False,4,False
mbrainz_123,discogs_259,True,True,False,True,True,True,False,5,False
mbrainz_6142,discogs_26824,True,True,False,True,True,True,False,5,False
mbrainz_135,discogs_289,True,True,False,True,True,True,True,6,False
mbrainz_6891,discogs_30446,True,False,False,True,True,,False,3,False
mbrainz_7067,discogs_31354,True,True,False,True,True,True,True,6,False
mbrainz_143,discogs_316,True,True,False,True,True,True,False,5,False
mbrainz_7957,discogs_35648,True,False,False,True,True,True,False,4,False
mbrainz_7969,discogs_35700,True,False,False,True,True,True,False,4,False
mbrainz_803,discogs_3720,True,True,False,True,True,True,False,5,False
mbrainz_6880,discogs_37434,True,True,False,True,True,True,False,5,False
mbrainz_159,discogs_375,True,True,False,True,True,,True,5,False
mbrainz_5312,discogs_38034,True,True,False,True,True,True,False,5,False
mbrainz_9576,discogs_43081,True,True,False,False,True,True,False,4,False
mbrainz_5260,discogs_43498,True,True,False,True,True,True,False,5,False
mbrainz_10080,discogs_45361,True,True,False,True,True,True,False,5,False
mbrainz_8711,discogs_45539,True,True,False,True,True,True,True,6,False
mbrainz_175,discogs_473,True,True,False,True,True,True,False,5,False
mbrainz_10613,discogs_48169,True,True,False,True,True,,False,4,False
mbrainz_8082,discogs_50394,True,False,False,True,False,True,False,3,False
mbrainz_11156,discogs_50910,True,True,False,True,True,True,False,5,False
mbrainz_5549,discogs_50918,True,False,False,True,True,True,False,4,False
mbrainz_188,discogs_537,False,True,False,True,True,True,False,4,False
mbrainz_12115,discogs_55615,False,True,False,False,True,True,False,3,False
mbrainz_6947,discogs_55629,True,True,False,True,True,,False,4,False
mbrainz_12193,discogs_55909,True,True,False,True,True,True,False,5,False
mbrainz_12500,discogs_57381,True,False,False,True,True,True,False,4,False
mbrainz_12766,discogs_58657,True,False,False,True,True,,False,3,False
mbrainz_12847,discogs_59074,True,True,False,True,True,True,False,5,False
mbrainz_1269,discogs_6025,True,True,False,True,True,True,False,5,False
mbrainz_1314,discogs_6285,True,True,False,True,True,True,False,5,False
mbrainz_13786,discogs_63403,True,True,False,True,True,True,False,5,False
mbrainz_13703,discogs_63470,True,True,False,False,True,True,False,4,False
mbrainz_1337,discogs_6414,True,True,False,True,True,True,False,5,False
mbrainz_13875,discogs_64358,False,False,False,False,False,True,False,1,False
mbrainz_14382,discogs_67328,True,False,False,True,True,True,False,4,False
mbrainz_9448,discogs_67427,False,True,False,False,True,,True,3,False
mbrainz_11821,discogs_69253,True,True,False,False,True,True,False,4,False
mbrainz_4147,discogs_69529,True,False,False,True,True,True,True,5,False
mbrainz_15029,discogs_70907,True,False,False,True,True,,True,4,False
mbrainz_15127,lastFM_33278,True,False,False,True,False,,False,2,False
mbrainz_15132,discogs_71475,True,False,False,True,True,True,False,4,False
mbrainz_15458,discogs_71795,True,True,False,True,True,,False,4,False
mbrainz_1502,discogs_7290,False,True,False,False,True,True,False,3,False
mbrainz_13271,discogs_75502,True,False,False,False,False,True,False,2,False
mbrainz_1568,discogs_7716,True,False,False,True,True,True,True,5,False
mbrainz_16037,discogs_78499,True,True,False,True,True,True,False,5,False
mbrainz_15003,discogs_78685,True,True,False,True,True,True,False,5,False
mbrainz_1651,discogs_7935,True,True,False,True,True,True,False,5,False
mbrainz_1653,discogs_7938,False,True,False,False,True,True,False,3,False
mbrainz_16268,discogs_80608,False,True,False,False,True,False,False,2,False
mbrainz_6419,discogs_82564,True,False,False,True,True,True,False,4,False
mbrainz_1834,discogs_8457,True,True,False,True,True,,True,5,False
mbrainz_11790,discogs_90880,True,True,False,True,True,True,False,5,False
mbrainz_2083,discogs_9334,True,True,False,True,True,True,False,5,False
mbrainz_2222,discogs_9336,True,True,False,False,True,,False,3,False
mbrainz_2091,discogs_9350,True,True,False,False,True,True,False,4,False
mbrainz_2110,discogs_9404,True,True,False,True,True,True,False,5,False
mbrainz_8220,discogs_96377,True,True,False,True,True,True,False,5,False
mbrainz_9858,discogs_96815,True,True,False,True,True,,False,4,False
mbrainz_18462,discogs_98622,True,True,False,True,True,,False,4,False
mbrainz_5095,k04__fab__discogs__lastFM_10595,True,True,False,True,,,False,3,False
mbrainz_5321,lastFM_11137,True,False,False,True,False,False,False,2,False
mbrainz_8963,k04__fab__discogs__lastFM_19085,True,True,False,True,,,False,3,False
mbrainz_9185,discogs_41256,True,True,False,True,True,True,False,5,False
mbrainz_13699,k04__fab__discogs__lastFM_29687,True,True,False,True,,,True,4,False
mbrainz_18332,discogs_97566,True,True,False,True,True,True,False,5,False
mbrainz_2170,discogs_9616,True,True,False,True,True,True,False,5,False
mbrainz_20856,k04__fab__discogs__lastFM_52562,True,True,False,True,,,True,4,False
mbrainz_23557,lastFM_59772,True,False,False,True,False,False,False,2,False
mbrainz_29595,k04__fab__discogs__lastFM_73829,True,True,False,True,,,False,3,False
mbrainz_3787,k04__fab__discogs__lastFM_7870,True,True,False,True,,,True,4,False
mbrainz_32422,k04__fab__discogs__lastFM_80555,False,True,False,True,False,False,True,3,False
mbrainz_25432,lastFM_64124,True,False,False,True,,,True,3,False
