id1,id2,score,notes
mbrainz_15680,lastFM_34918,0.9933555126,ditto_plm
mbrainz_8635,lastFM_18400,0.9931613207,ditto_plm
mbrainz_24347,lastFM_61626,0.9931252003,ditto_plm
mbrainz_488,lastFM_1037,0.9930526614,ditto_plm
mbrainz_3524,lastFM_7373,0.9930343628,ditto_plm
mbrainz_3608,lastFM_7524,0.9930247068,ditto_plm
mbrainz_3896,lastFM_8086,0.9929458499,ditto_plm
mbrainz_18501,lastFM_44997,0.9929348826,ditto_plm
mbrainz_20418,lastFM_51455,0.9929010868,ditto_plm
mbrainz_20139,lastFM_50718,0.9928851724,ditto_plm
mbrainz_16648,lastFM_38533,0.9928429127,ditto_plm
mbrainz_9789,lastFM_20843,0.9928275943,ditto_plm
mbrainz_17583,lastFM_41766,0.9928156137,ditto_plm
mbrainz_10481,lastFM_22364,0.9928026795,ditto_plm
mbrainz_12182,lastFM_26233,0.9927916527,ditto_plm
mbrainz_30762,lastFM_76748,0.9927748442,ditto_plm
mbrainz_25261,lastFM_63731,0.9927645326,ditto_plm
mbrainz_25221,lastFM_63634,0.9927490354,ditto_plm
mbrainz_2150,lastFM_4666,0.9927418232,ditto_plm
mbrainz_32830,lastFM_81448,0.9927413464,ditto_plm
mbrainz_13094,lastFM_28250,0.9927353859,ditto_plm
mbrainz_1474,lastFM_3442,0.9927097559,ditto_plm
mbrainz_33692,lastFM_83263,0.9926980138,ditto_plm
mbrainz_15203,lastFM_33457,0.9926785231,ditto_plm
mbrainz_15239,lastFM_33534,0.9926770926,ditto_plm
mbrainz_31267,lastFM_77853,0.9926621914,ditto_plm
mbrainz_315,lastFM_561,0.9926498532,ditto_plm
mbrainz_2019,lastFM_4452,0.9926496148,ditto_plm
mbrainz_5387,lastFM_11274,0.9926308393,ditto_plm
mbrainz_1169,lastFM_2704,0.9926300049,ditto_plm
mbrainz_31208,lastFM_77739,0.992629528,ditto_plm
mbrainz_11928,lastFM_25667,0.9926288128,ditto_plm
mbrainz_17173,lastFM_40226,0.9926252961,ditto_plm
mbrainz_426,lastFM_879,0.9926015735,ditto_plm
mbrainz_19317,lastFM_47671,0.9926010966,ditto_plm
mbrainz_10198,lastFM_21756,0.9926006198,ditto_plm
mbrainz_12513,lastFM_26947,0.9925957322,ditto_plm
mbrainz_15344,lastFM_33751,0.9925938249,ditto_plm
mbrainz_18430,lastFM_44730,0.9925820827,ditto_plm
mbrainz_2145,lastFM_4657,0.9925803542,ditto_plm
mbrainz_7508,lastFM_16033,0.992579639,ditto_plm
mbrainz_10108,lastFM_21537,0.9925795197,ditto_plm
mbrainz_11264,lastFM_24155,0.9925738573,ditto_plm
mbrainz_1209,lastFM_2789,0.992572248,ditto_plm
mbrainz_1101,lastFM_2540,0.9925665855,ditto_plm
mbrainz_9807,lastFM_20885,0.9925641418,ditto_plm
mbrainz_29297,lastFM_73059,0.9925635457,ditto_plm
mbrainz_15088,lastFM_33176,0.9925563931,ditto_plm
mbrainz_22925,lastFM_58171,0.9925529361,ditto_plm
mbrainz_7299,lastFM_15597,0.9925512075,ditto_plm
mbrainz_931,lastFM_2157,0.9925493002,ditto_plm
mbrainz_21294,lastFM_53870,0.9925480485,ditto_plm
mbrainz_9827,lastFM_20923,0.9925478101,ditto_plm
mbrainz_3917,lastFM_31199,0.9925474524,ditto_plm
mbrainz_14007,lastFM_30428,0.9925293326,ditto_plm
mbrainz_2822,lastFM_5985,0.992528677,ditto_plm
mbrainz_4611,lastFM_9500,0.9925270081,ditto_plm
mbrainz_970,lastFM_2243,0.9925265312,ditto_plm
mbrainz_8737,lastFM_18612,0.992526412,ditto_plm
mbrainz_15220,lastFM_33492,0.9925251007,ditto_plm
mbrainz_29510,lastFM_73597,0.9925193787,ditto_plm
mbrainz_542,lastFM_1189,0.9925130606,ditto_plm
mbrainz_23678,lastFM_60026,0.9925079942,ditto_plm
mbrainz_15045,lastFM_33082,0.9925075173,ditto_plm
mbrainz_15309,lastFM_33667,0.9925066829,ditto_plm
mbrainz_13618,lastFM_29507,0.9925064445,ditto_plm
mbrainz_26303,lastFM_66042,0.9924980998,ditto_plm
mbrainz_5198,lastFM_10839,0.992495656,ditto_plm
mbrainz_5054,lastFM_10490,0.9924939871,ditto_plm
mbrainz_2475,lastFM_5278,0.9924927354,ditto_plm
mbrainz_6492,lastFM_13701,0.9924909472,ditto_plm
mbrainz_19614,lastFM_48868,0.9924841523,ditto_plm
mbrainz_2227,lastFM_4820,0.9924799204,ditto_plm
mbrainz_28440,lastFM_71101,0.992479682,ditto_plm
mbrainz_14463,lastFM_31636,0.9924795628,ditto_plm
mbrainz_3359,lastFM_7035,0.9924768806,ditto_plm
mbrainz_15139,lastFM_33295,0.9924727678,ditto_plm
mbrainz_2796,lastFM_5934,0.9924616218,ditto_plm
mbrainz_2017,lastFM_4448,0.9924588799,ditto_plm
mbrainz_17572,lastFM_37497,0.9924579859,ditto_plm
mbrainz_4139,lastFM_8578,0.9924573898,ditto_plm
mbrainz_12297,lastFM_26470,0.9924566746,ditto_plm
mbrainz_3539,lastFM_7396,0.9924556017,ditto_plm
mbrainz_229,lastFM_400,0.99245435,ditto_plm
