id,name,releaseYear,developer,publisher,platform,genres,criticScore,userScore,ESRB,units_sold_mm
sales_1,Wii Sports,2006-01-01 00:00:00,Nintendo,Nintcndo,Wii,Sports,76.0,8.0,E,82000000.0
sales_2,Mario Kart Wii,2008-01-01 00:00:00,Nintcndo,Nintendo,Wii,Racing,82.0,8.3,E,35000000.0
sales_3,Wii Sports Resort,,Nintendo,Nintendo,Wii,Sports,80.0,,E,32000000.0
sales_4,New Super Mario Bros.,2006-01-01 00:00:00,Nintendo,Nintendo,Nintendo DS,Platform,89.0,8.5,,29000000.0
sales_5,Wii Play,2006-01-01 00:00:00,Nintendo,Nintendo,Wii,Misc,,6.6,E,28000000.0
sales_6,New Super Mario Bros. Wii,2009-01-01 00:00:00,Nintendo,,Wii,Platform,87.0,8.4,E,28000000.0
sales_7,Mario Kart DS,2005-01-01 00:00:00,Nintendo,Nintendo,Nintendo DS,Racing,,8.6,E,23000000.0
sales_8,Wii Fit,,Nintendo,Nintendo,Wii,Sports,80.0,7.7,E,22000000.0
sales_9,Kinect Adventures!,2010-01-01 00:00:00,Good Science Studio,Microsoft Game Studios,Xbox 360,Misc,61.0,,E,21000000.0
sales_10,Wii Fit Plus,2009-01-01 00:00:00,Nintendo,Nintendo,Wii,Sports,80.0,7.4,E,21000000.0
sales_11,Grand Theft Auto V,2013-01-01 00:00:00,Rockstar North,Interactive Take-Two,PlayStation 3,Action,97.0,8.2,M,21000000.0
sales_12,Grand Theft Auto: San Andreas,2004-01-01 00:00:00,Rockstar North,,PlayStation 2,Action,95.0,9.0,M,20000000.0
sales_13,Brain Age: Train Your Brain in Minutes a Day,2005-01-01 00:00:00,Nintendo,Nintendo,Nintendo DS,Misc,77.0,7.9,E,20000000.0
sales_14,Grand Theft Auto V,2013-01-01 00:00:00,Rockstar North,Interactive,Xbox 360,,97.0,8.1,M,16000000.0
sales_15,Grand Theft Auto: Vice City,2002-01-01 00:00:00,,,PlayStation 2,Action,,8.7,M,16000000.0
sales_16,Brain Age 2: More Training in Minutes a Day,2005-01-01 00:00:00,Nintendo,Nintendo,Nintendo DS,Puzzle,77.0,7.1,E,15000000.0
sales_17,Gran Turismo 3: A-Spec,2001-01-01 00:00:00,Polyphony Digital,Computer Sony Entertainment,PlayStation 2,Racing,95.0,8.4,E,14000000.0
sales_18,Call of Duty: Modern Warfare 3,2011-01-01 00:00:00,"Infinity Ward, Sledgehammer Games",Activision,Xbox 360,Shooter,88.0,3.4,M,14000000.0
