cluster_size,frequency,percentage
2,1102,30.274725274725274
3,649,17.82967032967033
4,383,10.521978021978022
5,279,7.664835164835165
6,173,4.752747252747253
7,163,4.478021978021978
8,126,3.4615384615384617
9,82,2.2527472527472527
10,79,2.17032967032967
11,59,1.6208791208791211
12,51,1.4010989010989012
13,36,0.9890109890109889
14,42,1.153846153846154
15,34,0.9340659340659341
16,30,0.8241758241758242
17,26,0.7142857142857143
18,32,0.8791208791208791
19,20,0.5494505494505495
20,16,0.43956043956043955
21,24,0.6593406593406593
22,21,0.576923076923077
23,14,0.38461538461538464
24,21,0.576923076923077
25,15,0.4120879120879121
26,14,0.38461538461538464
27,14,0.38461538461538464
28,9,0.24725274725274723
29,8,0.21978021978021978
30,6,0.16483516483516483
31,4,0.10989010989010989
32,6,0.16483516483516483
33,4,0.10989010989010989
34,3,0.08241758241758242
35,5,0.13736263736263737
36,8,0.21978021978021978
37,2,0.054945054945054944
38,6,0.16483516483516483
39,6,0.16483516483516483
40,9,0.24725274725274723
41,1,0.027472527472527472
43,4,0.10989010989010989
45,1,0.027472527472527472
46,3,0.08241758241758242
47,1,0.027472527472527472
48,2,0.054945054945054944
49,2,0.054945054945054944
51,1,0.027472527472527472
52,1,0.027472527472527472
54,2,0.054945054945054944
55,2,0.054945054945054944
56,2,0.054945054945054944
57,1,0.027472527472527472
59,2,0.054945054945054944
60,2,0.054945054945054944
61,1,0.027472527472527472
62,2,0.054945054945054944
64,2,0.054945054945054944
65,1,0.027472527472527472
68,1,0.027472527472527472
72,1,0.027472527472527472
73,1,0.027472527472527472
74,2,0.054945054945054944
75,1,0.027472527472527472
77,2,0.054945054945054944
79,1,0.027472527472527472
80,1,0.027472527472527472
84,2,0.054945054945054944
85,1,0.027472527472527472
88,1,0.027472527472527472
89,1,0.027472527472527472
95,1,0.027472527472527472
101,1,0.027472527472527472
108,1,0.027472527472527472
131,1,0.027472527472527472
133,1,0.027472527472527472
153,1,0.027472527472527472
172,1,0.027472527472527472
302,1,0.027472527472527472
346,1,0.027472527472527472
524,1,0.027472527472527472
598,1,0.027472527472527472
