case,pair,variant,model,train_total,train_positives,train_negatives,val_f1,val_precision,val_recall,tokens_used,test_f1,test_precision,test_recall,f1,precision,recall,source_file
companies,dbpedia_forbes,faiss_small,logreg,100,34,66,0.99,0.99,0.99,0,0.8082191780821918,0.7108433734939759,0.9365079365079364,0.99,0.99,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,faiss_small,xgb,100,34,66,0.9751243781094528,0.9702970297029704,0.98,0,,,,0.9751243781094528,0.9702970297029704,0.98,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,faiss_small,rf,100,34,66,0.9748743718592964,0.9797979797979798,0.97,0,,,,0.9748743718592964,0.9797979797979798,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,faiss_small,hist_gb,100,34,66,0.9611650485436892,0.9339622641509434,0.99,0,,,,0.9611650485436892,0.9339622641509434,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,faiss_small,gb,100,34,66,0.9565217391304348,0.9252336448598132,0.99,0,,,,0.9565217391304348,0.9252336448598132,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,faiss_large,hist_gb,600,200,400,0.9850746268656716,0.9801980198019802,0.99,0,0.9037037037037036,0.8472222222222222,0.9682539682539684,0.9850746268656716,0.9801980198019802,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,faiss_large,xgb,600,200,400,0.9849246231155778,0.98989898989899,0.98,0,,,,0.9849246231155778,0.98989898989899,0.98,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,faiss_large,logreg,600,200,400,0.9801980198019802,0.9705882352941176,0.99,0,,,,0.9801980198019802,0.9705882352941176,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,faiss_large,rf,600,200,400,0.979591836734694,1.0,0.96,0,,,,0.979591836734694,1.0,0.96,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,faiss_large,gb,600,200,400,0.9753694581280788,0.9611650485436892,0.99,0,,,,0.9753694581280788,0.9611650485436892,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,active,gb,2558,200,2358,0.9949748743718592,1.0,0.99,0,0.931297709923664,0.8970588235294118,0.9682539682539684,0.9949748743718592,1.0,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,active,hist_gb,2558,200,2358,0.9949748743718592,1.0,0.99,0,,,,0.9949748743718592,1.0,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,active,xgb,2558,200,2358,0.9949748743718592,1.0,0.99,0,,,,0.9949748743718592,1.0,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,active,rf,2558,200,2358,0.9850746268656716,0.9801980198019802,0.99,0,,,,0.9850746268656716,0.9801980198019802,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,active,logreg,2558,200,2358,0.9847715736040608,1.0,0.97,0,,,,0.9847715736040608,1.0,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,faiss_small_plus_random,logreg,120,34,86,0.9850746268656716,0.9801980198019802,0.99,0,0.8082191780821918,0.7108433734939759,0.9365079365079364,0.9850746268656716,0.9801980198019802,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
