cluster_size,frequency,percentage
2,13008,26.408965405229818
3,35092,71.24411239239889
4,365,0.7410264739321099
5,337,0.6841806074386877
6,311,0.63139515998051
7,39,0.07917817118726653
8,28,0.05684586649342212
9,25,0.05075523794055547
10,6,0.012181257105733312
11,7,0.01421146662335553
12,7,0.01421146662335553
13,5,0.010151047588111093
14,2,0.004060419035244437
15,2,0.004060419035244437
16,3,0.006090628552866656
17,4,0.008120838070488873
19,1,0.0020302095176222184
20,1,0.0020302095176222184
21,1,0.0020302095176222184
22,1,0.0020302095176222184
23,1,0.0020302095176222184
24,1,0.0020302095176222184
27,1,0.0020302095176222184
29,1,0.0020302095176222184
34,1,0.0020302095176222184
39,2,0.004060419035244437
40,1,0.0020302095176222184
49,1,0.0020302095176222184
64,1,0.0020302095176222184
125,1,0.0020302095176222184
