matcher,threshold,f1,precision,recall,true_positives,false_positives,false_negatives,string_similarity_function,string_tokenization,n_comparators,classifier,use_probabilities,n_features,hyperparams
RuleBasedMatcher,0.5,0.6,0.5142857142857142,0.72,72,68,28,overlap,word,6.0,,,,
RuleBasedMatcher,0.4,0.5952380952380951,0.4934210526315789,0.75,75,77,25,jaccard,word,6.0,,,,
RuleBasedMatcher,0.9,0.5815602836879432,0.45054945054945056,0.82,82,100,18,overlap,char,6.0,,,,
RuleBasedMatcher,0.4,0.5669781931464174,0.4117647058823529,0.91,91,130,9,sorensen_dice,word,6.0,,,,
RuleBasedMatcher,0.3,0.5641025641025642,0.3944223107569721,0.99,99,152,1,sorensen_dice,word,6.0,,,,
RuleBasedMatcher,0.3,0.5641025641025642,0.3944223107569721,0.99,99,152,1,cosine,word,6.0,,,,
RuleBasedMatcher,0.7,0.5616045845272206,0.39357429718875503,0.98,98,151,2,jaro_winkler,,6.0,,,,
RuleBasedMatcher,0.4,0.56,0.392,0.98,98,152,2,levenshtein,,6.0,,,,
RuleBasedMatcher,0.3,0.56,0.392,0.98,98,152,2,jaccard,word,6.0,,,,
RuleBasedMatcher,0.4,0.56,0.392,0.98,98,152,2,damerau_levenshtein,,6.0,,,,
RuleBasedMatcher,0.3,0.559322033898305,0.38976377952755903,0.99,99,155,1,overlap,word,6.0,,,,
RuleBasedMatcher,0.5,0.5552407932011331,0.38735177865612647,0.98,98,155,2,jaccard,char,6.0,,,,
RuleBasedMatcher,0.4,0.5539358600583091,0.39094650205761317,0.95,95,148,5,overlap,word,6.0,,,,
RuleBasedMatcher,0.4,0.5535714285714286,0.3940677966101695,0.93,93,143,7,cosine,word,6.0,,,,
RuleBasedMatcher,0.8,0.5444444444444444,0.3769230769230769,0.98,98,162,2,overlap,char,6.0,,,,
RuleBasedMatcher,0.7,0.5420560747663552,0.3936651583710407,0.87,87,134,13,cosine,char,6.0,,,,
RuleBasedMatcher,0.3,0.5420054200542006,0.37174721189591076,1.0,100,169,0,levenshtein,,6.0,,,,
RuleBasedMatcher,0.3,0.5420054200542006,0.37174721189591076,1.0,100,169,0,damerau_levenshtein,,6.0,,,,
RuleBasedMatcher,0.6,0.5414364640883977,0.37404580152671757,0.98,98,164,2,cosine,char,6.0,,,,
RuleBasedMatcher,0.6,0.5408450704225352,0.3764705882352941,0.96,96,159,4,sorensen_dice,char,6.0,,,,
RuleBasedMatcher,0.4,0.5361930294906165,0.3663003663003663,1.0,100,173,0,jaccard,char,6.0,,,,
RuleBasedMatcher,0.5,0.5305039787798409,0.36101083032490977,1.0,100,177,0,sorensen_dice,char,6.0,,,,
RuleBasedMatcher,0.6,0.5297297297297298,0.362962962962963,0.98,98,172,2,jaro_winkler,,6.0,,,,
RuleBasedMatcher,0.7,0.5279999999999999,0.36,0.99,99,176,1,overlap,char,6.0,,,,
RuleBasedMatcher,0.6,0.5270270270270271,0.3979591836734694,0.78,78,118,22,jaccard,char,6.0,,,,
RuleBasedMatcher,0.5,0.5249343832020997,0.35587188612099646,1.0,100,181,0,cosine,char,6.0,,,,
RuleBasedMatcher,0.7,0.5150501672240803,0.3869346733668342,0.77,77,122,23,sorensen_dice,char,6.0,,,,
RuleBasedMatcher,0.5,0.5146579804560261,0.38164251207729466,0.79,79,128,21,levenshtein,,6.0,,,,
RuleBasedMatcher,0.5,0.5146579804560261,0.38164251207729466,0.79,79,128,21,damerau_levenshtein,,6.0,,,,
RuleBasedMatcher,0.5,0.5141388174807198,0.3460207612456747,1.0,100,189,0,jaro_winkler,,6.0,,,,
RuleBasedMatcher,0.5,0.5136612021857923,0.5662650602409639,0.47,47,36,53,cosine,word,6.0,,,,
RuleBasedMatcher,0.3,0.5102040816326531,0.3424657534246575,1.0,100,192,0,jaccard,char,6.0,,,,
RuleBasedMatcher,0.6,0.5089058524173028,0.3412969283276451,1.0,100,193,0,overlap,char,6.0,,,,
RuleBasedMatcher,0.4,0.5076142131979695,0.3401360544217687,1.0,100,194,0,sorensen_dice,char,6.0,,,,
