matcher,threshold,f1,precision,recall,true_positives,false_positives,false_negatives,string_similarity_function,string_tokenization,n_comparators,classifier,use_probabilities,n_features,hyperparams
RuleBasedMatcher,0.3,0.5649717514124294,0.3937007874015748,1.0,100,154,0,overlap,word,6.0,,,,
RuleBasedMatcher,0.3,0.563049853372434,0.3983402489626556,0.96,96,145,4,cosine,word,6.0,,,,
RuleBasedMatcher,0.3,0.56047197640118,0.39748953974895396,0.95,95,144,5,sorensen_dice,word,6.0,,,,
RuleBasedMatcher,0.4,0.5414012738853503,0.397196261682243,0.85,85,129,15,overlap,word,6.0,,,,
RuleBasedMatcher,0.3,0.5351351351351351,0.36666666666666664,0.99,99,171,1,levenshtein,,6.0,,,,
RuleBasedMatcher,0.3,0.5351351351351351,0.36666666666666664,0.99,99,171,1,damerau_levenshtein,,6.0,,,,
RuleBasedMatcher,0.6,0.534435261707989,0.3688212927756654,0.97,97,166,3,jaro_winkler,,6.0,,,,
RuleBasedMatcher,0.5,0.5317460317460317,0.4407894736842105,0.67,67,85,33,overlap,word,6.0,,,,
RuleBasedMatcher,0.6,0.5310734463276836,0.3700787401574803,0.94,94,160,6,cosine,char,6.0,,,,
RuleBasedMatcher,0.4,0.5297297297297298,0.362962962962963,0.98,98,172,2,jaccard,char,6.0,,,,
RuleBasedMatcher,0.7,0.5291005291005291,0.3597122302158273,1.0,100,178,0,overlap,char,6.0,,,,
RuleBasedMatcher,0.9,0.5259259259259259,0.4176470588235294,0.71,71,99,29,overlap,char,6.0,,,,
MLBasedMatcher,0.3,0.524822695035461,0.9024390243902439,0.37,37,4,63,,,,xgboost,True,72.0,"{'objective': 'binary:logistic', 'colsample_bytree': 1.0, 'enable_categorical': False, 'eval_metric': 'logloss', 'learning_rate': 0.1, 'max_depth': 3, 'missing': nan, 'n_estimators': 300, 'scale_pos_weight': 11.5, 'subsample': 1.0, 'use_label_encoder': False}"
RuleBasedMatcher,0.5,0.5240641711229946,0.35766423357664234,0.98,98,176,2,sorensen_dice,char,6.0,,,,
RuleBasedMatcher,0.5,0.5210526315789473,0.3535714285714286,0.99,99,181,1,cosine,char,6.0,,,,
RuleBasedMatcher,0.3,0.5181347150259067,0.34965034965034963,1.0,100,186,0,jaccard,char,6.0,,,,
RuleBasedMatcher,0.4,0.5178571428571429,0.3686440677966102,0.87,87,149,13,levenshtein,,6.0,,,,
RuleBasedMatcher,0.4,0.5178571428571429,0.3686440677966102,0.87,87,149,13,damerau_levenshtein,,6.0,,,,
RuleBasedMatcher,0.5,0.5161290322580645,0.3651452282157676,0.88,88,153,12,jaccard,char,6.0,,,,
RuleBasedMatcher,0.3,0.5157232704402516,0.3761467889908257,0.82,82,136,18,jaccard,word,6.0,,,,
RuleBasedMatcher,0.5,0.5141388174807198,0.3460207612456747,1.0,100,189,0,jaro_winkler,,6.0,,,,
RuleBasedMatcher,0.6,0.5102639296187683,0.36099585062240663,0.87,87,154,13,sorensen_dice,char,6.0,,,,
RuleBasedMatcher,0.4,0.5089974293059125,0.34256055363321797,0.99,99,190,1,sorensen_dice,char,6.0,,,,
RuleBasedMatcher,0.4,0.5083612040133778,0.38190954773869346,0.76,76,123,24,cosine,word,6.0,,,,
RuleBasedMatcher,0.6,0.5063291139240507,0.3389830508474576,1.0,100,195,0,overlap,char,6.0,,,,
RuleBasedMatcher,0.4,0.5051194539249146,0.38341968911917096,0.74,74,119,26,sorensen_dice,word,6.0,,,,
MLBasedMatcher,0.3,0.5043988269794721,0.35684647302904565,0.86,86,155,14,,,,logreg,True,72.0,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'max_iter': 1000, 'multi_class': 'deprecated', 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': False}"
RuleBasedMatcher,0.4,0.5025125628140704,0.33557046979865773,1.0,100,198,0,cosine,char,6.0,,,,
RuleBasedMatcher,0.7,0.5015290519877675,0.36123348017621143,0.82,82,145,18,jaro_winkler,,6.0,,,,
RuleBasedMatcher,0.8,0.5014577259475218,0.35390946502057613,0.86,86,157,14,overlap,char,6.0,,,,
RuleBasedMatcher,0.3,0.5012531328320802,0.33444816053511706,1.0,100,199,0,sorensen_dice,char,6.0,,,,
RuleBasedMatcher,0.3,0.5012531328320802,0.33444816053511706,1.0,100,199,0,cosine,char,6.0,,,,
MLBasedMatcher,0.4,0.5,0.36160714285714285,0.81,81,143,19,,,,logreg,True,72.0,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'max_iter': 1000, 'multi_class': 'deprecated', 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': False}"
RuleBasedMatcher,0.3,0.5,0.3333333333333333,1.0,100,200,0,jaro_winkler,,6.0,,,,
RuleBasedMatcher,0.4,0.5,0.3333333333333333,1.0,100,200,0,jaro_winkler,,6.0,,,,
RuleBasedMatcher,0.3,0.5,0.3333333333333333,1.0,100,200,0,monge_elkan,word,6.0,,,,
RuleBasedMatcher,0.4,0.5,0.3333333333333333,1.0,100,200,0,monge_elkan,word,6.0,,,,
RuleBasedMatcher,0.5,0.5,0.3333333333333333,1.0,100,200,0,monge_elkan,word,6.0,,,,
RuleBasedMatcher,0.6,0.5,0.3333333333333333,1.0,100,200,0,monge_elkan,word,6.0,,,,
RuleBasedMatcher,0.7,0.5,0.3333333333333333,1.0,100,200,0,monge_elkan,word,6.0,,,,
RuleBasedMatcher,0.8,0.5,0.3333333333333333,1.0,100,200,0,monge_elkan,word,6.0,,,,
RuleBasedMatcher,0.9,0.5,0.3333333333333333,1.0,100,200,0,monge_elkan,word,6.0,,,,
RuleBasedMatcher,0.3,0.5,0.3333333333333333,1.0,100,200,0,overlap,char,6.0,,,,
RuleBasedMatcher,0.4,0.5,0.3333333333333333,1.0,100,200,0,overlap,char,6.0,,,,
RuleBasedMatcher,0.5,0.5,0.3333333333333333,1.0,100,200,0,overlap,char,6.0,,,,
MLBasedMatcher,0.3,0.4939759036144578,0.6212121212121212,0.41,41,25,59,,,,rf,True,72.0,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'oob_score': False, 'warm_start': False}"
RuleBasedMatcher,0.4,0.472,0.3933333333333333,0.59,59,91,41,jaccard,word,6.0,,,,
RuleBasedMatcher,0.5,0.4676616915422886,0.46534653465346537,0.47,47,54,53,cosine,word,6.0,,,,
MLBasedMatcher,0.6,0.46640316205533594,0.38562091503267976,0.59,59,94,41,,,,logreg,True,72.0,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'max_iter': 1000, 'multi_class': 'deprecated', 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': False}"
RuleBasedMatcher,0.7,0.46478873239436624,0.358695652173913,0.66,66,118,34,cosine,char,6.0,,,,
MLBasedMatcher,0.5,0.4569536423841059,0.3415841584158416,0.69,69,133,31,,,,logreg,True,72.0,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'max_iter': 1000, 'multi_class': 'deprecated', 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': False}"
RuleBasedMatcher,0.7,0.450381679389313,0.36419753086419754,0.59,59,103,41,sorensen_dice,char,6.0,,,,
RuleBasedMatcher,0.6,0.44961240310077516,0.3670886075949367,0.58,58,100,42,jaccard,char,6.0,,,,
RuleBasedMatcher,0.5,0.44360902255639095,0.35542168674698793,0.59,59,107,41,levenshtein,,6.0,,,,
RuleBasedMatcher,0.5,0.4419475655430712,0.3532934131736527,0.59,59,108,41,damerau_levenshtein,,6.0,,,,
RuleBasedMatcher,0.5,0.43749999999999994,0.45652173913043476,0.42,42,50,58,sorensen_dice,word,6.0,,,,
RuleBasedMatcher,0.6,0.43428571428571433,0.5066666666666667,0.38,38,37,62,overlap,word,6.0,,,,
