matcher,threshold,f1,precision,recall,true_positives,false_positives,false_negatives,string_similarity_function,string_tokenization,n_comparators,classifier,use_probabilities,n_features,hyperparams
RuleBasedMatcher,0.5,0.6204081632653062,0.5241379310344828,0.76,76,69,24,overlap,word,6.0,,,,
RuleBasedMatcher,0.3,0.5975609756097562,0.4298245614035088,0.98,98,130,2,sorensen_dice,word,6.0,,,,
RuleBasedMatcher,0.3,0.5957446808510639,0.4279475982532751,0.98,98,131,2,cosine,word,6.0,,,,
RuleBasedMatcher,0.4,0.5886524822695035,0.45604395604395603,0.83,83,99,17,sorensen_dice,word,6.0,,,,
RuleBasedMatcher,0.4,0.5863192182410424,0.43478260869565216,0.9,90,117,10,overlap,word,6.0,,,,
RuleBasedMatcher,0.4,0.5859872611464969,0.42990654205607476,0.92,92,122,8,levenshtein,,6.0,,,,
RuleBasedMatcher,0.4,0.5859872611464969,0.42990654205607476,0.92,92,122,8,damerau_levenshtein,,6.0,,,,
RuleBasedMatcher,0.4,0.5850340136054422,0.44329896907216493,0.86,86,108,14,cosine,word,6.0,,,,
RuleBasedMatcher,0.3,0.5830903790087464,0.411522633744856,1.0,100,143,0,overlap,word,6.0,,,,
RuleBasedMatcher,0.4,0.5726872246696036,0.5118110236220472,0.65,65,62,35,jaccard,word,6.0,,,,
RuleBasedMatcher,0.7,0.5714285714285714,0.4144144144144144,0.92,92,130,8,jaro_winkler,,6.0,,,,
RuleBasedMatcher,0.3,0.5659163987138264,0.41706161137440756,0.88,88,123,12,jaccard,word,6.0,,,,
RuleBasedMatcher,0.9,0.5652173913043479,0.4431818181818182,0.78,78,98,22,overlap,char,6.0,,,,
RuleBasedMatcher,0.5,0.5459940652818991,0.3881856540084388,0.92,92,145,8,jaccard,char,6.0,,,,
RuleBasedMatcher,0.6,0.5459610027855153,0.3783783783783784,0.98,98,161,2,cosine,char,6.0,,,,
RuleBasedMatcher,0.6,0.5443786982248521,0.3865546218487395,0.92,92,146,8,sorensen_dice,char,6.0,,,,
RuleBasedMatcher,0.3,0.5434782608695653,0.373134328358209,1.0,100,168,0,levenshtein,,6.0,,,,
RuleBasedMatcher,0.3,0.5434782608695653,0.373134328358209,1.0,100,168,0,damerau_levenshtein,,6.0,,,,
