cluster_id,dbscan_cluster
1002037,0
5094700,0
627961,0
699660,0
919630,0
1207612,0
971452,0
94676,1
1787087,1
1592336,1
213472,1
510345,1
1004942,1
479137,1
471238,1
469422,1
4590655,1
455795,1
1578824,1
175411,1
416806,1
4016786,1
1376881,1
2372489,1
2862346,1
1540902,1
153558,1
1524442,1
3254311,1
561669,1
2066716,1
1482775,1
79991232,1
899082,1
1102119,1
625719,1
900566,1
1905053,1
918378,1
89269,1
1014052,1
195932,1
179287,1
1154215,1
68252772,1
1174110,1
1142172,1
84984,1
375029,2
1007272,2
801781,2
1803142,3
289846,3
2566778,3
1788669,3
2935408,3
1990178,3
227533,3
2254265,3
2222418,3
1814777,3
1952049,3
195848,3
2195680,3
196189,3
2118319,3
3031095,3
228952,3
213319,3
440296,3
3193888,3
964313,3
94508,3
944398,3
941862,3
784833,3
773682,3
738743,3
728150,3
708641,3
697270,3
614836,3
60518,3
581004,3
561288,3
3084900,3
532748,3
488132,3
4520031,3
449937,3
445738,3
423875,3
407366,3
3773583,3
3627746,3
3492668,3
343854,3
3406258,3
3400853,3
327147,3
320546,3
5306,3
1775734,3
2949522,3
1320297,3
1075342,3
1561314,3
1391915,3
1640388,3
140425,3
1293412,3
1038355,3
1029916,3
1630366,3
1021594,3
1014152,3
1349881,3
1764621,3
1028734,3
1477040,3
129607,4
1935475,4
1085000,4
850467,4
2014983,4
512363,4
443484,4
297025,4
751196,4
70963,4
1925917,4
38085,4
1720277,4
3038519,4
504703,4
949762,4
383700,4
515613,8
1421697,8
1347815,8
827983,8
1045382,8
1168370,8
1856741,8
491,8
89058,8
415023,8
69555,9
156886,9
686147,9
3524973,9
649471,9
428120,9
1857431,9
467023,9
6491492,9
800218,9
163038,9
36717,9
574722,9
3122574,9
688630,9
1048970,9
277135,9
31583,12
181620,12
1057972,12
187372,12
1665283,12
851658,12
350379,18
106914,18
993500,18
259382,20
1077512,20
1090670,23
225543,23
3565460,25
2022564,25
73911836,25
73576,25
110368,25
334671,25
2535969,26
110876,26
14618,27
307333,27
148297,27
1250921,27
3178821,27
361987,27
510102,27
498018,27
484124,27
483248,27
1433581,27
4567704,27
416703,27
416166,27
41595,27
3774945,27
135220,27
384084,27
403486,27
392768,27
1455368,27
97761,27
267891,27
1365371,27
211868,27
158919,27
1585277,27
2251389,27
782338,27
1118481,27
761924,27
742988,27
2313670,27
884374,27
2343693,27
2356496,27
1134888,27
11349,27
2178740,27
1936147,27
118048,27
972766,27
971796,27
1214750,27
17920,27
1196065,27
1195642,27
1929165,27
657936,27
216453,27
274622,27
18879,27
1929047,27
663171,27
1121132,28
1194060,28
2847398,28
3959733,28
236259,30
1131083,30
832337,30
932319,30
484939,30
257087,32
1153072,32
4653452,40
1214022,40
3305887,41
1222741,41
199460,42
12239486,42
4122764,42
217420,42
2082644,43
1227380,43
2182419,49
1307351,49
327893,49
1252792,49
2739564,49
292413,49
560073,51
177478,51
337519,51
1822374,51
77345,53
1281060,53
1943588,56
1283978,56
1305338,60
92856,60
363112,61
131817,61
390895,63
249450,63
1442175,63
943959,63
345616,63
1334382,63
4010258,63
1811932,63
179529,63
3739357,63
602045,66
133996,66
1416690,71
1772695,71
672437,72
1416702,72
288547,74
1428897,74
443059,77
1458655,77
329031,84
231313,84
362653,84
36163,84
2376420,84
15244,85
15409598,85
1984832,87
785474,87
2469857,87
4422579,87
913715,87
3385620,87
154180,87
1566638,90
697281,90
845332,91
156996,91
2751278,94
1578934,94
2865325,96
1589929,96
1613676,101
688265,101
1845004,104
796355,104
1619199,104
165866,108
913397,108
547680,108
1777197,110
1661469,110
1693808,113
961097,113
779289,113
6274519,114
1704516,114
1711337,116
1717887,116
1717489,117
4236016,117
1797490,123
380641,123
435008,123
1823245,128
589459,128
29428,128
18321,129
674847,129
2838344,129
1925591,141
2045439,141
3747560,149
525101,149
3442267,149
5411801,153
43756420,153
3775297,153
279005,153
28258108,153
205977,156
318005,156
3368927,161
2111798,161
2336754,161
727239,163
2121778,163
32592,171
221808,171
45783418,176
4181758,176
2280795,176
5951871,177
928273,177
229034,177
5728686,184
234589,184
929229,188
239768,188
2802296,188
3349557,188
27141,188
2629815,204
40783,204
823927,204
756382,204
498972,204
2632323,205
750032,205
503649,208
79822,208
34982,208
78417016,209
32833203,209
33072572,209
54008584,209
31874468,209
26684427,209
67670136,209
78417051,209
43963030,214
2803549,214
603762,216
2832947,216
4705298,217
2834366,217
2900418,223
70841,223
3090121,233
3421070,233
328311,243
665327,243
4583136,267
3769718,267
482835,295
713210,295
569996,317
61124257,317
