cluster_id,dbscan_cluster
3772089,1
808561,1
3260482,1
3322319,1
575689,1
26956,3
4065188,3
4285419,3
456751,3
5008313,3
501402,3
564620,3
689245,3
695873,3
742606,3
795903,3
944395,3
2403388,3
2359738,3
959474,3
1051451,3
1125404,3
132852,3
1405646,3
213112,4
825594,4
824487,4
171384,4
1917119,4
1023407,4
2359996,4
3309161,9
2138331,9
94530,9
841832,9
685556,12
45957432,12
5053718,27
2389912,27
1640954,27
1246499,42
45917885,42
26785092,42
694806,52
1263391,52
1727997,76
145595,76
851078,76
1491425,80
1981327,80
763994,84
1516999,84
416083,84
351217,84
2552440,121
1767558,121
920756,143
1939560,143
5211247,143
2807367,143
79902248,153
2038711,153
241392,189
659318,189
753727,202
2589601,202
65450,324
59638547,324
699847,339
795374,339
