source_dataset,source_column,target_dataset,target_column,score
crossref,id,papers,id,1.0
crossref,type,papers,type,1.0
crossref,title,papers,title,1.0
crossref,authors,papers,authors,1.0
crossref,publication_year,papers,publication_year,1.0
crossref,journal,papers,journal,1.0
crossref,publisher,papers,publisher,1.0
crossref,keywords,papers,keywords,1.0
crossref,volume,papers,volume,1.0
crossref,issue,papers,issue,1.0
crossref,first_page,papers,first_page,1.0
crossref,last_page,papers,last_page,1.0
crossref,referenced_works_count,papers,referenced_works_count,1.0
crossref,cited_by_count,papers,cited_by_count,1.0
dblp,id,papers,id,1.0
dblp,typ,papers,type,1.0
dblp,ttl,papers,title,1.0
dblp,auth,papers,authors,1.0
dblp,pub_yr,papers,publication_year,1.0
dblp,jrnl,papers,journal,1.0
dblp,pub,papers,publisher,1.0
dblp,kwds,papers,keywords,1.0
dblp,vol,papers,volume,1.0
dblp,iss,papers,issue,1.0
dblp,fpage,papers,first_page,1.0
dblp,lpage,papers,last_page,1.0
dblp,ref_cnt,papers,referenced_works_count,1.0
dblp,cite_cnt,papers,cited_by_count,1.0
open_alex,id,papers,id,1.0
open_alex,wt,papers,type,1.0
open_alex,tt,papers,title,1.0
open_alex,aus,papers,authors,1.0
open_alex,pyr,papers,publication_year,1.0
open_alex,jrn,papers,journal,1.0
open_alex,pbl,papers,publisher,1.0
open_alex,kwd,papers,keywords,1.0
open_alex,vol,papers,volume,1.0
open_alex,isu,papers,issue,1.0
open_alex,fpa,papers,first_page,1.0
open_alex,lpa,papers,last_page,1.0
open_alex,rwn,papers,referenced_works_count,1.0
open_alex,cby,papers,cited_by_count,1.0
