id,brand,title,description,price,priceCurrency,cluster_id,url,title_description,model,model_number,product_type,chipset_name,vram_gb,storage_gb,read_speed_mb_s,write_speed_mb_s,bus_type,interface_type,width_mm,length_mm,height_mm,weight_g,storage_connection_type,memory_type,color,form_factor
products_2_19126355,Gigabyte,Gigabyte NVIDIA GeForce RTX 3080 10GB GAMING OC Ampere Graphics Card,"Gigabyte NVIDIA GeForce RTX 3080 GAMING OC 10GB GDDR6X Ray-Tracing Graphics Card, 8704 Core, 1440MHz Core, 1800MHz Boost","99,999.99",GBP,1002037.0,https://www.scan.co.uk/products/gigabyte-nvidia-geforce-rtx-3080-gaming-oc-10gb-gddr6x-ray-tracing-graphics-card,"Gigabyte NVIDIA GeForce RTX 3080 10GB GAMING OC Ampere Graphics Card. Description: Gigabyte NVIDIA GeForce RTX 3080 GAMING OC 10GB GDDR6X Ray-Tracing Graphics Card, 8704 Core, 1440MHz Core, 1800MHz Boost",GeForce RTX 3080 10GB GAMING OC,GV-N3080GAMING OC-10GD,GPU,,10.0 GB,,,,,,,,,,,,,
products_2_46775597,Corsair,Corsair Force MP510 M.2 SSD - 960GB,"CORSAIR Force Series MP510 960GB M.2 SSD PCIe Gen3 x4, M.2 NVMe, up to 3480/ 3000MB/ s read/ write (CSSD-F960GBMP510) - Läshastighet: 3.48GB/s - Skrivhastighet: 3GB/s - Gränssnitt: PCI Express 3.0 - Formfaktor: M.2 - Kapacitet: 960GB","2,124.0",NOK,1007272.0,https://www.dindator.se/corsair-force-series-mp510-960gb/cat-p/c0/p10417578,"CORSAIR - Force Series MP510 960GB M.2 SSD PCIe Gen3 x4, M.2 NVMe, up to 3480/3000MB/s read/write. Description: CORSAIR Force Series MP510 960GB M.2 SSD PCIe Gen3 x4, M.2 NVMe, up to 3480/ 3000MB/ s read/ write (CSSD-F960GBMP510) - Läshastighet: 3.48GB/s - Skrivhastighet: 3GB/s - Gränssnitt: PCI Express 3.0 - Formfaktor: M.2 - Kapacitet: 960GB",Force Series MP510,CSSD-F960GBMP510,SSD,,,960.0 GB,3480.0 MB/s,3000.0 MB/s,PCI Express x4,,,,,,,,,M.2 2280
products_2_59982711,MSI,GeForce GTX 1660 Ti GAMING X 6G,SpecificationsModel NameGeForce® GTX 1660 Ti GAMING X 6GGraphics Processing UnitNVIDIA® GeForce® GTX 1660 TiInterfacePCI Express x16 3.0Cores1536 UnitsCore ClocksBoost: 1875 MHzMemory Speed12 GbpsMemory6GB GDDR6Memory Bus192-bitOutputDisplayPort x 3 (v1.4) / HDMI 2.0b x 1HDCP Support2.2Power consumption130 WPower connectors8-pin x 1Recommended PSU450 WCard Dimension(mm247 x 127 x 46 mmWeight (Card / Package)869 g / 1511 gAfterburner OCYDirectX Version Support12 APIOpenGL Version Support4.5Maximum Displays4VR ReadyYG-SYNC® technologyYDigital Maximum Resolution7680 x 4320,"1,350.0",AED,1029916.0,https://samspc.com/products/gtx-1660-ti-gaming-x-6g,GeForce GTX 1660 Ti GAMING X 6G. Description: SpecificationsModel NameGeForce® GTX 1660 Ti GAMING X 6GGraphics Processing UnitNVIDIA® GeForce® GTX 1660 TiInterfacePCI Express x16 3.0Cores1536 UnitsCore ClocksBoost: 1875 MHzMemory Speed12 GbpsMemory6GB GDDR6Memory Bus192-bitOutputDisplayPort x 3 (v1.4) / HDMI 2.0b x 1HDCP Support2.2Power consumption130 WPower connectors8-pin x 1Recommended PSU450 WCard Dimension(mm247 x 127 x 46 mmWeight (Card / Package)869 g / 1511 gAfterburner OCYDirectX Version Support12 APIOpenGL Version Support4.5Maximum Displays4VR ReadyYG-SYNC® technologyYDigital Maximum Resolution7680 x 4320,GeForce GTX 1660 Ti GAMING X 6G,912-V375-040,GPU,,,,,,PCI Express x16,,,,,,,GDDR6,,
products_2_66038575,,Asus Strix GeForce RTX 2060 Super EVO OC Gaming 8GB Graphics Card,ROG-STRIX-RTX2060S-O8G-EVO-GAMINGROG Strix GeForce® RTX 2060 SUPER EVO OC edition 8GB GDDR6 with powerful cooling for higher refresh rates and a super performance boost,497.0,EUR,1038355.0,https://www.mymediacenter.nl/asus-rog-strix-rtx2060s-o8g-evo-gaming-8gbhdmidpac.html,ASUS 90YV0DQ0-M0NA00 videokaart NVIDIA GeForce RTX 2060 SUPER 8 GB GDDR6. Description: ROG-STRIX-RTX2060S-O8G-EVO-GAMINGROG Strix GeForce® RTX 2060 SUPER™ EVO OC edition 8GB GDDR6 with powerful cooling for higher refresh rates and a super performance boost,ROG Strix GeForce RTX 2060 SUPER EVO OC edition,90YV0DQ0-M0NA00,GPU,GeForce RTX 2060 Super,8.0 GB,,,,PCIe 4.0,,,,,,,GDDR6,,
products_2_34412534,ADATA,XPG GAMMIX 1TB S11 Pro 3D NAND PCIe NVMe Gen3x4 M.2 2280 SSD (AGAMMIXS11P-1TT-C),"Employing the extra-fast PCIe Gen3x4 interface and supporting NVMe 1.3, the GAMMIX S11 Pro delivers blazing fast read/write speeds of up to 3500/3000MB per second. What’s more, the S11 Pro is encased in a heatsink that reduces the SSD's temperatures by up to 10°C. Equipped with 3D NAND Flash along with SLC Caching, a DRAM Cache Buffer, End-to-End Data Protection, and LDPC ECC technology, it maintains high speeds and data integrity even during intense gaming, rendering, overclocking, and other",139.99,USD,1045382.0,https://www.orion-web.net/rnwp/1269/xpg-gammix-1tb-s11-pro-3d-nand-pcie-nvme-gen3x4-m-2-2280-ssd-agammixs11p-1tt-c,"XPG GAMMIX 1TB S11 Pro 3D NAND PCIe NVMe Gen3x4 M.2 2280 SSD (AGAMMIXS11P-1TT-C). Description: Employing the extra-fast PCIe Gen3x4 interface and supporting NVMe 1.3, the GAMMIX S11 Pro delivers blazing fast read/write speeds of up to 3500/3000MB per second. What’s more, the S11 Pro is encased in a heatsink that reduces the SSD's temperatures by up to 10°C. Equipped with 3D NAND Flash along with SLC Caching, a DRAM Cache Buffer, End-to-End Data Protection, and LDPC ECC technology, it maintains high speeds and data integrity even during intense gaming, rendering, overclocking, and other",GAMMIX S11 Pro,,SSD,,,"1,000.0 GB",3500.0 MB/s,,PCI Express x4,NVMe,22.0,80.0,6.1,11.0,M.2,,,M.2 2280
products_2_34820113,AMD,"Radeon Pro WX 4100, 925 - 1170MHz, 4GB GDDR5, Graphics Card","World’s Fastest Low-Profile Workstation Graphics CardContent creation has evolved over the past ten years, and so have the demands of the designers and creators. CAD professionals want flexible, sleek, and quiet small form-factor workstations. Radeon Pro WX 4100 delivers the performance and reliability workstation users need to get their job done.Great Performance in a Small Form FactorPurpose-built for CAD professionals, the Radeon Pro WX 4100 graphics card is the world’s fastest low-profile workstation graphics solution available today1, delivering up to 2.4 TFLOPS of compute performance. Based on 14nm FinFET technology, the Radeon Pro WX 4100 GPU contains the latest innovations found in the state-of-the-art Polaris GPU architecture.Planned ISV CertificationsThe Radeon Pro certification team is working diligently with our ISV partners to ensure certification on many of the popular applications that are being used in the Design and Manufacturing spaces, making certain that the Radeon Pro WX 4100 graphics card is properly supported on key applications so you can have a hassle-free experience.Quality You Can TrustRadeon Pro WX is the embodiment of innovation and design within the Radeon Technologies Group. Great care is taken into crafting each product to ensure quality and reliability are at the highest of standards. We are proud to stand behind our three year limited warranty (see details at www.amd.com/Warranty) and optional seven year extended limited warranty also available (see details and requirements at www.amd.com/ExtendedWarranty).",268.85,USD,1050421.0,https://www.avadirect.com/Radeon-Pro-WX-4100-925-1170MHz-4GB-GDDR5-Graphics-Card/Product/10913438,"Radeon Pro WX 4100, 925 - 1170MHz, 4GB GDDR5, Graphics Card. Description: World’s Fastest Low-Profile Workstation Graphics CardContent creation has evolved over the past ten years, and so have the demands of the designers and creators. CAD professionals want flexible, sleek, and quiet small form-factor workstations. Radeon™ Pro WX 4100 delivers the performance and reliability workstation users need to get their job done.Great Performance in a Small Form FactorPurpose-built for CAD professionals, the Radeon™ Pro WX 4100 graphics card is the world’s fastest low-profile workstation graphics solution available today1, delivering up to 2.4 TFLOPS of compute performance. Based on 14nm FinFET technology, the Radeon Pro WX 4100 GPU contains the latest innovations found in the state-of-the-art Polaris GPU architecture.Planned ISV CertificationsThe Radeon Pro certification team is working diligently with our ISV partners to ensure certification on many of the popular applications that are being used in the Design and Manufacturing spaces, making certain that the Radeon™ Pro WX 4100 graphics card is properly supported on key applications so you can have a hassle-free experience.Quality You Can TrustRadeon™ Pro WX is the embodiment of innovation and design within the Radeon Technologies Group. Great care is taken into crafting each product to ensure quality and reliability are at the highest of standards. We are proud to stand behind our three year limited warranty (see details at www.amd.com/Warranty) and optional seven year extended limited warranty also available (see details and requirements at www.amd.com/ExtendedWarranty).",Radeon Pro WX 4100,100-506008,GPU,,,,,,PCI Express x8,,,,,,,,,
products_2_87689104,Palit,Palit GeForce GTX 1660 SUPER 6GB StormX Boost Graphics Card,"PALIT VGA GeForce GTX 1660 Super NE6166SS18J9-161F, GDDR6 6GB, StormX OC",371.1,EUR,1051451.0,https://doulfis.gr/product/palit-vga-geforce-gtx-1660-super-ne6166ss18j9-161f-gddr6-6gb-stormx-oc,"PALIT VGA GeForce GTX 1660 Super NE6166SS18J9-161F, GDDR6 6GB, StormX OC. Description: PALIT VGA GeForce GTX 1660 Super NE6166SS18J9-161F, GDDR6 6GB, StormX OC",VGA GeForce GTX 1660 Super StormX OC,NE6166SS18J9-161F,GPU,GeForce GTX 1660 Super,6.0 GB,,,,,,,,,,,GDDR6,,
products_2_40217101,Samsung,Samsung 860 EVO Series SSD 4TB,"4TB Samsung 860 EVO, 2.5\"" SSD, SATA III 6Gb/s, MJX, MLC 3D V-NAND, 4GB Cache, Read 550MB/s, Write 520MB/s, 98k/90k",470.9,GBP,1057972.0,https://www.scan.co.uk/products/4tb-samsung-860-evo-25-ssd-sata-iii-6gb-s-mjx-mlc-v-nand-4gb-cache-read-550mb-s-write-520mb-s-98k-90,"Samsung 860 EVO 4TB 2.5\"" SATA 3D V-NAND SSD/Solid State Drive. Description: 4TB Samsung 860 EVO, 2.5\"" SSD, SATA III 6Gb/s, MJX, MLC 3D V-NAND, 4GB Cache, Read 550MB/s, Write 520MB/s, 98k/90k",860 EVO Series,MZ-76E4T0B,SSD,,,"4,000.0 GB",550.0 MB/s,520.0 MB/s,SATA,SATA III,,,7.0,,2.5-inch SATA,,,2.5-inch
products_2_57920498,Transcend,Transcend 220S 120GB 2.5 SATA III TLC SSD,"(Solid, 120GB, 2.5, 2.5\"", 220S, Drive), III, SATA, SSD, State, TLC, Transcend",26.95,EUR,1066948.0,https://www.megekko.nl/product/2018/142896/SSD-2-5-SATA/Transcend-220S-120GB-2-5-SATA-III-TLC-SSD,"Transcend 220S 120GB 2.5 SATA III TLC SSD. Description: (Solid, 120GB, 2.5, 2.5\"", 220S, Drive), III, SATA, SSD, State, TLC, Transcend",220S,,SSD,,,120.0 GB,550.0 MB/s,,,SATA III,,,,,2.5-inch SATA,,,2.5-inch
products_2_35384524,,SSD 240GB 2.5'' PATRIOT Burst SATA3 R/W:555/500 MB/s 3D NAND,SSD 240GB 2.5'' Patriot Burst SATA3 R/W:555/500 MB/s 3D NAND,30.16,LEI,1068495.0,https://www.it-fashion.ro/shop/ssd-240gb-2.5-patriot-burst-sata3-r-w-555-500-mb-s-3d-nand.html,SSD 240GB 2.5'' PATRIOT Burst SATA3 R/W:555/500 MB/s 3D NAND. Description: SSD 240GB 2.5'' Patriot Burst SATA3 R/W:555/500 MB/s 3D NAND,Burst,PBU240GS25SSDR,SSD,,,240.0 GB,555.0 MB/s,500.0 MB/s,SATA,SATA III,,,7.0,,2.5-inch SATA,,,
