source_dataset,source_column,target_dataset,target_column,score
discogs,id,music,id,1.0
discogs,rel_nm,music,name,1.0
discogs,art_nm,music,artist,1.0
discogs,rel_dt,music,release-date,1.0
discogs,rel_ctry,music,release-country,1.0
discogs,dur,music,duration,1.0
discogs,lbl,music,label,1.0
discogs,gnr,music,genre,1.0
discogs,trks,music,tracks,1.0
lastfm,id,music,id,1.0
lastfm,Attribute_2,music,name,1.0
lastfm,Attribute_3,music,artist,1.0
lastfm,Attribute_4,music,release-date,1.0
lastfm,Attribute_5,music,release-country,1.0
lastfm,Attribute_6,music,duration,1.0
lastfm,Attribute_7,music,label,1.0
lastfm,Attribute_8,music,genre,1.0
lastfm,Attribute_9,music,tracks,1.0
musicbrainz,id,music,id,1.0
musicbrainz,t,music,name,1.0
musicbrainz,ar,music,artist,1.0
musicbrainz,rd,music,release-date,1.0
musicbrainz,rc,music,release-country,1.0
musicbrainz,du,music,duration,1.0
musicbrainz,lb,music,label,1.0
musicbrainz,g,music,genre,1.0
musicbrainz,tk,music,tracks,1.0
