source,attribute,null_rate
discogs,artist,0.0
discogs,duration,0.43019401599858575
discogs,genre,0.0
discogs,label,0.0
discogs,name,0.0
discogs,release-country,0.026516992972996863
discogs,release-date,0.09873160383612499
discogs,tracks,0.0
lastfm,artist,0.0
lastfm,duration,0.5301571211353269
lastfm,name,0.0
lastfm,tracks,0.0
musicbrainz,artist,0.0
musicbrainz,duration,0.0
musicbrainz,name,0.0
musicbrainz,release-country,0.15704387990762125
musicbrainz,release-date,0.06571488557631745
musicbrainz,tracks,0.0
