silver_cluster_id,pipe_cluster_id,name,releaseYear,developer,publisher,platform,criticScore,userScore,ESRB,n_attributes_correct,fully_correct
metacritic_10077,metacritic_10077,True,False,True,False,True,False,False,True,4,False
metacritic_10433,dbpedia_40500,True,False,True,True,True,False,False,True,5,False
metacritic_10504,metacritic_10504,True,False,True,False,True,False,False,True,4,False
metacritic_10526,dbpedia_47913,True,False,True,False,True,True,False,True,5,False
metacritic_1123,dbpedia_3260,True,False,False,False,True,False,False,False,2,False
metacritic_11708,dbpedia_19275,True,True,True,True,True,False,False,True,6,False
metacritic_12057,dbpedia_23874,False,True,False,False,True,True,,True,4,False
metacritic_12133,dbpedia_53015,True,False,True,False,True,False,False,True,4,False
metacritic_12202,dbpedia_22182,False,False,True,False,True,False,False,True,3,False
metacritic_12246,dbpedia_12989,True,False,False,False,True,True,True,True,5,False
metacritic_12329,metacritic_12329,True,False,True,False,True,False,False,True,4,False
metacritic_12545,dbpedia_14449,True,False,False,False,True,False,False,False,2,False
metacritic_12588,metacritic_12588,False,False,True,False,True,False,False,True,3,False
metacritic_12754,dbpedia_54439,True,False,True,False,True,False,False,False,3,False
metacritic_12840,metacritic_12840,True,False,True,False,True,False,False,False,3,False
metacritic_13063,dbpedia_31523,True,False,True,False,True,False,False,True,4,False
metacritic_13124,dbpedia_17511,True,False,False,True,True,False,False,True,4,False
metacritic_13227,dbpedia_17541,True,False,True,False,True,False,True,True,5,False
metacritic_13385,dbpedia_1770,True,False,True,False,True,False,False,True,4,False
metacritic_13557,dbpedia_56595,True,False,True,False,True,False,False,True,4,False
metacritic_13588,dbpedia_38090,True,False,True,False,True,False,False,True,4,False
metacritic_13593,dbpedia_14401,True,False,True,False,True,False,False,True,4,False
metacritic_13940,dbpedia_29556,True,False,False,True,True,False,False,True,4,False
metacritic_14138,dbpedia_54606,True,False,False,False,True,False,False,True,3,False
metacritic_14164,dbpedia_64698,True,False,True,True,True,False,True,True,6,False
metacritic_14340,dbpedia_38151,True,True,False,True,True,True,False,True,6,False
metacritic_14352,metacritic_14352,False,False,True,False,True,False,False,True,3,False
metacritic_14580,metacritic_14580,True,False,False,False,True,True,True,True,5,False
metacritic_14712,metacritic_14712,True,False,True,False,True,False,True,True,5,False
metacritic_15253,dbpedia_7756,True,False,False,True,True,False,False,True,4,False
metacritic_15356,dbpedia_60293,True,False,True,True,True,False,False,False,4,False
metacritic_15443,dbpedia_44139,True,False,True,False,True,False,False,True,4,False
metacritic_15495,dbpedia_3350,True,False,True,False,True,False,True,False,4,False
metacritic_15553,dbpedia_29594,False,False,True,False,False,False,False,True,2,False
metacritic_16223,dbpedia_24846,True,False,True,False,True,False,False,True,4,False
metacritic_16320,metacritic_16320,True,False,False,False,True,False,False,True,3,False
metacritic_16496,metacritic_16496,True,False,True,False,True,True,False,True,5,False
metacritic_16635,metacritic_16635,True,False,True,False,True,False,False,True,4,False
metacritic_16979,metacritic_16979,False,False,False,False,True,False,False,False,1,False
metacritic_17161,dbpedia_36582,True,True,True,True,True,True,False,True,7,False
metacritic_1733,metacritic_1733,True,False,True,False,False,False,False,True,3,False
metacritic_17458,metacritic_17458,True,False,False,False,True,True,False,True,4,False
metacritic_17460,metacritic_17460,False,False,True,False,True,True,False,True,4,False
metacritic_17606,dbpedia_53216,True,True,True,False,True,True,False,False,5,False
metacritic_17758,metacritic_17758,False,False,False,False,True,False,False,True,2,False
metacritic_17779,dbpedia_7978,True,False,False,False,False,False,False,True,2,False
metacritic_1789,metacritic_1789,True,False,False,False,False,False,False,True,2,False
metacritic_17978,dbpedia_9789,True,False,True,False,True,False,False,True,4,False
metacritic_17987,dbpedia_8927,True,False,False,False,True,False,False,False,2,False
metacritic_18136,metacritic_18136,True,False,True,False,True,True,False,True,5,False
metacritic_18194,metacritic_18194,True,False,True,False,False,False,False,True,3,False
metacritic_18314,metacritic_18314,True,False,False,False,True,False,False,True,3,False
metacritic_19234,dbpedia_57362,True,True,True,False,True,True,False,True,6,False
metacritic_19312,dbpedia_2364,True,False,True,False,True,False,False,True,4,False
metacritic_19362,metacritic_19362,True,False,True,False,True,False,False,False,3,False
metacritic_19481,dbpedia_22016,True,True,False,False,False,True,False,False,3,False
metacritic_19568,dbpedia_30631,True,False,True,False,True,True,True,True,6,False
metacritic_19962,metacritic_19962,True,False,True,False,True,False,False,True,4,False
metacritic_20220,metacritic_20220,True,False,True,False,True,False,False,True,4,False
metacritic_20407,dbpedia_9541,True,False,True,False,True,False,False,True,4,False
metacritic_20427,metacritic_20427,True,False,True,False,True,True,False,True,5,False
metacritic_20465,dbpedia_52827,True,False,True,True,True,False,False,True,5,False
metacritic_2510,dbpedia_3188,True,False,True,False,False,False,True,True,4,False
metacritic_2752,dbpedia_47187,True,False,True,False,True,False,False,True,4,False
metacritic_3124,dbpedia_12258,False,True,False,True,True,True,False,True,5,False
metacritic_3855,metacritic_3855,True,False,True,False,True,False,False,True,4,False
metacritic_3897,metacritic_3897,True,False,True,False,False,True,True,True,5,False
metacritic_4185,dbpedia_31093,True,False,True,True,True,False,False,True,5,False
metacritic_4212,dbpedia_42162,True,True,True,True,True,False,False,True,6,False
metacritic_4501,dbpedia_10888,True,False,True,True,True,False,False,True,5,False
metacritic_4515,dbpedia_13389,True,False,True,False,True,False,False,True,4,False
metacritic_4639,dbpedia_15895,True,False,True,False,True,False,False,True,4,False
metacritic_470,dbpedia_51923,True,False,True,False,True,False,False,True,4,False
metacritic_4748,metacritic_4748,True,False,True,False,True,True,False,False,4,False
metacritic_4932,metacritic_4932,False,False,True,False,True,False,False,True,3,False
metacritic_5020,dbpedia_62989,True,False,True,False,True,False,False,True,4,False
metacritic_5189,dbpedia_27418,True,False,True,True,True,False,False,True,5,False
metacritic_5286,dbpedia_3613,False,True,True,True,True,True,False,True,6,False
metacritic_5860,metacritic_5860,True,True,True,False,False,True,False,True,5,False
metacritic_6150,dbpedia_25715,True,False,True,False,True,False,False,True,4,False
metacritic_6428,dbpedia_17097,True,False,True,True,True,False,False,True,5,False
metacritic_6785,dbpedia_23381,True,False,True,True,True,False,False,True,5,False
metacritic_6832,dbpedia_30146,True,False,True,True,False,False,False,True,4,False
metacritic_696,dbpedia_21319,True,False,False,False,True,False,False,False,2,False
metacritic_703,dbpedia_3537,True,False,True,False,True,False,False,True,4,False
metacritic_7259,dbpedia_29557,True,False,True,True,True,False,False,True,5,False
metacritic_7735,dbpedia_42674,True,False,True,False,True,False,False,True,4,False
metacritic_780,dbpedia_11885,True,False,False,False,True,False,False,True,3,False
metacritic_8195,dbpedia_902,True,False,False,True,True,False,True,True,5,False
metacritic_8244,metacritic_8244,True,False,True,False,True,True,True,True,6,False
metacritic_832,metacritic_832,True,False,False,False,False,False,False,True,2,False
metacritic_8409,metacritic_8409,True,False,True,False,True,False,False,False,3,False
metacritic_8567,dbpedia_35145,True,True,True,False,True,True,False,False,5,False
metacritic_8617,dbpedia_48474,True,False,False,False,True,False,False,True,3,False
metacritic_8739,dbpedia_63967,True,False,True,False,True,False,False,True,4,False
metacritic_8877,dbpedia_28811,True,False,True,False,True,False,False,True,4,False
metacritic_8878,dbpedia_42608,True,True,True,True,True,True,False,True,7,False
metacritic_9221,dbpedia_40208,True,True,True,True,True,True,False,True,7,False
metacritic_9340,dbpedia_10357,True,False,True,False,False,False,True,True,4,False
metacritic_9865,dbpedia_11644,True,True,False,False,True,True,False,True,5,False
