id,brand,title,description,price,priceCurrency,cluster_id,url,title_description,model,model_number,product_type,chipset_name,vram_gb,storage_gb,read_speed_mb_s,write_speed_mb_s,bus_type,interface_type,width_mm,length_mm,height_mm,weight_g,storage_connection_type,memory_type,color,form_factor
66956099,Gigabyte,Gigabyte Video Card GV-N3080GAMING OC-10GD GeForce RTX 3080 GAMING OC 10GB GDDR6X Retail,Gigabyte Video Card GV-N3080GAMING OC-10GD GeForce RTX 3080 GAMING OC 10GB GDDR6X Retail,791.99,USD,1002037,https://www.thekeykey.com/detail/GV-N3080GAMING-OC-10GD/?name=247479,Gigabyte Video Card GV-N3080GAMING OC-10GD GeForce RTX 3080 GAMING OC 10GB GDDR6X Retail. Description: Gigabyte Video Card GV-N3080GAMING OC-10GD GeForce RTX 3080 GAMING OC 10GB GDDR6X Retail,GeForce RTX 3080 GAMING OC,GV-N3080GAMING OC-10GD,GPU,GeForce RTX 3080,10.0,,,,,,,,,,,GDDR6X,,
5078198,Western Digital,"Western Digital HDD Blue 6TB 3,5\"" 256MB SATAIII/5400rpm","Dysk BLUE 6TB 3,5 256MB SATAIII/5400rpm",,,1004942,https://www.alsen.pl/podzespoly-komputerowe/dyski-twarde-hdd-ssd/dyski-wewnetrzne/western-digital-dysk-blue-6tb-3-5-256mb-sataiii-5400rpm,"Western Digital HDD Blue 6TB 3,5\"" 256MB SATAIII/5400rpm. Description: Dysk BLUE 6TB 3,5 256MB SATAIII/5400rpm",Blue,,HDD,,,6000.0,,,SATA,SATA III,,,,,3.5-inch SATA,,,3.5-inch
77571226,Corsair,Corsair MP510 M.2-2280 960GB,Huge 960GB storage capacity and super Rapid 3480Mbps read speed and amazingly Rapid 3000Mbps write speed.,,,1007272,https://www.cclonline.com/product/287495/CSSD-F960GBMP510/Solid-State-Drives-SSDs-/Corsair-Force-MP510-960GB-M-2-Solid-State-Drive-Internal-/SSD1023,Corsair MP510 M.2-2280 960GB. Description: Huge 960GB storage capacity and super Rapid 3480Mbps read speed and amazingly Rapid 3000Mbps write speed.,MP510,,SSD,,,960.0,3480.0,3000.0,,,,,,,M.2,,,M.2 2280
12425146,Seagate,"Seagate 3.5\"" 4TB SATA 6Gb/s 7.2K RPM 128MB Makara BP (512E)","Seagate 3.5\"" 4TB SATA 6Gb/s 7.2K RPM Hard Drive",,,1014052,https://www.bostonindia.in/products/ST4000NM0115.aspx?utm_source=rss&utm_medium=syndication&utm_campaign=rss,"Seagate 3.5\"" 4TB SATA 6Gb/s 7.2K RPM 128MB Makara BP (512E). Description: Seagate 3.5\"" 4TB SATA 6Gb/s 7.2K RPM Hard Drive",Makara BP (512E),,HDD,,,4000.0,,,SATA,SATA III,,,,,3.5-inch SATA,,,3.5-inch
85543109,Asus,Asus GeForce GTX 1650 Phoenix OC Edition 4GB 128-Bit Graphics Card | 90YV0CV0-M0NA00,896 CUDA CoresTuring Architecture4GB of GDDR5 VRAM8 Gb/s Memory Speed128-Bit Memory InterfaceDisplayPort 1.4 | HDMI 2.0b | DVI-D DLSingle-Fan Cooler,694.93,AED,1014152,https://pcdubai.com/product/asus-geforce-gtx-1650-phoenix-oc-edition-4gb-128-bit-graphics-card-90yv0cv0-m0na00,Asus GeForce GTX 1650 Phoenix OC Edition 4GB 128-Bit Graphics Card | 90YV0CV0-M0NA00. Description: 896 CUDA CoresTuring Architecture4GB of GDDR5 VRAM8 Gb/s Memory Speed128-Bit Memory InterfaceDisplayPort 1.4 | HDMI 2.0b | DVI-D DLSingle-Fan Cooler,GeForce GTX 1650 Phoenix OC Edition,90YV0CV0-M0NA00,GPU,GeForce GTX 1650,4.0,,,,,,,,,,,GDDR5,,
73093363,Asus,ASUS DUAL GeForce GTX1650 O4G,"Graphics Card - 4GB GDDR5 (8002MHz) NVIDIA (TU107) Turing GeForce GTX1650 (1485MHz), Boost clock **** MHz, PCIe x16 3.0, 128bit, 1x DisplayPort, 3x HDMI",164.31,EUR,1021594,https://www.alzashop.com/asus-dual-geforce-gtx1650-o4g-d5589893.htm,"ASUS DUAL GeForce GTX1650 O4G. Description: Graphics Card - 4GB GDDR5 (8002MHz) NVIDIA (TU107) Turing GeForce GTX1650 (1485MHz), Boost clock **** MHz, PCIe x16 3.0, 128bit, 1x DisplayPort, 3x HDMI",DUAL GeForce GTX1650 O4G,,GPU,GeForce GTX 1650,4.0,,,,PCI Express x16,,,,,,,GDDR5,,
37481679,Zotac,"Zotac , Geforce Rtx 2080 Ti, 11 Gb, Gddr6, 352 Bit, 4096 X 2160",", Geforce Rtx 2080 Ti, 11 Gb, Gddr6, 352 Bit, 4096 X 2160 Pixeles, Pci Express 3.0",988.79,EUR,1027288,https://powertechbcn.com/es/tarjetas-graficas/690-zotac-geforce-rtx-2080-ti-11-gb-gddr6-352-bit-4096-x-2160-4895173617614.html,"Zotac , Geforce Rtx 2080 Ti, 11 Gb, Gddr6, 352 Bit, 4096 X 2160. Description: , Geforce Rtx 2080 Ti, 11 Gb, Gddr6, 352 Bit, 4096 X 2160 Pixeles, Pci Express 3.0",Geforce Rtx 2080 Ti,,GPU,GeForce RTX 2080 Ti,11.0,,,,PCI Express x16,,,,,,,Gddr6,,
50792597,Gigabyte,Gigabyte GeForce GTX 1660 SUPER OC 6GB Graphics Card,"GTX 1660 SUPER, 6GB GDDR6, Boost Clock 1860MHz, Dual Fan Cooling",214.98,GBP,1028734,https://www.ebuyer.com/915241-gigabyte-geforce-gtx-1660-super-oc-6gb-graphics-card-gv-n166soc-6gd,"Gigabyte GeForce GTX 1660 SUPER OC 6GB Graphics Card. Description: GTX 1660 SUPER, 6GB GDDR6, Boost Clock 1860MHz, Dual Fan Cooling",GeForce GTX 1660 SUPER OC,,GPU,GeForce GTX 1660 Super,6.0,,,,,,,,,,,GDDR6,,
86949980,MSI,MSI GeForce GTX 1660 Ti GAMING X 6G PCI Express x16 3.0 6GB GDDR6 192-bit | 912-V375-040,Twin Frozr 7 Thermal DesignRGB Mystic LightDragon Center,1400.3,AED,1029916,https://pcdubai.com/product/msi-geforce-gtx-1660-ti-gaming-x-6g-pci-express-x16-3-0-6gb-gddr6-192-bit-912-v375-040,MSI GeForce GTX 1660 Ti GAMING X 6G PCI Express x16 3.0 6GB GDDR6 192-bit | 912-V375-040. Description: Twin Frozr 7 Thermal DesignRGB Mystic LightDragon Center,GeForce GTX 1660 Ti GAMING X 6G,912-V375-040,GPU,GeForce GTX 1660 Ti,6.0,,,,PCI Express x16,,,,,,,GDDR6,,
27951279,Asus,ASUS ROG -STRIX-RTX2080S-A8G-GAMING GeForce RTX 2080 SUPER 8 GB GDDR6,"ASUS ROG ROG-STRIX-RTX2080S-A8G-GAMING, GeForce RTX 2080 SUPER, 8 GB, GDDR6, 256 bit, 7680 x 4320 Pixel, PCI Express 3.0",1046.75,EUR,1036963,https://www.computerunion.it/geforce/43703-asus-rog-strix-rtx2080s-a8g-gaming-geforce-rtx-2080-super-8-gb-gddr6-4718017434959.html,"ASUS ROG -STRIX-RTX2080S-A8G-GAMING GeForce RTX 2080 SUPER 8 GB GDDR6. Description: ASUS ROG ROG-STRIX-RTX2080S-A8G-GAMING, GeForce RTX 2080 SUPER, 8 GB, GDDR6, 256 bit, 7680 x 4320 Pixel, PCI Express 3.0",ROG-STRIX-RTX2080S-A8G-GAMING,ROG-STRIX-RTX2080S-A8G-GAMING,GPU,GeForce RTX 2080 Super,8.0,,,,PCI Express x16,,,,,,,GDDR6,,
