source,entity_id,compromised,knob,level
dbpedia,http://www.forbes.com/companies/bbmg/,True,10,hard
dbpedia,http://www.forbes.com/companies/byd/,True,10,hard
dbpedia,http://www.forbes.com/companies/china-mobile/,True,10,hard
dbpedia,http://www.forbes.com/companies/china-shenhua-energy/,True,10,hard
dbpedia,http://www.forbes.com/companies/credit-agricole/,True,10,hard
dbpedia,http://www.forbes.com/companies/edf/,True,10,hard
dbpedia,http://www.forbes.com/companies/fresenius/,True,10,hard
dbpedia,http://www.forbes.com/companies/gd-power-development/,True,10,hard
dbpedia,http://www.forbes.com/companies/health-care-reit/,True,10,hard
dbpedia,http://www.forbes.com/companies/hollyfrontier/,True,10,hard
dbpedia,http://www.forbes.com/companies/hoya/,True,10,hard
dbpedia,http://www.forbes.com/companies/l-3-communications/,True,10,hard
dbpedia,http://www.forbes.com/companies/lkq/,True,10,hard
dbpedia,http://www.forbes.com/companies/lyondellbasell-industries/,True,10,hard
dbpedia,http://www.forbes.com/companies/ncc-group/,True,10,hard
dbpedia,http://www.forbes.com/companies/nec/,True,10,hard
dbpedia,http://www.forbes.com/companies/neste-oil/,True,10,hard
dbpedia,http://www.forbes.com/companies/oneok/,True,10,hard
dbpedia,http://www.forbes.com/companies/qualcomm/,True,10,hard
dbpedia,http://www.forbes.com/companies/sampo/,True,10,hard
dbpedia,http://www.forbes.com/companies/sandisk/,True,10,hard
dbpedia,http://www.forbes.com/companies/sherwin-williams/,True,10,hard
dbpedia,http://www.forbes.com/companies/sistema/,True,10,hard
dbpedia,http://www.forbes.com/companies/societe-generale/,True,10,hard
dbpedia,http://www.forbes.com/companies/toshiba/,True,10,hard
dbpedia,http://www.forbes.com/companies/toyota-boshoku/,True,10,hard
dbpedia,http://www.forbes.com/companies/vestas-wind-systems/,True,10,hard
dbpedia,http://www.forbes.com/companies/volkswagen-group/,True,10,hard
dbpedia,http://www.forbes.com/companies/westfield-group/,True,10,hard
forbes,http://www.forbes.com/companies/aurubis/,True,10,hard
forbes,http://www.forbes.com/companies/bbmg/,True,10,hard
forbes,http://www.forbes.com/companies/bharat-petroleum/,True,10,hard
forbes,http://www.forbes.com/companies/byd/,True,10,hard
forbes,http://www.forbes.com/companies/clorox/,True,10,hard
forbes,http://www.forbes.com/companies/coloplast/,True,10,hard
forbes,http://www.forbes.com/companies/costco-wholesale/,True,10,hard
forbes,http://www.forbes.com/companies/davita/,True,10,hard
forbes,http://www.forbes.com/companies/dongbu-insurance/,True,10,hard
forbes,http://www.forbes.com/companies/edp-energias-de-portugal/,True,10,hard
forbes,http://www.forbes.com/companies/empire/,True,10,hard
forbes,http://www.forbes.com/companies/fresenius/,True,10,hard
forbes,http://www.forbes.com/companies/hikvision/,True,10,hard
forbes,http://www.forbes.com/companies/kroger/,True,10,hard
