entity_id,density,rrf_component,label_collision_component,neighbour_count,protected,removed
k02_ent_000000,0.6285905858058478,0.6285905858058478,0.0,17,True,False
k02_ent_000001,0.9321829308620675,0.9321829308620675,0.0,24,True,False
k02_ent_000002,0.7787086219297148,0.7787086219297148,0.0,20,True,False
k02_ent_000003,0.8430797907945017,0.8430797907945017,0.0,22,False,False
k02_ent_000004,0.9771528434352325,0.9771528434352325,0.0,24,True,False
k02_ent_000005,0.6041674655986249,0.6041674655986249,0.0,18,True,False
k02_ent_000006,0.30546683141878594,0.30546683141878594,0.0,8,False,False
k02_ent_000007,0.9605870162846187,0.9605870162846187,0.0,23,False,False
k02_ent_000008,0.8457304975717147,0.8457304975717147,0.0,22,True,False
k02_ent_000009,0.3888778214347667,0.3888778214347667,0.0,13,False,False
k02_ent_000010,0.5515453555048052,0.5515453555048052,0.0,15,True,False
k02_ent_000011,5.049180327868853,0.04918032786885246,5.0,1,True,False
k02_ent_000012,5.626256994529636,0.626256994529636,5.0,18,True,False
k02_ent_000013,0.8604721568782204,0.8604721568782204,0.0,21,True,False
k02_ent_000014,0.40575941681774347,0.40575941681774347,0.0,12,True,False
k02_ent_000015,1.0648161972769008,1.0648161972769008,0.0,22,True,False
k02_ent_000016,5.049180327868853,0.04918032786885246,5.0,1,True,False
k02_ent_000017,0.9826024340092891,0.9826024340092891,0.0,27,True,False
k02_ent_000018,5.4039482629772495,0.40394826297724956,5.0,7,True,False
k02_ent_000019,5.707531220690879,0.7075312206908795,5.0,19,True,False
k02_ent_000020,0.8293506318323354,0.8293506318323354,0.0,23,False,False
k02_ent_000021,0.6759624192475834,0.6759624192475834,0.0,19,False,False
k02_ent_000022,5.049180327868853,0.04918032786885246,5.0,1,True,False
k02_ent_000023,0.3870352792400956,0.3870352792400956,0.0,10,True,False
k02_ent_000024,0.5841985582473693,0.5841985582473693,0.0,17,True,False
k02_ent_000025,0.45508732907046806,0.45508732907046806,0.0,16,False,False
k02_ent_000026,6.064622863472641,1.064622863472641,5.0,20,False,False
k02_ent_000027,0.7340394235193491,0.7340394235193491,0.0,19,False,False
k02_ent_000028,5.359224218894336,0.35922421889433537,5.0,9,True,False
k02_ent_000029,5.50947113570829,0.5094711357082904,5.0,12,True,False
k02_ent_000030,0.03252247488101534,0.03252247488101534,0.0,1,True,False
k02_ent_000031,5.316485001437306,0.3164850014373065,5.0,9,False,False
k02_ent_000032,5.049180327868853,0.04918032786885246,5.0,1,False,False
k02_ent_000033,0.5320214316460949,0.5320214316460949,0.0,15,True,False
k02_ent_000034,0.9040746348123526,0.9040746348123526,0.0,24,False,False
k02_ent_000035,0.8097792854146317,0.8097792854146317,0.0,21,True,False
k02_ent_000036,0.35453681690773853,0.35453681690773853,0.0,11,False,False
k02_ent_000037,0.40398262386186656,0.40398262386186656,0.0,13,False,False
k02_ent_000038,5.0481715006305174,0.04817150063051703,5.0,1,True,False
k02_ent_000039,5.416671860468709,0.41667186046870847,5.0,11,True,False
k02_ent_000040,0.4673973319530044,0.4673973319530044,0.0,13,True,False
k02_ent_000041,5.799952411128382,0.7999524111283818,5.0,23,False,False
k02_ent_000042,5.5576077542895055,0.5576077542895057,5.0,16,False,False
k02_ent_000043,5.6854261346360895,0.6854261346360896,5.0,20,True,False
k02_ent_000044,0.04918032786885246,0.04918032786885246,0.0,1,False,True
k02_ent_000045,5.47557512269403,0.47557512269403,5.0,12,True,False
k02_ent_000046,0.5541551063807267,0.5541551063807267,0.0,18,True,False
k02_ent_000047,0.3010996429227379,0.3010996429227379,0.0,9,True,False
k02_ent_000048,5.941834407489825,0.9418344074898253,5.0,24,True,False
k02_ent_000049,0.04918032786885246,0.04918032786885246,0.0,1,True,False
k02_ent_000050,0.5059491310776303,0.5059491310776303,0.0,14,False,False
k02_ent_000051,5.808604431978244,0.8086044319782443,5.0,23,True,False
k02_ent_000052,0.06504494976203068,0.06504494976203068,0.0,2,True,False
k02_ent_000053,0.4516400163349267,0.4516400163349267,0.0,14,True,False
k02_ent_000054,0.6481191519934856,0.6481191519934856,0.0,20,True,False
k02_ent_000055,0.9867671483308014,0.9867671483308014,0.0,21,True,False
k02_ent_000056,0.5948913155011435,0.5948913155011435,0.0,14,False,False
k02_ent_000057,0.5823771590712509,0.5823771590712509,0.0,14,True,False
k02_ent_000058,5.217067440269465,0.21706744026946417,5.0,6,False,False
k02_ent_000059,0.9063861312405206,0.9063861312405206,0.0,20,False,False
k02_ent_000060,5.097063392384982,0.09706339238498149,5.0,2,False,False
k02_ent_000061,0.7001936225952435,0.7001936225952435,0.0,15,False,False
k02_ent_000062,0.2573813027868471,0.2573813027868471,0.0,7,False,False
k02_ent_000063,5.415552583425371,0.41555258342537116,5.0,12,False,False
k02_ent_000064,0.295471336215765,0.295471336215765,0.0,10,True,False
k02_ent_000065,5.262444420905205,0.262444420905205,5.0,8,False,False
k02_ent_000066,5.700738653302486,0.7007386533024862,5.0,19,True,False
k02_ent_000067,0.45429858391927375,0.45429858391927375,0.0,12,False,False
k02_ent_000068,0.681542384218506,0.681542384218506,0.0,16,True,False
k02_ent_000069,5.6735984203838745,0.6735984203838743,5.0,14,True,False
k02_ent_000070,0.6858578952300876,0.6858578952300876,0.0,14,True,False
k02_ent_000071,0.23136825285517992,0.23136825285517992,0.0,7,True,False
k02_ent_000072,0.5234239010219868,0.5234239010219868,0.0,17,False,False
k02_ent_000073,0.25014515569775886,0.25014515569775886,0.0,7,True,False
k02_ent_000074,0.6869172115090559,0.6869172115090559,0.0,19,True,False
k02_ent_000075,5.049180327868853,0.04918032786885246,5.0,1,True,False
k02_ent_000076,0.5547165059521397,0.5547165059521397,0.0,16,True,False
k02_ent_000077,5.61000555911227,0.6100055591122706,5.0,19,True,False
k02_ent_000078,1.0310932237134929,1.0310932237134929,0.0,26,False,False
k02_ent_000079,0.9880405081553539,0.9880405081553539,0.0,25,True,False
k02_ent_000080,0.2812481130165162,0.2812481130165162,0.0,9,False,False
k02_ent_000081,0.9139318051704987,0.9139318051704987,0.0,22,True,False
