id,name,releaseYear,developer,platform,genres,series
dbpedia_1,San Francisco Rush 2049,2006-01-01,Handheld Games,Game Boy Color,Racing video game,
dbpedia_2,RoboCop,1989-01-01,Ocean Software,Arcade Cabinet,Beat 'em up,
dbpedia_3,Air,2016-01-01,Key (company),PlayStation Vita,,
dbpedia_4,Fallout 2,1998-01-01,Black Isle Studios,macOS,Role-playing video game,Fallout (series)
dbpedia_5,SpongeBob SquarePants: Creature from the Krusty Krab,2006-01-01,Blitz Games,Wii,Platform game,SpongeBob squarePants video games
dbpedia_6,Transformers: Fall of Cybertron,,High Moon Studios,PlayStation 4,Third-person shooter,
dbpedia_7,List of Monster Jam video games,2003-01-01,Ubi Soft Barcelona,,Racing game,
dbpedia_8,Onimusha: Warlords,2002-01-01,Capcom,Xbox One,Hack and slash,
dbpedia_9,Nicktoons: Battle for Volcano Island,2006-01-01,Halfbrick,PlayStation 2,Action-adventure game,
dbpedia_11,Mario Kart Arcade GP,2005-01-01,Namco,Arcade Cabinet,Racing video game,
dbpedia_12,Need for Speed: Carbon,2006-01-01,Exient Entertainment,macOS,,
dbpedia_13,Delta Force: Black Hawk Down,2003-01-01,NovaLogic,Windows PC,First-person shooter,
dbpedia_14,Wizorb,2011-01-01,Tribute Games,PlayStation Portable (PSP),Breakout clone,
dbpedia_15,Syberia II,2004-01-01,MC2-Microïds,Nintendo Switch,Graphic adventure game,
dbpedia_16,Mega Man 8,1996-01-01,Capcom,PlayStation,Platform game,
dbpedia_17,List of Fire Pro Wrestling games,1994-01-01,Spike Chunsoft,,Fighting game,Fire Pro Wrestling
dbpedia_18,Task Force Harrier,1991-01-01,NMK (company),Sega Genesis / Mega Drive,Scrolling shoOter,
dbpedia_19,James Bond 007: Nightfire,2003-01-01,,Windows PC,First-person shooter,James Bond in video games
dbpedia_20,Krypton Egg,2009-01-01,C2V,,Breakout clone,
dbpedia_21,Ivy the Kiwi?,2010-01-01,Prope,Wii,Platform game,
dbpedia_22,Heavy Fire,2013-01-01,Teyon,Wii,Shooter game,
dbpedia_23,Hamtaro (video game series),2005-01-01,ImaginEngine,Game Boy Advance,Quiz,
dbpedia_24,Ultimate Marvel vs. Capcom 3,,Eighting,Windows PC,Fighting game,
dbpedia_25,Another World,2018-01-01,Interplay Entertainment,Linux / SteamOS,Platform game,
dbpedia_26,Bomberman Touch,2009-01-01,Hudson Soft,iOS (iPhone),List of maze video games,
dbpedia_27,Fatal Fury 3: Road to the Final Victory,1995-01-01,"SIMS Co., Ltd.",,Fighting game,
dbpedia_28,List of Monster Jam video games,2015-01-01,Rainbow Studios,PlayStation Portable (PSP),Racing game,Monster Jam
dbpedia_29,Raiden III,2005-01-01,Seibu Kaihatsu,Windows PC,Shoot 'em up,
dbpedia_30,List of Monster Jam video games,2017-01-01,Ubi Soft Barcelona,Game Boy Advance,Racing,
dbpedia_31,Tecmo Stackers,1995-01-01,Tecmo,,Puzzle game,
dbpedia_32,Game of Thrones,2015-01-01,Telltale Games,PlayStation 3,Interactive movie,
dbpedia_33,Star Wars: Galaxy of Heroes,2015-01-01,EA Mobile,Android,Role-playing video game,
dbpedia_34,Ecco Jr.,2010-01-01,Appaloosa Interactive,Sega Genesis / Mega Drive,Action-adventure game,Ecco the Dolphin (series)
dbpedia_35,Xanadu Next,2005-01-01,,Windows PC,Action role-playing,
dbpedia_36,Pet Pals: Animal Doctor,2008-01-01,Legacy Interactive,Nintendo DS,Simulation game,
dbpedia_37,Looney Tunes Collector: Martian Alert!,2000-01-01,Infogrames,Game Boy Color,,
dbpedia_38,Disney Infinity,2013-01-01,Heavy Iron Studios,Wii U,Toys-to-life,Disney Infinity
dbpedia_39,1942,1984-01-01,,PlayStation,Scrolling shooter,
dbpedia_40,SpyHunter,2003-01-01,Sidhe (game developer),Game Boy Advance,Vehicular combat game,
dbpedia_41,Mobile Suit Gundam: Journey to Jaburo,2000-01-01,Bandai,PlayStation 2,Action game,
dbpedia_42,Bomberman,1985-01-01,Hudson Soft,Game Boy,List of maze video games,
dbpedia_43,Redcon,2016-01-01,He xage,macOS,Real-time strategy,
dbpedia_44,Virtua Tennis 4,,Sega,PlayStation 3,Sports game,Virtua Tennis (series)
dbpedia_45,Karous,2006-01-01,Milestone (Japanese developer),Nintendo 3DS,Shoot 'em up,
dbpedia_46,Happy Tree Friends: False Alarm,2008-01-01,Stainless Games,Xbox 360,,
dbpedia_47,Star Wars: Battlefront,2005-01-01,Beenox,Windows PC,First-person shooter,Star Wars: Battlefront
dbpedia_48,Samurai Shodown,1993-01-01,Japan Home Video,,Fighting game,
dbpedia_49,Oxenfree,2016-01-01,Night School Studio,PlayStation 4,Graphic adventure game,
dbpedia_50,Risk,2009-01-01,Runecraft,,Turn-based strategy,
dbpedia_51,NBA Live 96,1995-01-01,Tiertex Design Studios,Game Boy,Sports video game,NBA Live
dbpedia_52,Batman: The Dark Knight,,Pandemic Studios,Xbox 360,Stealth game,
dbpedia_53,List of Monster Jam video games,2014-01-01,,Nintendo GameCube,Racing game,
dbpedia_54,Shin Onigashima,2014-01-01,Nintendo R&D4,Game Boy Advance,,
dbpedia_55,NHL 2002,2001-01-01,PlayStation 2,PlayStation 2,Sports game,NHL (video game series)
dbpedia_56,Spore Creatures,2008-01-01,Electronic Arts,,Roleplaying game,
dbpedia_57,Risk,2009-01-01,Runecraft,,Turn-based strategy,
dbpedia_58,Rayman M,2002-01-01,Ubi Soft Milan,PlayStation,Racing game,Rayman
dbpedia_59,Dragonriders: Chronicles of Pern,2001-01-01,Ubisoft,Sega Dreamcast,Adventure game,Dragonriders of Pern
dbpedia_60,Ant Nation,2009-01-01,"Art Co., Ltd",Wii,Real time strategy,
dbpedia_61,Tombs & Treasure,1988-01-01,Compile (publisher),,Role-playing video game,
dbpedia_62,Armored Core: Last Raven,2005-01-01,FromSoftware,PlayStation Portable (PSP),Third-person shooter,
dbpedia_63,Baldur's Gate: Siege of Dragonspear,,Beamdog,Linux / SteamOS,Role-playing video game,
dbpedia_64,Boku no Natsuyasumi 3,2007-01-01,Millennium Kitchen,PlayStation 3,Adventure game,
dbpedia_65,Crown and Council,2016-01-01,Mojang,macOS,Turn-based strategy,
dbpedia_66,Shoot Many Robots,2012-01-01,,Windows PC,Shooter game,
dbpedia_67,Michael Jackson: The Experience,2012-01-01,,,Music video game,
