id,name,releaseYear,developer,publisher,platform,genres,criticScore,userScore,ESRB,globalSales
sales_1,Wii Sports,2006-01-01,Nintendo,Nintendo,Wii,Sports,76.0,8.0,E,82
sales_2,Mario Kart Wii,2008-01-01,Nintendo,Nintendo,Wii,Racing,82.0,8.3,E,35
sales_3,Wii Sports Resort,2009-01-01,Nintendo,Nintendo,Wii,Sports,80.0,8.0,E,32
sales_4,New Super Mario Bros.,2006-01-01,Nintendo,Nintendo,Nintendo DS,Platform,89.0,8.5,E,29
sales_5,Wii Play,2006-01-01,Nintendo,Nintendo,Wii,Misc,58.0,6.6,E,28
sales_6,New Super Mario Bros. Wii,2009-01-01,Nintendo,Nintendo,Wii,Platform,87.0,8.4,E,28
sales_7,Mario Kart DS,2005-01-01,Nintendo,Nintendo,Nintendo DS,Racing,91.0,8.6,E,23
sales_8,Wii Fit,2007-01-01,Nintendo,Nintendo,Wii,Sports,80.0,7.7,E,22
sales_9,Kinect Adventures!,2010-01-01,Good Science Studio,Microsoft Game Studios,Xbox 360,Misc,61.0,,E,21
sales_10,Wii Fit Plus,2009-01-01,Nintendo,Nintendo,Wii,Sports,80.0,7.4,E,21
sales_11,Grand Theft Auto V,2013-01-01,Rockstar North,Take-Two Interactive,PlayStation 3,Action,97.0,8.2,M,21
sales_12,Grand Theft Auto: San Andreas,2004-01-01,Rockstar North,Take-Two Interactive,PlayStation 2,Action,95.0,9.0,M,20
sales_13,Brain Age: Train Your Brain in Minutes a Day,2005-01-01,Nintendo,Nintendo,Nintendo DS,Misc,77.0,7.9,E,20
sales_14,Grand Theft Auto V,2013-01-01,Rockstar North,Take-Two Interactive,Xbox 360,,97.0,8.1,M,1 6
sales_15,Grand Theft Auto: Vice City,2002-01-01,Rockstar North,Take-Two Interactive,PlayStation 2,Action,95.0,8.7,M,16
sales_16,Brain Age 2: More Training in Minutes a Day,2005-01-01,Nintendo,Nintendo,Nintendo DS,Puzzle,77.0,7.1,E,15
sales_17,Gran Turismo 3: A-Spec,2001-01-01,Polyphony Digital,Sony Computer Entertainment,PlayStation 2,Racing,95.0,8.4,E,14
sales_18,Call of Duty: Modern Warfare 3,2011-01-01,"Infinity Ward, Sledgehammer Games",Activision,Xbox 360,Shooter,88.0,3.4,M,14
sales_19,Call of Duty: Black Ops,2010-01-01,,Activision,Xbox 360,Shooter,87.0,6.3,M,14
sales_20,Call of Duty: Black Ops II,2012-01-01,TReyarch,Activision,PlayStation 3,Shooter,83.0,5.3,M,13
sales_21,Call of Duty: Black Ops II,2012-01-01,Treyarch,Activision,Xbox 360,Shooter,83.0,4.8,M,13
sales_22,Call of Duty: Modern Warfare 2,2009-01-01,Infinity Ward,Activision,Xbox 360,Shooter,94.0,6.3,M,13
sales_23,Call of Duty: Modern Warfare 3,2011-01-01,"Infinity Ward, Sledgehammer Games",Activision,PlayStation 3,Shooter,88.0,3.2,M,13
sales_24,Grand Theft Auto III,2001-01-01,DMA Design,Take-Two Interactive,PlayStation 2,Action,97.0,,M,13
sales_25,Super Smash Bros. Brawl,,,Nintendo,Wii,Fighting,93.0,8.9,T,12
sales_26,Mario Kart 7,2011-01-01,,Nintendo,Nintendo 3DS,Racing,85.0,8.2,E,12
sales_27,Call of Duty: Black Ops,2010-01-01,Treyarch,Activision,PlayStation 3,Shooter,88.0,6.4,M,12
sales_28,Grand Theft Auto V,2014-01-01,Rockstar North,Take-Two Interactive,PlayStation 4,Action,97.0,8.3,M,12
sales_29,Animal Crossing: Wild World,2005-01-01,Nintendo,Nintendo,Nintendo DS,Simulation,86.0,8.7,E,
sales_30,Halo 3,2007-01-01,"Bungie Software, Bungie",Microsoft Game Studios,Xbox 360,Shooter,94.0,7.8,M,12
sales_31,Gran Turismo 4,2004-01-01,Polyphony Digital,Sony Computer Entertainment,PlayStation 2,Racing,89.0,8.5,E,11
sales_32,Super Mario Galaxy,2007-01-01,,Nintendo,Wii,Platform,97.0,,E,11
sales_33,Grand Theft Auto IV,2008-01-01,Rockstar North,Take-Two Interactive,Xbox 360,Action,98.0,7.9,M,11
sales_34,Gran Turismo,1997-01-01,Polyphony Digital,Sony Computer Entertainment,PlayStation,,96.0,8.7,,10
sales_35,Super Mario 3D Land,2011-01-01,Nintendo,Nintendo,Nintendo 3DS,Platform,90.0,8.4,E,10
sales_36,Gran Turismo 5,2010-01-01,Polyphony Digital,Sony Computer Entertainment,PlayStation 3,Racing,84.0,7.5,E,10
sales_37,Call of Duty: Modern Warfare 2,2009-01-01,Infinity Ward,Activision,PlayStation 3,Shooter,94.0,6.3,M,10
sales_38,Grand Theft Auto IV,2008-01-01,Rockstar North,Take-Two Interactive,PlayStation 3,Action,98.0,7.5,M,10
sales_39,Call of Duty: Ghosts,2013-01-01,Infinity Ward,Activision,Xbox 360,Shooter,73.0,2.6,M,10
sales_40,Just Dance 3,,Ubisoft,Ubisoft,Wii,Misc,,,E10+,10
sales_41,New Super Mario Bros. 2,2012-01-01,Nintendo,Nintendo,Nintendo 3DS,Platform,78.0,7.2,E,9
sales_42,Halo: Reach,2010-01-01,Bungie,Microsoft Game Studios,Xbox 360,Shooter,91.0,7.9,M,9
sales_43,Final Fantasy VII,1997-01-01,SquareSoft,Sony Computer Entertainment,PlayStation,Role-Playing,92.0,9.2,T,9
sales_44,Halo 4,2012-01-01,343 Industries,Microsoft Game Studios,Xbox 360,Shooter,87.0,7.0,M,9
sales_45,Gran Turismo 2,1999-01-01,Polyphony Digital,Sony Computer Entertainment,PlayStation,Racing,93.0,9.0,T,9
sales_46,Just Dance 2,2010-01-01,Ubisoft,Ubisoft,Wii,Misc,74.0,7.3,E10+,9
sales_47,Call of Duty: Ghosts,2013-01-01,Infinity Ward,Activision,PlayStation 3,Shooter,71.0,2.6,M,9
sales_48,Call of Duty 4: Modern Warfare,,Infinity Ward,Activision,Xbox 360,Shooter,94.0,8.4,M,9
sales_49,Animal Crossing: New Leaf,2012-01-01,Nintendo,Nintendo,Nintendo 3DS,Simulation,88.0,8.7,E,9
sales_50,Mario Party DS,2007-01-01,Hudson Soft,Nintendo,Nintendo DS,Misc,72.0,7.8,E,8
sales_51,The Elder Scrolls V: Skyrim,2011-01-01,Bethesda Game Studios,Bethesda Softworks,Xbox 360,Role-Playing,96.0,8.4,M,8
sales_52,FIFA 16,2015-01-01,EA Sports,Electronic Arts,PlayStation 4,Sports,82.0,4.3,E,
sales_53,Halo 2,2004-01-01,Bungie Software,Microsoft Game Studios,Xbox,Shooter,95.0,8.2,M,8
sales_54,Wii Party,2010-01-01,Nd Cube,,Wii,Misc,68.0,7.4,E,8
sales_55,Mario Party 8,2007-01-01,Hudson,Nintendo,Wii,Misc,62.0,6.3,E,8
sales_56,FIFA Soccer 13,2012-01-01,Electronic Arts,Electronic Arts,PlayStation 3,Action,88.0,6.6,E,8
sales_57,Final Fantasy X,2001-01-01,SquareSoft,Sony Computer Entertainment,PlayStation 2,,92.0,8.7,T,8
sales_58,The Sims 3,2009-01-01,The Sims Studio,Electronic Arts,Windows PC,,86.0,7.6,T,8
sales_59,Final Fantasy VIII,1999-01-01,SquareSoft,SquareSoft,PlayStation,Role-Playing,90.0,8.6,T,7
sales_60,Pokémon Platinum Version,2008-01-01,Game Freak,Nintendo,Nintendo DS,Role-Playing,83.0,8.5,E,7
sales_61,Grand Theft Auto: Liberty City Stories,2005-01-01,Rockstar Leeds,Take-Two Interactive,PlayStation Portable (PSP),Action,88.0,7.6,M,7
sales_62,Call of Duty: Advanced Warfare,,,Activision,PlayStation 4,Shooter,,5.7,M,7
sales_63,FIFA 17,2016-01-01,"EA Sports, EA Vancouver",Electronic Arts,PlayStation 4,Sports,85.0,5.0,E,7
sales_64,Super Mario Galaxy 2,,Nintendo EAD Tokyo,Nintendo,Wii,Platform,97.0,9.1,E,7
sales_65,Call of Duty: World at War,2008-01-01,Treyarch,Activision,Xbox 360,,84.0,7.6,M,7
sales_66,Battlefield 3,2011-01-01,EA DICE,Electronic Arts,Xbox 360,Shooter,84.0,7.4,M,7
sales_67,Need for Speed Underground,2003-01-01,EA Black Box,Electronic Arts,PlayStation 2,Racing,85.0,8.6,E,7
sales_68,Just Dance,2009-01-01,Ubisoft Paris,Ubisoft,Wii,Misc,49.0,8.0,E10+,7
sales_69,Battlefield 3,2011-01-01,EA DICE,Electronic Arts,PlayStation 3,Shooter,85.0,7.5,,7
sales_70,Fallout 4,2015-01-01,Bethesda Game Studios,Bethesda Softworks,PlayStation 4,Role-Playing,87.0,6.5,M,7
sales_71,Tekken 3,1998-01-01,Namco,Sony Computer Entertainment,PlayStation,Fighting,96.0,9.1,T,7
sales_72,The Legend of Zelda: Twilight Princess,2006-01-01,Nintendo,Nintendo,Wii,Action,95.0,9.0,T,7
sales_73,Crash Bandicoot 3: Warped,1998-01-01,Naughty Dog,Sony Computer Entertainment,PlayStation,Platform,91.0,8.9,E,7
sales_74,Mario Kart 8,2014-01-01,Nintendo,Nintendo,Wii U,,88.0,9.1,E,7
sales_75,Super Smash Bros. Melee,2001-01-01,HAL Labs,Nintendo,Nintendo GameCube,Fighting,92.0,9.1,T,7
sales_76,Need for Speed Underground 2,2004-01-01,EA Canada,Electronic Arts,PlayStation 2,,82.0,8.6,E,6
sales_77,Medal of Honor: Frontline,2002-01-01,EA LA,Electronic Arts,PlayStation 2,Shooter,88.0,8.5,T,6
sales_78,Just Dance 4,2012-01-01,Ubisoft,Ubisoft,Wii,Misc,74.0,,E10+,
sales_79,Gears of War 2,,Epic Games,Microsoft Game Studios,Xbox 360,Shooter,93.0,7.7,M,6
sales_80,Uncharted 3: Drake's Deception,2011-01-01,Naughty Dog,Sony Computer Entertainment,PlayStation 3,Action,92.0,8.3,T,6
sales_81,Call of Duty 4: Modern Warfare,2007-01-01,Infinity Ward,Activision,PlayStation 3,Shooter,94.0,8.4,M,6
sales_82,Uncharted 2: Among Thieves,2009-01-01,Naughty Dog,Sony Computer Entertainment,PlayStation 3,Action,96.0,8.8,T,6
sales_83,Big Brain Academy,2005-01-01,,Nintendo,Nintendo DS,Misc,74.0,7.4,E,6
sales_84,Red Dead Redemption,2010-01-01,Rockstar San Diego,Take-Two Interactive,PlayStation 3,Action,95.0,8.8,M,6
sales_85,FIFA 14,2013-01-01,EA Canada,,PlayStation 3,Sports,86.0,4.3,E,6
sales_86,Assassin's Creed III,2012-01-01,Ubisoft,Ubisoft,PlayStation 3,Action,85.0,6.9,M,6
sales_87,Donkey Kong Country Returns,2010-01-01,Retro Studios,Nintendo,Wii,Platform,87.0,8.6,E,6
sales_88,Halo: Combat Evolved,2001-01-01,Bungie Software,Microsoft Game Studios,Xbox,Shooter,97.0,,M,6
sales_89,The Elder Scrolls V: Skyrim,2011-01-01,Bethesda Game Studios,Bethesda Softworks,PlayStation 3,Role-Playing,92.0,6.4,M,6
sales_90,Pokémon Emerald Version,2004-01-01,Game Freak,,Game Boy Advance,Role-Playing,76.0,9.0,E,6
sales_91,Kingdom Hearts,2002-01-01,SquareSoft,,PlayStation 2,Role-Playing,85.0,8.8,E,6
sales_92,Halo 3: ODST,2009-01-01,"Bungie Software, Bungie",Microsoft Game Studios,Xbox 360,,83.0,7.1,M,6
sales_93,Red Dead Redemption,2010-01-01,Rockstar San Diego,Take-Two Interactive,Xbox 360,Action,95.0,9.0,M,6
sales_94,Super Mario Sunshine,2002-01-01,Nintendo,Nintendo,Nintendo GameCube,Platform,,8.6,E,6
sales_95,World of Warcraft,2004-01-01,Blizzard Entertainment,Activision,Windows PC,Role-Playing,93.0,7.3,T,6
sales_96,Driver,1999-01-01,Reflections Interactive,GT Interactive,PlayStation,Action,87.0,,T,6
sales_97,Gears of War 3,2011-01-01,Epic Games,Microsoft Game StudiOs,Xbox 360,Shooter,91.0,7.8,M,6
sales_98,Kinect Sports,2010-01-01,Rare Ltd.,Microsoft Game Studios,Xbox 360,Sports,73.0,7.4,E10+,6
sales_99,Gears of War,2006-01-01,Epic Games,Microsoft Game Studios,Xbox 360,,94.0,8.3,M,6
sales_100,FIFA 15,2014-01-01,EA Sports,Electronic Arts,PlayStation 4,Sports,82.0,5.7,E,6
sales_101,Metal Gear Solid 2: Sons of Liberty,2001-01-01,KCEJ,Konami Digital Entertainment,PlayStation 2,,96.0,8.7,M,6
sales_102,Metal Gear Solid,1998-01-01,KCEJ,Konami Digital Entertainment,PlayStation,Action,94.0,9.4,M,6
sales_103,Metal Gear Solid 4: Guns of the Patriots,2008-01-01,Kojima Productions,Konami Digital Entertainment,PlayStation 3,Action,94.0,8.7,M,5
sales_104,Final Fantasy XII,2006-01-01,Square Enix,Square Enix,PlayStation 2,Role-Playing,92.0,7.6,T,5
sales_105,The Last of Us,2013-01-01,Naughty Dog,Sony Computer Entertainment Europe,PlayStation 3,Action,95.0,9.1,M,5
sales_106,LittleBigPlanet,2008-01-01,"SCE/WWS, Media Molecule",Sony Computer Entertainment,PlayStation 3,Platform,95.0,6.8,E,5
sales_107,Resident Evil 2,1998-01-01,Capcom,Virgin Interactive,PlayStation,Action,89.0,9.2,M,5
sales_108,Dragon Quest IX: Sentinels of the Starry Skies,2009-01-01,Level 5,Nintendo,Nintendo DS,Role-Playing,87.0,8.8,E10+,5
sales_109,Tekken 2,1996-01-01,Namco,Sony Computer Entertainment,PlayStation,Fighting,89.0,8.9,T,5
