column,consistency_score,n_evaluated,n_consistent,n_inconsistent,excluded_from_dataset_score,failure_counts,diagnostics,skipped,skip_reason
id,,0,0,0,True,{},{},True,identifier_column
brand,1.0,2869,2869,0,False,{},{},False,
title,1.0,3012,3012,0,False,{},{},False,
description,1.0,3011,3011,0,False,{},{},False,
price,1.0,2822,2822,0,False,{},{},False,
priceCurrency,0.9907866761162296,2822,2796,26,False,"{""currency_code"": 23, ""pattern"": 20}",{},False,
url,1.0,3012,3012,0,False,{},{},False,
title_description,1.0,3012,3012,0,False,{},{},False,
model,1.0,2756,2756,0,False,{},{},False,
model_number,0.9966969446738233,1211,1207,4,False,"{""pattern"": 4}",{},False,
product_type,1.0,3009,3009,0,False,{},{},False,
chipset_name,1.0,864,864,0,False,{},{},False,
vram_gb,1.0,849,849,0,False,{},{},False,
storage_gb,1.0,2100,2100,0,False,{},{},False,
read_speed_mb_s,1.0,539,539,0,False,{},{},False,
write_speed_mb_s,1.0,436,436,0,False,{},{},False,
bus_type,1.0,2286,2286,0,False,{},"{""open_taxonomy"": {""exhaustive"": false, ""expected_family_match_rate"": 1.0, ""membership_enforced"": false, ""n_expected_family_matches"": 2286, ""n_outside_expected_families"": 0, ""n_values_checked"": 2286}}",False,
interface_type,1.0,1574,1574,0,False,{},"{""open_taxonomy"": {""exhaustive"": false, ""expected_family_match_rate"": 0.9764930114358322, ""membership_enforced"": false, ""n_expected_family_matches"": 1537, ""n_outside_expected_families"": 37, ""n_values_checked"": 1574}}",False,
width_mm,1.0,146,146,0,False,{},{},False,
length_mm,1.0,140,140,0,False,{},{},False,
height_mm,1.0,166,166,0,False,{},{},False,
weight_g,1.0,98,98,0,False,{},{},False,
storage_connection_type,1.0,1501,1501,0,False,{},{},False,
memory_type,1.0,774,774,0,False,{},"{""open_taxonomy"": {""exhaustive"": false, ""expected_family_match_rate"": 0.9961240310077519, ""membership_enforced"": false, ""n_expected_family_matches"": 771, ""n_outside_expected_families"": 3, ""n_values_checked"": 774}}",False,
color,1.0,365,365,0,False,{},{},False,
form_factor,1.0,1527,1527,0,False,{},"{""open_taxonomy"": {""exhaustive"": false, ""expected_family_match_rate"": 0.9882121807465619, ""membership_enforced"": false, ""n_expected_family_matches"": 1509, ""n_outside_expected_families"": 18, ""n_values_checked"": 1527}}",False,
