_id,_fusion_sources,interface_type,weight_g,brand,title_description,storage_gb,write_speed_mb_s,bus_type,length_mm,color,cluster_id,storage_connection_type,id,chipset_name,model_number,model,title,width_mm,description,height_mm,priceCurrency,url,vram_gb,form_factor,price,product_type,read_speed_mb_s,memory_type
products_1_7157697,"['products_1_7157697', 'products_4_58883395', 'products_3_77924764']",,,Asus,Asus GeForce GTX 1660S 6GB A6G Strix Gaming 192Bit. Kategori: Nvidia Ekran KartMarka: AsusGrafik lemci: GeForce GTX1660 Serisiretici Kodu: 90YV0DW1-M0NA00CUDA ekirdei: 1408Grafik Hz: OC Modu - 1830 MHz (Boost Hz) Gaming Modu (Normal) - GPU Boost Hz : 1800 MHzGPU Hz : 1530 MHzGrafik Bellek: 6GBBellek Tipi: DDR6Bellek Arayz: 192 BitLow Profile: YokSoutma Sistemi: FanlDirectx Destei: Directx 12OpenGL Srm: OpenGL 4.6HDMI k: 1 x HDMI 2.0bDVI k: 1 x DVI-DVGA k: YokDisplay Port: 1 x DisplayPort 1.4HDCP/HDTV: Var (HDCP 2.2)Arabirim: PCI Express 3.0Model Link: retici Sayfas,,,PCIe 4.0,,,1660929.0,,products_1_7157697,GeForec GTX 1660,90YV0DW1-M0NA00,GeForce GTX 1660S A6G Strix Gaming,ASUS TUF Gaming GeForce GTX 1650 SUPER OC Edition 4GB GDDR6 Graphics Card - Black | 90YV0E42-M0NA00,,"Kategori: Nvidia ekran kartı, Asus marka GeForce GTX1660 serisi; üretici kodu 90YV0DW1-M0NA00. 1408 CUDA çekirdeğine sahip. OC modunda 1830 MHz boost, gaming modunda normal GPU boost hızı 1800 MHz, GPU hızı ise 1530 MHz. 6 GB DDR6 bellek ve 192 bit bellek arayüzü bulunur. Low profile değil, fanlı soğutma sistemi kullanır. DirectX 12 ve OpenGL 4.6 desteği vardır. 1 x HDMI 2.0b, 1 x DVI-D ve 1 x DisplayPort 1.4 çıkışı sunar; VGA yoktur. HDCP/HDTV desteği var (HDCP 2.2). Arabirimi PCI Express 3.0’dır. Model linki: Üretici sayfası",,TRY,"['https://pcdubai.com/product/asus-tuf-gaming-geforce-gtx-1650-super-oc-edition-4gb-gddr6-graphics-card-black-90yv0e42-m0na00', 'https://www.dataspesialisten.no/partdetail.aspx?q=p:1000495692', 'https://www.ipekbilgisayar.net/asus-geforce-gtx-1660s-6gb-a6g-strix-gaming-192bit-pmu3795']",5.725,,13032.0,GPU,,DDR6
products_1_88407990,"['products_1_88407990', 'products_3_17471458', 'products_2_32766302', 'products_4_87116717']",U5B Typc-C,,Kingston,Kingston 64GB DataTraveler 80 DT80/64GB USB 3.2 Type-C Flash Drive. Description: DT80/64GB MBD 64GB USB 3.2 Type-C Flash Drive Kingston DataTraveler 80 Black/Silver Rectangular Retail,45.8,,USB 3.0,,Black/Silver,949762.0,USB Type-C,products_1_88407990,,DT80 with 64GB storage,DataTraveler 80,Kingston Memory Flash DT80/32GB 32GB USB-C 3.2 Gen 1 DataTraveler 80 Retail,,DT80/64GB MBD 64GB USB 3.2 Type-C Flash Drive r200MBs Kingston DataTraveler 80 Black/Silver Rectangular Retail,,USD,"['http://shop.avansoft.ro/cumpara/memorie-usb-kingston-datatraveler-80-256gb-usb-c-3-2-gen-1-dt80-256gb-13889', 'https://www.oempcworld.com/OEMPCworld-com/500521.html', 'https://www.oempcworld.com/OEMPCworld-com/500790.html', 'https://www.thekeykey.com/detail/DT8032GB/?name=245714']",,,17.92,USB_STICK,200.0,
products_3_91452319,"['products_3_91452319', 'products_1_25128239', 'products_4_98594201']",SAS,,Seagate,"Seagate Exos X12 ST12000nm0027 - 12TB - Hdd - Serial Attached SCSI (SAS). Description: ST12000NM0027 Seagate Exos X12 ST12000nm0027 - 12TB - Hdd - Serial Attached SCSI (SAS) Seagate Enterprise 3.5 HDD (Helium). HDD size: 3.5\"", HDD capacity: 12000 GB, HDD speed: 7200 RPM - Up to 12 TB per drive for up to 50% more petabytes per rackRobust, forged helium sealed-drive technology with drop-in PMR compatibility for easy system integrationIndustry's lowest power and weight for optimum data centre TCOField-proven, eleventh-generation technology featuring power, performance and reliability enhancementsDelivering high performance and high capacity for both SATA and SAS environmentsData-at-rest is protected with Seagate Secure technologyHave confidence in data delivery with a drive that helps to ensure consistent 24x7 performanceBacked by a 2.5 M-hour MTBF and a 5-year limited warranty Built for Speed - Exactly Where It Is NeededAmong the industry’s best response times for a 12 TB nearline drive, the Seagate Enterprise Capacity 3.5 HDD (Helium) helps to enable some of the fastest data transfers possible. Meet your storage workload requirements with an efficient data centre footprint. Innovative technology advancements like PowerBalance, PowerChoice and RAID Rebuild, allow you to have the control to customise your bulk storage requirements for even greater TCO improvements. Incredibly High Capacity Paired with World-Class ReliabilityWhen building maximum density server and storage solutions with Seagate’s Enterprise Capacity 3.5 HDD (Helium), you can rest easy knowing that your storage infrastructure can scale to meet your growing capacity needs while offering consistent and predictable response rates. Enterprise Capacity 3.5 HDD (Helium) supports enterprise-class nearline worklpads of 550 FB/yr and is backed by a 2.5M-hour MTBF and 5-year limited warranty, helping to meet all of your bulk storage SLAs. What’s in the Hard Drive?Fast 12 TB and 10 TB nearline hard drives in a robust sealed-drive architecture550 TB/yr — 10× the workload rating of desktop drivesProven technology backed by highest field reliability ratings and the industry’s best MTBF at 2.5 M hoursChoose 6 Gb/s SATA or 12 Gb/s SAS interface for drop-in system ibtegrationExcellent IOPS/TB storage for unstructured dataUp to 21% improvement in IOPS/watt over similar 12 TB HDDs on the market0.5 watts less power than other drives — approximately a 6% savings for a 10 PB solution10 grams lighter per drive — approximately a 2% weight reduction in a 10 PB rack-based solution IT Pros Rate Seagate Enterprise HDDs as Best-In-Class for a 5th Consecutive YearSeagate was again selected by IT professionals as the 2017 Market Leader for Enterprise HDDs. Get the full report to see the survey data behind the voting for Market, Performance, Reliability, Price, Service & Support and Innovation Leaders.",8000.0,,SATA,,,3254311.0,3.5-inch SATA,products_3_91452319,,,Exos X12,Seagate Exos X12 ST12000nm0027 - 12TB - Hdd - Serial Attached SCSI (SAS),,"ST12000NM0027 Seagate Exos X12 ST12000nm0027 - 12TB - Hdd - Serial Attached SCSI (SAS) Seagate Enterprise 3.5 HDD (Helium). HDD size: 3.5\"", HDD capacity: 12000 GB, HDD speed: 7200 RPM - Up to 12 TB per drive for up to 50% more petabytes per rackRobust, forged helium sealed-drive technology with drop-in PMR compatibility for easy system integrationIndustry's lowest power and weight for optimum data centre TCOField-proven, eleventh-generation technology featuring power, performance and reliability enhancementsDelivering high performance and high capacity for both SATA and SAS environmentsData-at-rest is protected with Seagate Secure technologyHave confidence in data delivery with a drive that helps to ensure consistent 24x7 performanceBacked by a 2.5 M-hour MTBF and a 5-year limited warranty Built for Speed - Exactly Where It Is NeededAmong the industry’s best response times for a 12 TB nearline drive, the Seagate Enterprise Capacity 3.5 HDD (Helium) helps to enable some of the fastest data transfers possible. Meet your storage workload requirements with an efficient data centre footprint. Innovative technology advancements like PowerBalance, PowerChoice and RAID Rebuild, allow you to have the control to customise your bulk storage requirements for even greater TCO improvements. Incredibly High Capacity Paired with World-Class ReliabilityWhen building maximum density server and storage solutions with Seagate’s Enterprise Capacity 3.5 HDD (Helium), you can rest easy knowing that your storage infrastructure can scale to meet your growing capacity needs while offering consistent and predictable response rates. Enterprise Capacity 3.5 HDD (Helium) supports enterprise-class nearline workloads of 550 TB/yr and is backed by a 2.5M-hour MTBF and 5-year limited warranty, helping to meet all of your bulk storage SLAs. What’s in the Hard Drive?Fast 12 TB and 10 TB nearline hard drives in a robust sealed-drive architecture550 TB/yr — 10× the workload rating of desktop drivesProven technology backed by highest field reliability ratings and the industry’s best MTBF at 2.5 M hoursChoose 6 Gb/s SATA or 12 Gb/s SAS interface for drop-in system integrationExcellent IOPS/TB storage for unstructured dataUp to 21% improvement in IOPS/watt over similar 12 TB HDDs on the market0.5 watts less power than other drives — approximately a 6% savings for a 10 PB solution10 grams lighter per drive — approximately a 2% weight reduction in a 10 PB rack-based solution IT Pros Rate Seagate Enterprise HDDs as Best-In-Class for a 5th Consecutive YearSeagate was again selected by IT professionals as the 2017 Market Leader for Enterprise HDDs. Get the full report to see the survey data behind the voting for Market, Performance, Reliability, Price, Service & Support and Innovation Leaders.",,GBP,"['http://www.lasernetworks.hu/seagate_exos_x12_st12000nm0027_-_12tb_-_hdd_-_serial_attached_scsi_sas_175723', 'https://sbsdomain.com/seagate-12tb-35-ironwolf-pro-nas-hdd-256mb-cache', 'https://www.scan.co.uk/products/8tb-seagate-st8000nm000a-exos-7e8-enterprise-35-hdd-sata-6gb-s-7200rpm-256mb-cache-512e-416ms']",,3.5-inch,257.825,HD D,,
products_2_11752341,"['products_2_11752341', 'products_1_10861890', 'products_4_62044328', 'products_3_22158552']",,,Kingston,Kingston 64 Gigabyte DataTraveler Vault Privacy 3.0197 USB Stick. Description: The Kingston DataTraveler Vault Privacy 3. 0 USB Flash drive provides business-grade security with 256-bit AES hardware-based encryption in XTS mode.,46.9,,USB 3.0,,Metal/Blue,2691660.0,,products_2_11752341,,,DataTraveler 100 G3,Kingston 64 GB DataTraveler Vault Privacy 3.0197 USB Stick,,The Kingston DataTraveler Vault Privacy 3.0 USB flash drive delivers business-grade protection through 256-bit AES hardware encryption in XTS mode.,,EUR,"['https://no.rs-online.com/web/p/usb-sticks/1408084', 'https://www.boutique.first-computer.fr/cles-usb/97-datatraveler-microduo-cle-usb-32-go-usb-35-740617242829.html', 'https://www.fotofabrikas.lt/items/USB-laikmenos/USB-raktai/8617a3d.2-Kingston-DataTraveler-50-64GB-USB-3-0-MetalBlue-Kingston.html', 'https://www.norrod.nl/kingston-datatraveler-106-64-gb/20901108/product/9440']",,,1792.0,USB_STICK,100.0,
products_1_77903458,"['products_1_77903458', 'products_3_57836531', 'products_4_86949980']",,,ASUS Corporation,Asus Video Card PH-GTX1650-O4GD6 GeForce GTX 1650 GDDR6 4GB 128Bit PCI Express HDMI/DisplayPort/DVI-D Retail. Description: Asus Video Card PH-GTX1650-O4GD6 GeForce GTX 1650 GDDR6 4GB 128Bit PCI Express Retail,,,PCI Express x16,,,145595.0,,products_1_77903458,GeForce GTX 1650,PH-GTX1650-O4GD6,Video Card PH-GTX1650-O4GD6,Asus Video Card PH-GTX1650-O4GD6 GeForce GTX 1650 GDDR6 4GB 128Bit PCI Express HDMI/DisplayPort/DVI-D Retail,,Asus Video Card PH-GTX1650-O4GD6 GeForce GTX 1650 GDDR6 4GB 128Bit PCI Express HDMI/DisplayPort/DVI-D Retail,,USD,"['https://pcdubai.com/product/msi-geforce-gtx-1660-ti-gaming-x-6g-pci-express-x16-3-0-6gb-gddr6-192-bit-912-v375-040', 'https://www.mymediacenter.nl/asus-ph-gtx1660-6g-6gbdvihdmidpactive.html', 'https://www.thekeykey.com/detail/PH-GTX1650-O4GD6/?name=246802']",,,192.495,GPU,,GDDR5
products_2_15893156,"['products_2_15893156', 'products_1_50064518', 'products_3_23599545']",,,Zotac,"ZOTAC GEFORCE RTX 2060 SUPER AMP 8GB GDDR6. Description: Everything is super with the all-new ZOTAC GAMING GeForce RTX 20 Series SUPER graphics cards. Based on the NVIDIA Turing architecture, it?s packed with more cores and ultra-fast GDDR6 memory. Integrated with more smart and optimized technologies, get ready to GET FAST and GAME STRONG.",,,,,,445738.0,,products_2_15893156,RTX GeForce 2060,,GeForce RTX 2060 6GB AMP! Edition Boost,Zotac NVIDIA GeForce RTX 3090 24GB Trinity Ampere Graphics Card,,"Everything is super with the all-new ZOTAC GAMING GeForce RTX 20 Series SUPER graphics cards. Based on the NVIDIA Turing architecture, it?s packed with more cores and ultra-fast GDDR6 memory. Integrated with more smart and optimized technologies, get ready to GET FAST and GAME STRONG.",,GBP,"['https://www.cclonline.com/product/278284/ZT-T20600D-10M/Graphics-Cards/Zotac-GeForce-RTX-2060-AMP-Edition-6GB-Overclocked-Graphics-Card/VGA5520', 'https://www.pcstudio.in/product/zotac-geforce-rtx-2060-super-amp-8gb-gddr6', 'https://www.scan.co.uk/products/zotac-nvidia-geforce-rtx-3090-trinity-24gb-gddr6x-ray-tracing-graphics-card']",,,50019.245,GPU,,GDDR6
products_1_36829921,"['products_1_36829921', 'products_2_8794784', 'products_4_51713711']",,,Gigabyte,"GIGABYTE GeForce GTX 1660 Ti WindForce OC 6.0 GB High End graphics card. Description: GeForce® GTX 1660 Ti WINDFORCE OC 6GFeaturesPowered by GeForce® GTX 1660 TiIntegrated with 6GB GDDR6 192-bit memory interfaceWINDFORCE 2X Cooling System with alternate spinning fans100 mm unique blade fansProtection back plateCore Clock1845 MHz (Reference card is 1770 MHz)WINDFORCE 2X COOLING SYSTEMWINDFORCE 2X cooling system features 2x 100mm unique blade fans, alternate spinning fan, 2 composite copper heat pipes direct touch GPU and 3D active fan, together delivering an effective heat dissipation.ALTERNATE SPINNINGThe GIGABYTE patent “Alternate Spinning” is the only solution that can solve the turbulent airflow of adjacent fans. Since the adjacent fans rotate in the same direction, the airflow direction is opposite between the fans, which will cause turbulent airflow and reduce heat dissipation efficiency. GIGABYTE turns the adjacent fans in the opposite direction, so that the airflow direction between the two fans is the same, reducing the turbulence and enhancing the airflow pressure.UNIQUE BLADE FANThe airflow is spilt by the triangular fan edge, and guided smoothly through the 3D stripe curve on the fan surface, effectively enhancing the airflow.3D ACTIVE FANThe 3D Active Fan provides semi-passive cooling, and the fans will remain off when the GPU is in a low load or low power game. It allows gamers to enjoy gameplay in complete silence when the system is running light or idle.HEAT PIPES DIRECT TOUCH GPUThe shape of the pure copper heat pipes maximizes the direct contact area with the GPU, enhancing heat transfer. The heat pipes also cover the VRAM through a large metal plate contact to ensure proper cooling.COMPOSITE HEAT-PIPEThe composite heat-pipe combines thermal conductivity and phase transition to efficiently manage the heat transfer between two solid interfaces which increase cooling capacity.BUILT STRONGEXTREME DURABILITY AND OVERCLOCKINGThe graphics card uses the 4+2 power phase design to allow the MOSFET to operate at lower temperature, and over-temperature protection design and load balancing for each MOSFET, plus the Ultra Durable certified chokes and capacitors, to provide excellent performance and longer system life.PROTECTION BACK PLATEThe back plate not only provides an aesthetical shape, but also enhances the structure of the graphics card to provide complete protection.",,,PCI Express x16,,,488132.0,,products_1_36829921,GeForce GTX 1660 Ti,,GeForce GTX 1660 Ti WindForce OC 6G,GIGABYTE GEFORCE GTX 1660 SUPER OC 6GB GDDR6 192-BIT GAMING GRAPHICS CARD,,"GeForce® GTX 1660 Ti WINDFORCE OC 6GFeaturesPowered by GeForce® GTX 1660 TiIntegrated with 6GB GDDR6 192-bit memory interfaceWINDFORCE 2X Cooling System with alternate spinning fans100 mm unique blade fansProtection back plateCore Clock1845 MHz (Reference card is 1770 MHz)WINDFORCE 2X COOLING SYSTEMWINDFORCE 2X cooling system features 2x 100mm unique blade fans, alternate spinning fan, 2 composite copper heat pipes direct touch GPU and 3D active fan, together delivering an effective heat dissipation.ALTERNATE SPINNINGThe GIGABYTE patent “Alternate Spinning” is the only solution that can solve the turbulent airflow of adjacent fans. Since the adjacent fans rotate in the same direction, the airflow direction is opposite between the fans, which will cause turbulent airflow and reduce heat dissipation efficiency. GIGABYTE turns the adjacent fans in the opposite direction, so that the airflow direction between the two fans is the same, reducing the turbulence and enhancing the airflow pressure.UNIQUE BLADE FANThe airflow is spilt by the triangular fan edge, and guided smoothly through the 3D stripe curve on the fan surface, effectively enhancing the airflow.3D ACTIVE FANThe 3D Active Fan provides semi-passive cooling, and the fans will remain off when the GPU is in a low load or low power game. It allows gamers to enjoy gameplay in complete silence when the system is running light or idle.HEAT PIPES DIRECT TOUCH GPUThe shape of the pure copper heat pipes maximizes the direct contact area with the GPU, enhancing heat transfer. The heat pipes also cover the VRAM through a large metal plate contact to ensure proper cooling.COMPOSITE HEAT-PIPEThe composite heat-pipe combines thermal conductivity and phase transition to efficiently manage the heat transfer between two solid interfaces which increase cooling capacity.BUILT STRONGEXTREME DURABILITY AND OVERCLOCKINGThe graphics card uses the 4+2 power phase design to allow the MOSFET to operate at lower temperature, and over-temperature protection design and load balancing for each MOSFET, plus the Ultra Durable certified chokes and capacitors, to provide excellent performance and longer system life.PROTECTION BACK PLATEThe back plate not only provides an aesthetical shape, but also enhances the structure of the graphics card to provide complete protection.",,EUR,"['https://powertechbcn.com/es/tarjetas-graficas/680-gigabyte-geforce-rtx-2080-ti-windforce-11gb-gddr6-4719331303815.html', 'https://www.computeruniverse.net/zh/gigabyte-geforce-gtx-1660-ti-windforce-oc-6-gb-high-end-grafikkarte', 'https://www.kartmy.com/product/gigabyte-gv-n166soc-6gd-graphics-card-nvidia-geforce-gtx-1660-super-6-gb-gddr6']",,,1198.81,GPU,,
products_1_84278896,"['products_1_84278896', 'products_3_96863812', 'products_4_61023226', 'products_2_68724654']",,5.4,Sandisk,Sandisk Extreme GO CZ800 128GB USB3.1 Black Retractable. Description: SanDisk 128GB iXpand USB 3.0 Flash Drive for iPhone & iPadFree up space on your iPhone by moving photos and videos to your iXpand flashAutomatically back up photos and videos from your cameraAutomatically back up your contactsWatch popular video on youd iPhone or iPadDesigned with a flexible connector to fit through most iPhone casesFree up space on your iPhone by moving photos and videos to your iXpand flashAutomaticzlly back up photos and videos from your cameraSPECIFICATIONS:Xigital Storage Capacity128 GBHardware PlatformMacHardware InterfaceUSB 3.0Mounting HardwareIXPAND FLASH DRIVEProduct Dimensions5.89 x 1.3 x 1.68 cmItem Weight5.4 g,64016.0,6000.0,USB 3.0,,Black,1478275.0,,products_1_84278896,,SDIX60N-128G-GN6NE,IXPAND FLASH DRIVE,"SanDisk iXpand Flash Drive 128GB for iPhone and iPad, Black/Silver, (SDIX30C-128G-GN6NE)",,SanDisk 128GB iXpand USB 3.0 Flash Drive for iPhone & iPadFree up space on your iPhone by moving photos and videos to your iXpand flashAutomatically back up photos and videos from your cameraAutomatically back up your contactsWatch popular video on your iPhone or iPadDesigned with a flexible connector to fit through most iPhone casesFree up space on your iPhone by moving photos and videos to your iXpand flashAutomatically back up photos and videos from your cameraSPECIFICATIONS:Digital Storage Capacity128 GBHardware PlatformMacHardware InterfaceUSB 3.0Mounting HardwareIXPAND FLASH DRIVEProduct Dimensions5.89 x 1.3 x 1.68 cmItem Weight5.4 g,,USD,"['https://mir-informatica.com/perifericos/21488-SDIX60N-128G-GN6NE.html', 'https://www.egadgets.co.za/product/sandisk-ultra-usb-3-0-flash-drive-128gb', 'https://www.oempcworld.com/OEMPCworld-com/032944.html', 'https://www.umart.com.au/SanDisk-128GB-iXpand-USB-3-0-Flash-Drive-for-iPhone---iPad_56071G.html']",,,52.655,USB_STICK,,
products_1_49576448,"['products_1_49576448', 'products_3_29006523', 'products_2_80184260']",NVMe,,Western Digital,"WD BLUE 1TB SN550 NVME M.2 2280 SSD (WDS100T2B0C). Description: WD BLUE 1TB SN550 NVME M.2 2280 SSD (WDS100T2B0C)PUT NVME POWER AT THE HEART OF YOUR PC Drive Performance Beyond SATAThe WD Blue™ SN550NVMe™ SSD boosts performance immensely over our high-end SATA SSDs with lightning-fast, ultra-responsive performance. The WD Blue SN550NVMe SSD allows resellers, system builders and consumers to take advantage of our reliable NVMe storage solution when creating their next PCs. Available in capacities up to 1TB in an M.2 2280 form factor, the WD Blue SN550NVMe SSD will give your system the boost you need.1Highlights Over 4x faster than our SATA SSDs with read speeds up to 2,400 MB/s for ultra-responsive PC performance Boost your system’s performance with next-gen NVMe™ SSDs Slimline M.2 2280 form factor Western Digital designed controller and firmware for optimized performance Western Digital SSD Dashboard constantly monitors the health of your SSD The right storage for your next PC NVMe™ goes mainstream with a powerful, cost-effective storage solution that adds to the reliability of an SSD and utilizing PCIe NVMe Gen3 x4 interface. Boost your performance Get breakneck sequential read speeds up to 2,400 MB/s to improve your productivity no matter what you’re doing or creating. Do more with less Scalable NVMe™ hardware and accelerated architecture enable both high performance and low power consumption that maxes out at only 3.5W. SpecificationInterfacePCIe Gen3 8Gb/s, up to 4 LanesFormatted Capacity1TBPerformance5Sequential Read MB/s up to (Q=32, T=1) : 2,400Sequential Write MB/s up to (Q=32, T=1) : 1950Random Read 4KB IOPS up to (Q=32, T=8) : 410KRandom Write 4KB IOPS up to (Q=32, T=8) : 405KEndurance (TBW) : 600TBWPowerAverage Active Power (mW) : 75mWLow Power (PS3) (mW) : 20Maximum Operating Power : 4.9WSleep (PS4) (low power) : 5mWReliabilityMTTF : 1.7M hoursEnvironmentalOperating Temperature : 32ºF to 158ºF (0ºC to 70ºC)Non-operating Temperature : -67ºF to 185ºF (-55ºC to 85ºC)Non-Operating Vibration : 4.9 gRMS, 7-800 Hz, 3 axesOperating Vibration : 5 gRMS, 10-2000 Hz, 3 axesMaximum Operating Power : 4.9WShock : 1,500G @0.5 ms half sineCertifications : UL, TUV, FCC, BSMI, CE, KCC, RCM, Morocco, VCCI and CAN ICES-3(B)/NMB-3(B)Physical Dimensions M.2 2280Form Factor : M.2 2280Length : 82 ± 0.15mmWidth : 22 ± 0.15mmHeight : 2.38mmWeight : 6.5g + 1gWarranty5 Years Limited WarrantyNote*Price, feature and specifications are subject to change without notice.",500.0,,PCI Express x4,,,156996.0,M.2,products_1_49576448,,WDS100T2B0C,Blue SN550,Western Digital WD BLACK SN750 NVMe M.2 2280 500GB PCI-Express 3.0 x4 64-layer 3D NAND Internal Solid State Drive (SSD) WDS500G3XHC W/ Heatsink,,"WD BLUE 1TB SN550 NVME M.2 2280 SSD (WDS100T2B0C)PUT NVME POWER AT THE HEART OF YOUR PC Drive Performance Beyond SATAThe WD Blue SN550NVMe SSD boosts performance immensely over our high-end SATA SSDs with lightning-fast, ultra-responsive performance. The WD Blue SN550NVMe SSD allows resellers, system builders and consumers to take advantage of our reliable NVMe storage solution when creating their next PCs. Available in capacities up to 1TB in an M.2 2280 form factor, the WD Blue SN550NVMe SSD will give your system the boost you need.1Highlights Over 4x faster than our SATA SSDs with read speeds up to 2,400 MB/s for ultra-responsive PC performance Boost your system’s performance with next-gen NVMe SSDs Slimline M.2 2280 form factor Western Digital designed controller and firmware for optimized performance Western Digital SSD Dashboard constantly monitors the health of your SSD The right storage for your next PC NVMe goes mainstream with a powerful, cost-effective storage solution that adds to the reliability of an SSD and utilizing PCIe NVMe Gen3 x4 interface. Boost your performance Get breakneck sequential read speeds up to 2,400 MB/s to improve your productivity no matter what you’re doing or creating. Do more with less Scalable NVMe hardware and accelerated architecture enable both high performance and low power consumption that maxes out at only 3.5W. SpecificationInterfacePCIe Gen3 8Gb/s, up to 4 LanesFormatted Capacity1TBPerformance5Sequential Read MB/s up to (Q=32, T=1) : 2,400Sequential Write MB/s up to (Q=32, T=1) : 1950Random Read 4KB IOPS up to (Q=32, T=8) : 410KRandom Write 4KB IOPS up to (Q=32, T=8) : 405KEndurance (TBW) : 600TBWPowerAverage Active Power (mW) : 75mWLow Power (PS3) (mW) : 20Maximum Operating Power : 4.9WSleep (PS4) (low power) : 5mWReliabilityMTTF : 1.7M hoursEnvironmentalOperating Temperature : 32ºF to 158ºF (0ºC to 70ºC)Non-operating Temperature : -67ºF to 185ºF (-55ºC to 85ºC)Non-Operating Vibration : 4.9 gRMS, 7-800 Hz, 3 axesOperating Vibration : 5 gRMS, 10-2000 Hz, 3 axesMaximum Operating Power : 4.9WShock : 1,500G 0.5 ms half sineCertifications : UL, TUV, FCC, BSMI, CE, KCC, RCM, Morocco, VCCI and CAN ICES-3(B)/NMB-3(B)Physical Dimensions M.2 2280Form Factor : M.2 2280Length : 82 ± 0.15mmWidth : 22 ± 0.15mmHeight : 2.38mmWeight : 6.5g + 1gWarranty5 Years Limited WarrantyNote*Price, feature and specifications are subject to change without notice.",,U,"['https://www.newegg.com/western-digital-blue-sn550-nvme-1tb/p/N82E16820250135?Description=nvme%20ssd%201tb&cm_re=nvme_ssd_1tb-_-20-250-135-_-Product', 'https://www.pbtech.co.nz/product/HDDWD13022H/WD-Black-SN750-500GB-M2-NVMe-SSD-Read-up-to-3470MB', 'https://www.pcstudio.in/product/wd-blue-1tb-sn550-nvme-m2-2280-ssd']",,M.2 2280,195.315,SSD,,
products_3_91059944,"['products_3_91059944', 'products_4_20551993', 'products_1_72380436']",USB Type-C,,Kingston,OTG Usb Flash Drive 8GB 16GB 32GB 64GB Pen drive HD external storage memory stick For iphone 7 7 Plus 6 6s Plus 5S ipad Pendrive. Description: Buy OTG Usb Flash Drive 8GB 16GB 32GB 64GB Pen drive HD external storage memory stick For iphone 7 7 Plus 6 6s Plus 5S ipad Pendrive at www.trendyshopperdeals.com! Free shipping to 185 countries. 45 days money back guarantee.,32.0,,USB 3.0,,,54008584.0,U58 Type-C,products_3_91059944,,,DayaTrabeler u0,Moweek Multifunctional USB Flash Drive 128gb 64gb cle usb stick 32gb Pendrive 16gb 8gb 4 gb usb 2.0 memory stickfor android,,Buy OTG Usb Flash Drive 8GB 16GB 32GB 64GB Pen drive HD external storage memory stick For iphone 7 7 Plus 6 6s Plus 5S ipad Pendrive at www.trendyshopperdeals.com! Free shipping to 185 countries. 45 days money back guarantee.,,USD,"['http://shop.avansoft.ro/cumpara/memorie-usb-kingston-datatraveler-80-32gb-usb-c-3-2-gen-1-dt80-32gb-13888', 'http://www.trendyshopperdeals.com/2018-otg-usb-flash-drive-android-micro-pen-drive-usb-memory-stick-4gb-8gb-16gb-32gb-64gb-pendrive-mobile-u-disk', 'http://www.trendyshopperdeals.com/otg-usb-flash-drive-8gb-16gb-32gb-64gb-pen-drive-hd-external-storage-memory-stick-for-iphone-7-7-plus-6-6s-plus-5s-ipad-pendrive']",,,11.96,USB_STICK,,
