id,brand,title,description,price,priceCurrency,cluster_id,link,title_description,model,model_number,product_type,chipset_name,vram_gb,storage_gb,read_speed_mb_s,write_speed_mb_s,bus_type,interface_type,width_mm,length_mm,height_mm,weight_g,storage_connection_type,memory_type,color,form_factor
products_4_66956099,Gigabyte,Gigabyte Video Card GV-N3080GAMING OC-10GD GeForce RTX 3080 GAMING OC 10GB GDDR6X Retail,Gigabyte Video Card GV-N3080GAMING OC-10GD GeForce RTX 3080 GAMING OC 10GB GDDR6X Retail,791.99,USD,1002037,https://www.thekeykey.com/detail/GV-N3080GAMING-OC-10GD/?name=247479,Gigabyte Video Card GV-N3080GAMING OC-10GD GeForce RTX 3080 GAMING OC 10GB GDDR6X Retail. Description: Gigabyte Video Card GV-N3080GAMING OC-10GD GeForce RTX 3080 GAMING OC 10GB GDDR6X Retail,GeForce RTX 3080 GAMING OC,GV-N3080GAMING OC-10GD,GPU,GeForce RTX 3080,10.0 GB,,,,,,,,,,,,,
products_4_77571226,Corsair,Corsair MP510 M.2-2280 960GB,Huge 960GB storage capacity and super Rapid 3480Mbps read speed and amazingly Rapid 3000Mbps write speed.,"2,124.0",NOK,1007272,https://www.cclonline.com/product/287495/CSSD-F960GBMP510/Solid-State-Drives-SSDs-/Corsair-Force-MP510-960GB-M-2-Solid-State-Drive-Internal-/SSD1023,Corsair MP510 M.2-2280 960GB. Description: Huge 960GB storage capacity and super Rapid 3480Mbps read speed and amazingly Rapid 3000Mbps write speed.,MP510,CSSD-F960GBMP510,SSD,,,960.0 GB,"3,480.0 MB/s","3,000.0 MB/s",PCI Express x4,NVMe,,,,,M.2,,,M.2 2280
products_4_86949980,MSI,MSI GeForce GTX 1660 Ti GAMING X 6G PCI Express x16 3.0 6GB GDDR6 192-bit | 912-V375-040,Twin Frozr 7 Thermal DesignRGB Mystic LightDragon Center,"1,400.3",AED,1029916,https://pcdubai.com/product/msi-geforce-gtx-1660-ti-gaming-x-6g-pci-express-x16-3-0-6gb-gddr6-192-bit-912-v375-040,MSI GeForce GTX 1660 Ti GAMING X 6G PCI Express x16 3.0 6GB GDDR6 192-bit | 912-V375-040. Description: Twin Frozr 7 Thermal DesignRGB Mystic LightDragon Center,GeForce GTX 1660 Ti GAMING X 6G,912-V375-040,,GeForce GTX 1660 Ti,,,,,PCI Express x16,,46.0,247.0,127.0,869.0,,GDDR6,,
products_4_66417148,Asus,"Asus Strix Rtx 2060S Oc Evo - 8GB, 2Xfan, 2Xhdmi, 2Xd","Asus Strix Rtx 2060S Oc Evo - 8GB, 2Xfan, 2Xhdmi, 2Xd","10,819.98",ZAR,1038355,https://sbsdomain.com/asus-strix-rtx-2060s-oc-evo-8gb-2xfan-2xhdmi-2xd,"Asus Strix Rtx 2060S Oc Evo - 8GB, 2Xfan, 2Xhdmi, 2Xd. Description: Asus Strix Rtx 2060S Oc Evo - 8GB, 2Xfan, 2Xhdmi, 2Xd",Strix Rtx 2060S Oc Evo,90YV0DQ0-M0NA00,GPU,GeForce RTX 2060 Super,,,,,PCIe 4.0,,,,,,,GDDR6,,
products_4_280012,ADATA,XPG GAMMIX S11 Pro M.2 1000 GB PCI Express 3.0 3D TLC NVMe,ADATA XPG GAMMIX S11 PRO,137.44,EUR,1045382,https://pcacierto.com/tienda/xpg-gammix-s11-pro-m-2-1000-gb-pci-express-3-0-3d-tlc-nvme,XPG GAMMIX S11 Pro M.2 1000 GB PCI Express 3.0 3D TLC NVMe. Description: ADATA XPG GAMMIX S11 PRO,XPG GAMMIX S11 PRO,AGAMMIXS11P-1TT-C,SSD,,,"1,000.0 GB",3500.0 MB/s,3000.0 MB/s,PCI Express x16,NVMe,22.0,80.0,6.1,11.0,,,,M.2 2280
products_4_96620640,AMD,AMD Radeon Pro WX 4100 4GB Workstation Video Card,"AMD Radeon Pro WX 4100 4GB Workstation Video Card - 4GB GDDR5 128 bit - Peak Engine Clock: 1201MHz, Typical Engine Clock: 1125MHz - 4x Mini DisplayPort 1.4 - PCIe 3.0 x8 - 1x 5K Monitor Support (single or dual cable) - DirectX 12 - 100-506008 - 3 Years Limited Warranty",569.0,AUD,1050421,https://www.auspcmarket.com.au/video-cards/workstation-video-cards/amd-radeon-pro-wx-4100-4gb-workstation-video-card,"AMD Radeon Pro WX 4100 4GB Workstation Video Card. Description: AMD Radeon Pro WX 4100 4GB Workstation Video Card - 4GB GDDR5 128 bit - Peak Engine Clock: 1201MHz, Typical Engine Clock: 1125MHz - 4x Mini DisplayPort 1.4 - PCIe 3.0 x8 - 1x 5K Monitor Support (single or dual cable) - DirectX 12 - 100-506008 - 3 Years Limited Warranty",Radeon Pro WX 4100,,GPU,,,,,,PCI Express x8,,,,,,,,,
products_4_5531813,Samsung,"Samsung EVO 860 4TB Serie SSD 2,5 SATA-600 7mm- MZ-76E4T0B","★★★★★ good prices, Fast delivery! If you order before 14.00 your goods will be sent the same everyday - Gulf Micro Systems Call us +971 4 3586629","2,569.0",AED,1057972,https://www.gulfmicro.ae/samsung-evo-860-4tb-serie-ssd-2-5-sata-600-7mm-mz-76e4t0b-mz-76e4t0b-eu,"Samsung EVO 860 4TB Serie SSD 2,5 SATA-600 7mm- MZ-76E4T0B. Description: ★★★★★ good prices, Fast delivery! If you order before 14.00 your goods will be sent the same everyday - Gulf Micro Systems Call us +971 4 3586629",EVO 860,,SSD,,,"4,000.0 GB",550.0 MB/s,520.0 MB/s,,,,,7.0,,"2,5",,,2.5inch
products_4_49228214,,Patriot Burst 240GB 2.5\\,"SSD disk interni, Patriot Burst 120GB","5,999.0",RSD,1068495,https://www.symbolin.com/kupi/ssd-2-5-sata3-6gb-s-240gb-patriot-burst-555mbs-500mbs-pbu240gs25ssdr-3599,"SSD 2.5 SATA3 6Gb/s 240GB Patriot Burst 555MBs/500MBs PBU240GS25SSDR. Description: SSD disk interni, Patriot Burst 120GB",,PBU240GS25SSDR,SSD,,,240.0 GB,,,SATA,SATA III,,,7.0,,,,,2.5-inch
products_4_21755591,Kingston,Kingston DataTraveler microDuo 128GB USB 3.0,Kingston DataTraveler microDuo 128GB USB 3.0,28.59,GBP,1085000,https://shop.bt.com/products/kingston-datatraveler-microduo-128gb-usb-3-0-dtduo3c-128gb-DQPR.html?AddToWishlist=1,Kingston DataTraveler microDuo 128GB USB 3.0. Description: Kingston DataTraveler microDuo 128GB USB 3.0,DataTraveler microDuo,,USB_STICK,,,128.0 GB,100.0 MB/s,15.0 MB/s,USB 3.0,USB Type-C,,,,,USB Type-C,,Silver,
products_4_30847749,Kingston,Kingston DataTraveler 100 256GB USB 3.0,Kingston DataTraveler 100 256GB USB 3.0,39.92,GBP,1090670,https://shop.bt.com/products/kingston-datatraveler-100-256gb-usb-3-0-dt100g3-256gb-DQPN.html?refs=50543-50113,Kingston DataTraveler 100 256GB USB 3.0. Description: Kingston DataTraveler 100 256GB USB 3.0,DataTraveler 100,DT100G3/256GB,USB_STICK,,,256.0 GB,,,USB 3.0,USB Type-A,,,,,USB Type-A,,Zwart,
