id,brand,title,description,price,priceCurrency,cluster_id,Link,title_description,model,model_number,product_type,chipset_name,vram_gb,storage_gb,read_speed_mb_s,write_speed_mb_s,bus_type,interface_type,width_mm,length_mm,height_mm,weight_g,storage_connection_type,memory_type,color,form_factor
products_3_46320085,Gigabyte,GIGABYTE GeForce RTX 3080 GAMING OC 10G GRAPHICS CARD (GV-N3080GAMING OC-10GD),To Avail the offer Click Here,"73,160.0",INR,1002037,https://www.pcstudio.in/product/gigabyte-geforce-rtx-3080-gaming-oc-10g-graphics-card,GIGABYTE GeForce RTX 3080 GAMING OC 10G GRAPHICS CARD (GV-N3080GAMING OC-10GD). Description: To Avail the offer Click Here,GeForce RTX 3080 GAMING OC 10G,GV-N3080GAMING OC-10GD,GPU,,,,,,,,,,,,,GDDR6X,,
products_3_86850217,Corsair,SSD 960GB Corsair Force MP510 NVMe,SSD 960GB Corsair Force MP510 NVMe,"2,316.0",SEK,1007272,https://www.nordwaystore.se/ssd-960gb-corsair-force-mp510-nvme,SSD 960GB Corsair Force MP510 NVMe. Description: SSD 960GB Corsair Force MP510 NVMe,Force MP510,CSSD-F960GBMP510,SSD,,,,3480.0 MB/s,3000.0 MB/s,PCI Express x4,NVMe,,,,,M.2,,,M.2 2280
products_3_69693971,MSI,MSI V375-040R grafikkort GeForce GTX 1660 Ti 6 GB GDDR6,"Grafikkort, NVIDIA GeForce GTX 1660 Ti Overclocked (Core clock 1500 MHz / Boost clock 1875 MHz), 1536 CUDA kerner, 6 GB GDDR6 (Memory clock 12 GHz) - 192-bit, PCI Express 3.0 x16, 1 x HDMI 2.0b / 3 x DisplayPort 1.4 tilslutninger, understøtter NVIDIA G-Sync, 1 x 8-pins strømstik, kortlængde: 247mm - MSI Twin Frozr low noise cooler - GTX 1660 Ti GAMING X 6G","2,599.0",DKK,1029916,https://extremegaming.dk/vare/msi-v375-040r-grafikkort-geforce-gtx-1660-ti-6-gb-gddr6,"MSI V375-040R grafikkort GeForce GTX 1660 Ti 6 GB GDDR6. Description: Grafikkort, NVIDIA GeForce GTX 1660 Ti Overclocked (Core clock 1500 MHz / Boost clock 1875 MHz), 1536 CUDA kerner, 6 GB GDDR6 (Memory clock 12 GHz) - 192-bit, PCI Express 3.0 x16, 1 x HDMI 2.0b / 3 x DisplayPort 1.4 tilslutninger, understøtter NVIDIA G-Sync, 1 x 8-pins strømstik, kortlængde: 247mm - MSI Twin Frozr low noise cooler - GTX 1660 Ti GAMING X 6G",GTX 1660 Ti GAMING X 6G,V375-040R,GPU,GeForce GTX 1660 Ti,6.0 GB,,,,PCI Express x16,,46.0,,127.0,869.0,,,,
products_3_89923273,Asus,ASUS 90YV0DQ0-M0NA00 scheda video GeForce RTX 2060 SUPER 8 GB GDDR6,"ASUS 90YV0DQ0-M0NA00, GeForce RTX 2060 SUPER, 8 GB, GDDR6, 256 bit, 7680 x 4320 Pixel, PCI Express 4.0",644.15,EUR,1038355,https://www.computerunion.it/geforce/43664-asus-90yv0dq0-m0na00-scheda-video-geforce-rtx-2060-super-8-gb-gddr6-4718017494908.html,"ASUS 90YV0DQ0-M0NA00 scheda video GeForce RTX 2060 SUPER 8 GB GDDR6. Description: ASUS 90YV0DQ0-M0NA00, GeForce RTX 2060 SUPER, 8 GB, GDDR6, 256 bit, 7680 x 4320 Pixel, PCI Express 4.0",Strix Rtx 2060S Oc Evo,90YV0DQ0-M0NA00,GPU,,,,,,PCIe 4.0,,,,,,,,,
products_3_65648969,ADATA,XPG GAMMIX Gaming SSD S11 Pro Series: 1TB Internal PCIe Gen3x4 M.2 2280 (NVMe),XPG GAMMIX Gaming SSD S11 Pro Series: 1TB Internal PCIe Gen3x4 M.2 2280 (NVMe),119.99,USD,1045382,https://www.newegg.com/xpg-1tb-gammix-s11-pro/p/0D9-00DF-00009?Item=9SIAJNUA6V6278&buyingoptions=New,XPG GAMMIX Gaming SSD S11 Pro Series: 1TB Internal PCIe Gen3x4 M.2 2280 (NVMe). Description: XPG GAMMIX Gaming SSD S11 Pro Series: 1TB Internal PCIe Gen3x4 M.2 2280 (NVMe),GAMMIX Gaming SSD S11 Pro Series,AGAMMIXS11P-1TT-C,SSD,,,,3500.0 MB/s,3000.0 MB/s,PCI Express x4,NVMe,22.0,80.0,6.1,11.0,,,,
products_3_55876174,AMD,AMD - RADEON PRO WX 4100 4GB PCIE 3.0 16X 4X M-DP LP RETAILIN CTLR,AMD RADEON PRO WX 4100 4GB PCIE 3.0 16X 4X M-DP LP RETAILIN CTLR (100-506008) - GPU-familie: AMD - GPU: Radeon Pro WX4100 - Grensesnitt: PCI Express x16 3.0 - Videominne: 4GB - Videominnetype: GDDR5 - Minnebussbredde: 128 bit - DVI: 0 - VGA: 0 - HDMI: 0 - Displayport: 4 - USB-C: 0 - Profile: Lav - Kjøletype: Aktiv,"2,990.0",NOK,1050421,https://deal.no/amd-radeon-pro-wx-4100/cat-p/c0/p9171843,AMD - RADEON PRO WX 4100 4GB PCIE 3.0 16X 4X M-DP LP RETAILIN CTLR. Description: AMD RADEON PRO WX 4100 4GB PCIE 3.0 16X 4X M-DP LP RETAILIN CTLR (100-506008) - GPU-familie: AMD - GPU: Radeon Pro WX4100 - Grensesnitt: PCI Express x16 3.0 - Videominne: 4GB - Videominnetype: GDDR5 - Minnebussbredde: 128 bit - DVI: 0 - VGA: 0 - HDMI: 0 - Displayport: 4 - USB-C: 0 - Profile: Lav - Kjøletype: Aktiv,,,GPU,,,,,,PCI Express x16,,,,,,,,,
products_3_57965652,Palit,PALIT NE6166SS18J9-161F PALIT GeForce GT,PALIT NE6166SS18J9-161F PALIT GeForce GT,246.21,EUR,1051451,https://shop.selenal.lv/107117/palit-ne6166ss18j9-161f-palit-geforce-gt,"Palit GeForce GTX 1660 SUPER 6GB StormX Boost Graphics Card. Description: Available @ CCL, this Palit GeForce GTX 1660 SUPER StormX 6GB Overclocked Graphics Card is VR Ready and has HDMI, DVI and DisplayPort outputs",GeForce GT,NE6166SS18J9-161F,GPU,GeForce GTX 1660 Super,6.0 GB,,,,,,,,,,,GDDR6,,
products_3_53085468,Samsung,Samsung 860 Evo 4TB Solid State Drive/SSD,Samsung 860 EVO MZ-76E4T0B - Solid state drive - gecodeerd - 4 TB - intern - 2.5'' - SATA 6Gb/s -buffer: 4 GB - 256-bits AES - TCG Opal Encryption 2.0,539.99,GBP,1057972,https://www.novatech.co.uk/products/samsung-860-evo-4tb-solid-state-drivessd/mz-76e4t0beu.html,"Samsung 860 Evo 4TB Solid State Drive/SSD. Description: MZ-76E4T0B/EU, Samsung 860 Evo 4TB SSD, Read Speed: 550MB/Sec, Write Speed: 520MB/Sec, Flash: Samsung V-NAND 3bit MLC",860 Evo,MZ-76E4T0B,SSD,,,,550.0 MB/s,520.0 MB/s,SATA,SATA III,,,7.0,,2.5-inch SATA,,,2.5inch
products_3_86084034,Transcend,"Transcend SSD220 2.5\"" 120GB SATA III Solid State Drive",With Super Fluid performance due to it's SATA III interface and super Smooth 550Mbps read speed .,21.44,GBP,1066948,https://www.cclonline.com/product/211591/TS120GSSD220S/Solid-State-Drives-SSDs-/Transcend-SSD220-120GB-2-5-SATA-III-Solid-State-Drive/SSD0494,"Transcend SSD220 2.5\"" 120GB SATA III Solid State Drive. Description: With Super Fluid performance due to it's SATA III interface and super Smooth 550Mbps read speed .",SSD220,,SSD,,,120.0 GB,,,,SATA III,,,,,2.5-inch SATA,,,2.5-inch
products_3_43317133,Patriot,"Patriot SSD 240GB 2.5\"" SATA3","Patriot SSD 240GB 2.5\"" SATA3 SSD",109.2,BAM,1068495,https://www.slot.ba/proizvod/patriot-ssd-240gb-2-5-sata3,"Patriot SSD 240GB 2.5\"" SATA3. Description: Patriot SSD 240GB 2.5\"" SATA3 SSD",SSD,PBU240GS25SSDR,SSD,,,,555.0 MB/s,500.0 MB/s,,SATA III,,,7.0,,,,,2.5-inch
