source,attribute,baseline_alignment_rate,n_cells,n_aligned
products_1,bus_type,0.577982,109,63
products_1,storage_gb,0.333333,108,36
products_1,product_type,0.94,150,141
products_1,color,0.0,0,0
products_1,storage_connection_type,0.652174,69,45
products_1,priceCurrency,0.893617,141,126
products_1,form_factor,0.859375,64,55
products_1,chipset_name,0.282051,39,11
products_1,height_mm,0.0,0,0
products_1,interface_type,0.309859,71,22
products_1,length_mm,0.0,0,0
products_1,price,0.323944,142,46
products_1,brand,0.858156,141,121
products_1,model_number,0.77027,74,57
products_1,memory_type,0.833333,30,25
products_1,model,0.338129,139,47
products_1,title_description,0.241611,149,36
products_1,description,0.206667,150,31
products_1,title,0.233333,150,35
products_1,read_speed_mb_s,0.176471,34,6
products_1,write_speed_mb_s,0.413793,29,12
products_1,vram_gb,0.473684,38,18
products_1,weight_g,0.0,0,0
products_1,width_mm,0.0,0,0
products_2,brand,0.872,125,109
products_2,bus_type,0.55814,86,48
products_2,storage_gb,0.404762,84,34
products_2,chipset_name,0.235294,17,4
products_2,color,0.0,0,0
products_2,storage_connection_type,0.596154,52,31
products_2,priceCurrency,0.24,125,30
products_2,length_mm,0.0,0,0
products_2,description,0.114865,148,17
products_2,form_factor,0.833333,48,40
products_2,height_mm,0.0,0,0
products_2,interface_type,0.3,60,18
products_2,memory_type,0.8,20,16
products_2,model,0.286822,129,37
products_2,model_number,0.779661,59,46
products_2,title,0.283784,148,42
products_2,price,0.183206,131,24
products_2,product_type,0.962963,135,130
products_2,read_speed_mb_s,0.333333,36,12
products_2,title_description,0.128378,148,19
products_2,vram_gb,0.444444,18,8
products_2,weight_g,0.0,0,0
products_2,width_mm,0.0,0,0
products_2,write_speed_mb_s,0.25,28,7
products_3,brand,0.808,125,101
products_3,bus_type,0.634409,93,59
products_3,storage_gb,0.407895,76,31
products_3,chipset_name,0.35,20,7
products_3,color,0.0,0,0
products_3,storage_connection_type,0.702128,47,33
products_3,priceCurrency,0.229167,144,33
products_3,description,0.109677,155,17
products_3,form_factor,0.921053,38,35
products_3,height_mm,0.0,0,0
products_3,interface_type,0.217391,46,10
products_3,length_mm,0.0,0,0
products_3,vram_gb,0.428571,14,6
products_3,memory_type,0.789474,19,15
products_3,model,0.195312,128,25
products_3,model_number,0.672727,55,37
products_3,price,0.116438,146,17
products_3,title,0.16129,155,25
products_3,read_speed_mb_s,0.35,20,7
products_3,title_description,0.103896,154,16
products_3,product_type,0.913043,138,126
products_3,weight_g,0.0,0,0
products_3,width_mm,0.0,0,0
products_3,write_speed_mb_s,0.352941,17,6
products_4,price,0.056075,107,6
products_4,bus_type,0.612903,62,38
products_4,storage_gb,0.428571,56,24
products_4,product_type,0.952381,105,100
products_4,chipset_name,0.307692,13,4
products_4,color,0.0,0,0
products_4,storage_connection_type,0.885714,35,31
products_4,priceCurrency,0.131313,99,13
products_4,description,0.094828,116,11
products_4,form_factor,0.72973,37,27
products_4,height_mm,0.0,0,0
products_4,interface_type,0.432432,37,16
products_4,length_mm,0.0,0,0
products_4,model,0.171717,99,17
products_4,memory_type,0.75,12,9
products_4,brand,0.7875,80,63
products_4,title,0.189655,116,22
products_4,title_description,0.086957,115,10
products_4,model_number,0.75,40,30
products_4,read_speed_mb_s,0.3125,16,5
products_4,vram_gb,0.4,10,4
products_4,width_mm,0.0,0,0
products_4,write_speed_mb_s,0.333333,15,5
products_4,weight_g,0.0,0,0
