source_dataset,source_column,target_dataset,target_column,score
dbpedia,id,companies,id,1.0
dbpedia,name,companies,name,1.0
dbpedia,founded,companies,founded,1.0
dbpedia,country,companies,country,1.0
dbpedia,city,companies,city,1.0
dbpedia,industry,companies,industry,1.0
dbpedia,keypeople,companies,keypeople,1.0
dbpedia,assets,companies,assets,1.0
dbpedia,revenue,companies,revenue,1.0
forbes,id,companies,id,1.0
forbes,name,companies,name,1.0
forbes,country,companies,country,1.0
forbes,industry,companies,industry,1.0
forbes,assets,companies,assets,1.0
forbes,revenue,companies,revenue,1.0
fullcontact,id,companies,id,1.0
fullcontact,name,companies,name,1.0
fullcontact,country,companies,country,1.0
fullcontact,city,companies,city,1.0
fullcontact,keypeople,companies,keypeople,1.0
fullcontact,founded,companies,founded,1.0
