source,entity_id,compromised,knob,level
dbpedia,metacritic_10085,True,10,hard
dbpedia,metacritic_12329,True,10,hard
dbpedia,metacritic_12545,True,10,hard
dbpedia,metacritic_13257,True,10,hard
dbpedia,metacritic_13721,True,10,hard
dbpedia,metacritic_14509,True,10,hard
dbpedia,metacritic_1478,True,10,hard
dbpedia,metacritic_16223,True,10,hard
dbpedia,metacritic_1695,True,10,hard
dbpedia,metacritic_17606,True,10,hard
dbpedia,metacritic_17987,True,10,hard
dbpedia,metacritic_18458,True,10,hard
dbpedia,metacritic_19481,True,10,hard
dbpedia,metacritic_20463,True,10,hard
dbpedia,metacritic_2752,True,10,hard
dbpedia,metacritic_2790,True,10,hard
dbpedia,metacritic_3279,True,10,hard
dbpedia,metacritic_3893,True,10,hard
dbpedia,metacritic_447,True,10,hard
dbpedia,metacritic_4551,True,10,hard
dbpedia,metacritic_474,True,10,hard
dbpedia,metacritic_5275,True,10,hard
dbpedia,metacritic_6785,True,10,hard
dbpedia,metacritic_696,True,10,hard
dbpedia,metacritic_703,True,10,hard
dbpedia,metacritic_7259,True,10,hard
dbpedia,metacritic_8409,True,10,hard
dbpedia,metacritic_8567,True,10,hard
dbpedia,metacritic_8878,True,10,hard
dbpedia,metacritic_9873,True,10,hard
metacritic,metacritic_10433,True,10,hard
metacritic,metacritic_12057,True,10,hard
metacritic,metacritic_12133,True,10,hard
metacritic,metacritic_1268,True,10,hard
metacritic,metacritic_13588,True,10,hard
metacritic,metacritic_14712,True,10,hard
metacritic,metacritic_1478,True,10,hard
metacritic,metacritic_15253,True,10,hard
metacritic,metacritic_15443,True,10,hard
metacritic,metacritic_15553,True,10,hard
metacritic,metacritic_16460,True,10,hard
metacritic,metacritic_17460,True,10,hard
metacritic,metacritic_17758,True,10,hard
metacritic,metacritic_18194,True,10,hard
metacritic,metacritic_19312,True,10,hard
metacritic,metacritic_20267,True,10,hard
metacritic,metacritic_20427,True,10,hard
metacritic,metacritic_2081,True,10,hard
metacritic,metacritic_4515,True,10,hard
metacritic,metacritic_4639,True,10,hard
metacritic,metacritic_474,True,10,hard
metacritic,metacritic_592,True,10,hard
metacritic,metacritic_6454,True,10,hard
metacritic,metacritic_6562,True,10,hard
metacritic,metacritic_658,True,10,hard
metacritic,metacritic_6785,True,10,hard
metacritic,metacritic_6862,True,10,hard
metacritic,metacritic_703,True,10,hard
metacritic,metacritic_9080,True,10,hard
metacritic,metacritic_9865,True,10,hard
sales,metacritic_12057,True,10,hard
sales,metacritic_12629,True,10,hard
sales,metacritic_1307,True,10,hard
sales,metacritic_13124,True,10,hard
sales,metacritic_14340,True,10,hard
sales,metacritic_14495,True,10,hard
sales,metacritic_14509,True,10,hard
sales,metacritic_14580,True,10,hard
sales,metacritic_14606,True,10,hard
sales,metacritic_14712,True,10,hard
sales,metacritic_16614,True,10,hard
sales,metacritic_17606,True,10,hard
sales,metacritic_17758,True,10,hard
sales,metacritic_19312,True,10,hard
sales,metacritic_2510,True,10,hard
sales,metacritic_2669,True,10,hard
sales,metacritic_3124,True,10,hard
sales,metacritic_470,True,10,hard
sales,metacritic_5860,True,10,hard
sales,metacritic_5949,True,10,hard
sales,metacritic_6542,True,10,hard
sales,metacritic_6562,True,10,hard
sales,metacritic_703,True,10,hard
sales,metacritic_7259,True,10,hard
sales,metacritic_832,True,10,hard
sales,metacritic_8567,True,10,hard
sales,metacritic_8739,True,10,hard
sales,metacritic_9351,True,10,hard
sales,metacritic_9859,True,10,hard
sales,metacritic_9865,True,10,hard
