entity_id,source,attribute,original_value,reason,knob,level
dbpedia_197,dbpedia,franchise,Quest Police,cell_collision_with_prior_knob,6,hard
dbpedia_222,dbpedia,franchise,Monster,cell_collision_with_prior_knob,6,hard
dbpedia_223,dbpedia,franchise,One (video game series),cell_collision_with_prior_knob,6,hard
dbpedia_271,dbpedia,franchise,The Total War video game series,cell_collision_with_prior_knob,6,hard
dbpedia_430,dbpedia,franchise,The Just Dance video game franchise,cell_collision_with_prior_knob,6,hard
dbpedia_438,dbpedia,franchise,Monster,cell_collision_with_prior_knob,6,hard
dbpedia_462,dbpedia,franchise,Tom Clancy’s Rainbow Six franchise,cell_collision_with_prior_knob,6,hard
dbpedia_787,dbpedia,franchise,Kombat Mortal,cell_collision_with_prior_knob,6,hard
dbpedia_844,dbpedia,franchise,Battlefield video game franchise,cell_collision_with_prior_knob,6,hard
dbpedia_872,dbpedia,franchise,EA Sports NASCAR franchise,cell_collision_with_prior_knob,6,hard
dbpedia_925,dbpedia,franchise,Monster Jam Event,cell_collision_with_prior_knob,6,hard
dbpedia_995,dbpedia,franchise,Jam,cell_collision_with_prior_knob,6,hard
dbpedia_1242,dbpedia,franchise,Worms franchise,cell_collision_with_prior_knob,6,hard
dbpedia_1287,dbpedia,franchise,Bejeweled game series,cell_collision_with_prior_knob,6,hard
dbpedia_1305,dbpedia,franchise,"40,000",cell_collision_with_prior_knob,6,hard
dbpedia_1401,dbpedia,franchise,Dream Chronicles series,cell_collision_with_prior_knob,6,hard
dbpedia_1498,dbpedia,franchise,Quake franchise,cell_collision_with_prior_knob,6,hard
dbpedia_1510,dbpedia,franchise,Micro (video game series),cell_collision_with_prior_knob,6,hard
dbpedia_1866,dbpedia,franchise,"40,000 Warhammer",cell_collision_with_prior_knob,6,hard
dbpedia_1868,dbpedia,franchise,NBA Jam franchise,cell_collision_with_prior_knob,6,hard
dbpedia_2044,dbpedia,franchise,Pokémon series) game (video,cell_collision_with_prior_knob,6,hard
dbpedia_2084,dbpedia,franchise,Quarterback NFL Club,cell_collision_with_prior_knob,6,hard
dbpedia_2210,dbpedia,franchise,Monster Jam Event,cell_collision_with_prior_knob,6,hard
dbpedia_2254,dbpedia,franchise,Fury,cell_collision_with_prior_knob,6,hard
dbpedia_2312,dbpedia,franchise,Mario media franchise,cell_collision_with_prior_knob,6,hard
dbpedia_2315,dbpedia,franchise,Oddworld series,cell_collision_with_prior_knob,6,hard
dbpedia_2334,dbpedia,franchise,Carmen Sandiego game (video series),cell_collision_with_prior_knob,6,hard
dbpedia_2383,dbpedia,franchise,Dance Revolution Dance,cell_collision_with_prior_knob,6,hard
dbpedia_2602,dbpedia,franchise,Trials television series,cell_collision_with_prior_knob,6,hard
dbpedia_2612,dbpedia,franchise,Metal,cell_collision_with_prior_knob,6,hard
dbpedia_2829,dbpedia,franchise,Oddworld series,cell_collision_with_prior_knob,6,hard
dbpedia_2921,dbpedia,franchise,Just (video game series),cell_collision_with_prior_knob,6,hard
dbpedia_3048,dbpedia,franchise,NASCAR video game list,cell_collision_with_prior_knob,6,hard
dbpedia_3056,dbpedia,franchise,Like a Dragon franchise,cell_collision_with_prior_knob,6,hard
dbpedia_3111,dbpedia,franchise,Monster Jam Event,cell_collision_with_prior_knob,6,hard
dbpedia_3153,dbpedia,franchise,Video games based on Harry Potter,cell_collision_with_prior_knob,6,hard
dbpedia_3363,dbpedia,franchise,Effect Mass,cell_collision_with_prior_knob,6,hard
dbpedia_3431,dbpedia,franchise,Valkyria,cell_collision_with_prior_knob,6,hard
dbpedia_3546,dbpedia,franchise,Jam Monster,cell_collision_with_prior_knob,6,hard
dbpedia_3550,dbpedia,franchise,(series) Wasteland,cell_collision_with_prior_knob,6,hard
dbpedia_3734,dbpedia,franchise,Laboratory Dexter's,cell_collision_with_prior_knob,6,hard
dbpedia_3857,dbpedia,franchise,FIFA game series),cell_collision_with_prior_knob,6,hard
dbpedia_4073,dbpedia,franchise,Compilation of RoboCop video games,cell_collision_with_prior_knob,6,hard
dbpedia_4461,dbpedia,franchise,Oddworld series,cell_collision_with_prior_knob,6,hard
dbpedia_4744,dbpedia,franchise,Monster Jam Event,cell_collision_with_prior_knob,6,hard
dbpedia_4911,dbpedia,franchise,Mario media franchise,cell_collision_with_prior_knob,6,hard
dbpedia_5078,dbpedia,franchise,Final,cell_collision_with_prior_knob,6,hard
dbpedia_5352,dbpedia,franchise,National Football League Quarterback Club,cell_collision_with_prior_knob,6,hard
dbpedia_5377,dbpedia,franchise,List of The products of Catan Settlers,cell_collision_with_prior_knob,6,hard
dbpedia_5391,dbpedia,franchise,James Bond in videogames,cell_collision_with_prior_knob,6,hard
dbpedia_5465,dbpedia,franchise,Test Drive franchise,cell_collision_with_prior_knob,6,hard
dbpedia_5545,dbpedia,franchise,"List of Predator, Alien, and Alien vs. Predator games",cell_collision_with_prior_knob,6,hard
dbpedia_6003,dbpedia,franchise,Penumbra video game franchise,cell_collision_with_prior_knob,6,hard
dbpedia_6227,dbpedia,franchise,Jam,cell_collision_with_prior_knob,6,hard
dbpedia_6240,dbpedia,franchise,Monster Jam Event,cell_collision_with_prior_knob,6,hard
dbpedia_6469,dbpedia,franchise,Monster Jam Event,cell_collision_with_prior_knob,6,hard
dbpedia_7121,dbpedia,franchise,Kong Donkey,cell_collision_with_prior_knob,6,hard
dbpedia_7160,dbpedia,franchise,Dune,cell_collision_with_prior_knob,6,hard
dbpedia_7190,dbpedia,franchise,Infinity,cell_collision_with_prior_knob,6,hard
dbpedia_7294,dbpedia,franchise,Compilation of Scott Adams adventure video games,cell_collision_with_prior_knob,6,hard
dbpedia_7356,dbpedia,franchise,Burnout video game series,cell_collision_with_prior_knob,6,hard
dbpedia_7387,dbpedia,franchise,Ultima franchise,cell_collision_with_prior_knob,6,hard
dbpedia_7560,dbpedia,franchise,Umineko They When Cry,cell_collision_with_prior_knob,6,hard
dbpedia_7641,dbpedia,franchise,(comics),cell_collision_with_prior_knob,6,hard
dbpedia_7716,dbpedia,franchise,(video FIFA game series),cell_collision_with_prior_knob,6,hard
dbpedia_7885,dbpedia,franchise,The Civilization series,cell_collision_with_prior_knob,6,hard
dbpedia_7894,dbpedia,franchise,Fighter Street,cell_collision_with_prior_knob,6,hard
dbpedia_8176,dbpedia,franchise,Dynasty,cell_collision_with_prior_knob,6,hard
dbpedia_8253,dbpedia,franchise,Monster,cell_collision_with_prior_knob,6,hard
dbpedia_8505,dbpedia,franchise,List of Tage Mutant Ninja Turtles video games,cell_collision_with_prior_knob,6,hard
dbpedia_8530,dbpedia,franchise,Jam,cell_collision_with_prior_knob,6,hard
dbpedia_8558,dbpedia,franchise,Hearts Kingdom,cell_collision_with_prior_knob,6,hard
dbpedia_8719,dbpedia,franchise,Monster,cell_collision_with_prior_knob,6,hard
dbpedia_9020,dbpedia,franchise,Oddworld series,cell_collision_with_prior_knob,6,hard
dbpedia_9156,dbpedia,franchise,Birds,cell_collision_with_prior_knob,6,hard
