Attribute,Dataset_1,Dataset_2,Dataset_3,Dataset_4
L1_cache,0/812 0.0% coverage,0/812 0.0% coverage,0/762 0.0% coverage,0/626 0.0% coverage
L2_cache,0/812 0.0% coverage,0/812 0.0% coverage,0/762 0.0% coverage,0/626 0.0% coverage
L3_cache,0/812 0.0% coverage,0/812 0.0% coverage,0/762 0.0% coverage,0/626 0.0% coverage
MTBF_hours,37/812 4.6% coverage,28/812 3.4% coverage,28/762 3.7% coverage,22/626 3.5% coverage
TBW_rating,15/812 1.8% coverage,14/812 1.7% coverage,16/762 2.1% coverage,21/626 3.4% coverage
adaptive_sync,13/812 1.6% coverage,2/812 0.2% coverage,7/762 0.9% coverage,6/626 1.0% coverage
ai_cores,1/812 0.1% coverage,1/812 0.1% coverage,1/762 0.1% coverage,1/626 0.2% coverage
base_core_clock,79/812 9.7% coverage,50/812 6.2% coverage,31/762 4.1% coverage,29/626 4.6% coverage
blocked_slots,11/812 1.4% coverage,8/812 1.0% coverage,9/762 1.2% coverage,7/626 1.1% coverage
boost_core_clock,117/812 14.4% coverage,96/812 11.8% coverage,62/762 8.1% coverage,50/626 8.0% coverage
brand,785/812 96.7% coverage,771/812 95.0% coverage,721/762 94.6% coverage,592/626 94.6% coverage
bus_type,628/812 77.3% coverage,598/812 73.6% coverage,573/762 75.2% coverage,487/626 77.8% coverage
case_material,28/812 3.4% coverage,24/812 3.0% coverage,19/762 2.5% coverage,14/626 2.2% coverage
chipset_name,231/812 28.4% coverage,231/812 28.4% coverage,220/762 28.9% coverage,183/626 29.2% coverage
chipset_series,112/812 13.8% coverage,70/812 8.6% coverage,57/762 7.5% coverage,48/626 7.7% coverage
cluster_id,812/812 100.0% coverage,812/812 100.0% coverage,762/762 100.0% coverage,626/626 100.0% coverage
color,120/812 14.8% coverage,112/812 13.8% coverage,81/762 10.6% coverage,52/626 8.3% coverage
controller,27/812 3.3% coverage,32/812 3.9% coverage,20/762 2.6% coverage,11/626 1.8% coverage
cooling_type,50/812 6.2% coverage,41/812 5.0% coverage,28/762 3.7% coverage,21/626 3.4% coverage
core_shader_count,99/812 12.2% coverage,65/812 8.0% coverage,44/762 5.8% coverage,25/626 4.0% coverage
delivery_scope,85/812 10.5% coverage,58/812 7.1% coverage,41/762 5.4% coverage,45/626 7.2% coverage
description,812/812 100.0% coverage,812/812 100.0% coverage,762/762 100.0% coverage,626/626 100.0% coverage
directx_version,29/812 3.6% coverage,22/812 2.7% coverage,23/762 3.0% coverage,15/626 2.4% coverage
dual_bios,2/812 0.2% coverage,0/812 0.0% coverage,0/762 0.0% coverage,0/626 0.0% coverage
encryption_type,49/812 6.0% coverage,44/812 5.4% coverage,27/762 3.5% coverage,11/626 1.8% coverage
fan_count,51/812 6.3% coverage,40/812 4.9% coverage,23/762 3.0% coverage,17/626 2.7% coverage
form_factor,417/812 51.4% coverage,410/812 50.5% coverage,374/762 49.1% coverage,326/626 52.1% coverage
graphics_interface_speed,8/812 1.0% coverage,9/812 1.1% coverage,9/762 1.2% coverage,11/626 1.8% coverage
height,52/812 6.4% coverage,52/812 6.4% coverage,41/762 5.4% coverage,38/626 6.1% coverage
id,812/812 100.0% coverage,812/812 100.0% coverage,762/762 100.0% coverage,626/626 100.0% coverage
interface_type,436/812 53.7% coverage,424/812 52.2% coverage,381/762 50.0% coverage,333/626 53.2% coverage
length,47/812 5.8% coverage,44/812 5.4% coverage,30/762 3.9% coverage,25/626 4.0% coverage
manufacturing_process,26/812 3.2% coverage,17/812 2.1% coverage,7/762 0.9% coverage,4/626 0.6% coverage
max_monitor_support,20/812 2.5% coverage,11/812 1.4% coverage,16/762 2.1% coverage,10/626 1.6% coverage
max_resolution,31/812 3.8% coverage,38/812 4.7% coverage,46/762 6.0% coverage,40/626 6.4% coverage
memory_clock,46/812 5.7% coverage,52/812 6.4% coverage,47/762 6.2% coverage,36/626 5.8% coverage
memory_interface_width,85/812 10.5% coverage,99/812 12.2% coverage,93/762 12.2% coverage,71/626 11.3% coverage
memory_type,210/812 25.9% coverage,204/812 25.1% coverage,198/762 26.0% coverage,162/626 25.9% coverage
model,748/812 92.1% coverage,742/812 91.4% coverage,689/762 90.4% coverage,577/626 92.2% coverage
model_number,334/812 41.1% coverage,330/812 40.6% coverage,297/762 39.0% coverage,250/626 39.9% coverage
opengl_version,18/812 2.2% coverage,9/812 1.1% coverage,19/762 2.5% coverage,8/626 1.3% coverage
operating_temperature,27/812 3.3% coverage,11/812 1.4% coverage,18/762 2.4% coverage,6/626 1.0% coverage
overclocked,56/812 6.9% coverage,51/812 6.3% coverage,64/762 8.4% coverage,57/626 9.1% coverage
power_adapter,13/812 1.6% coverage,11/812 1.4% coverage,20/762 2.6% coverage,9/626 1.4% coverage
power_draw_w,19/812 2.3% coverage,15/812 1.8% coverage,19/762 2.5% coverage,11/626 1.8% coverage
price,776/812 95.6% coverage,764/812 94.1% coverage,732/762 96.1% coverage,592/626 94.6% coverage
priceCurrency,769/812 94.7% coverage,754/812 92.9% coverage,717/762 94.1% coverage,582/626 93.0% coverage
product_type,812/812 100.0% coverage,812/812 100.0% coverage,760/762 99.7% coverage,625/626 99.8% coverage
protocol,97/812 11.9% coverage,89/812 11.0% coverage,77/762 10.1% coverage,61/626 9.7% coverage
random_4k_read_iops,63/812 7.8% coverage,57/812 7.0% coverage,42/762 5.5% coverage,27/626 4.3% coverage
random_4k_write_iops,64/812 7.9% coverage,58/812 7.1% coverage,42/762 5.5% coverage,27/626 4.3% coverage
ray_tracing_units,0/812 0.0% coverage,0/812 0.0% coverage,0/762 0.0% coverage,1/626 0.2% coverage
read_speed,151/812 18.6% coverage,155/812 19.1% coverage,127/762 16.7% coverage,106/626 16.9% coverage
shader_model_version,1/812 0.1% coverage,0/812 0.0% coverage,0/762 0.0% coverage,1/626 0.2% coverage
storage_connection_type,413/812 50.9% coverage,405/812 49.9% coverage,363/762 47.6% coverage,320/626 51.1% coverage
storage_size,571/812 70.3% coverage,568/812 70.0% coverage,531/762 69.7% coverage,430/626 68.7% coverage
storage_technology,126/812 15.5% coverage,131/812 16.1% coverage,96/762 12.6% coverage,82/626 13.1% coverage
title,812/812 100.0% coverage,812/812 100.0% coverage,762/762 100.0% coverage,626/626 100.0% coverage
title_description,812/812 100.0% coverage,812/812 100.0% coverage,762/762 100.0% coverage,626/626 100.0% coverage
upscaling_technology,2/812 0.2% coverage,1/812 0.1% coverage,0/762 0.0% coverage,0/626 0.0% coverage
url,812/812 100.0% coverage,812/812 100.0% coverage,762/762 100.0% coverage,626/626 100.0% coverage
video_out_interface,84/812 10.3% coverage,107/812 13.2% coverage,89/762 11.7% coverage,75/626 12.0% coverage
vram,229/812 28.2% coverage,226/812 27.8% coverage,217/762 28.5% coverage,177/626 28.3% coverage
weight,26/812 3.2% coverage,27/812 3.3% coverage,24/762 3.1% coverage,21/626 3.4% coverage
width,45/812 5.5% coverage,42/812 5.2% coverage,32/762 4.2% coverage,27/626 4.3% coverage
write_speed,122/812 15.0% coverage,128/812 15.8% coverage,98/762 12.9% coverage,88/626 14.1% coverage
