column,consistency_score,n_evaluated,n_consistent,n_inconsistent,excluded_from_dataset_score,failure_counts,diagnostics,skipped,skip_reason
id,,0,0,0,True,{},{},True,identifier_column
brand,1.0,1342,1342,0,False,{},{},False,
title,1.0,1479,1479,0,False,{},{},False,
description,1.0,1479,1479,0,False,{},{},False,
price,0.9704016913319239,1419,1377,42,False,"{""type"": 42}",{},False,
priceCurrency,0.9709013484740951,1409,1368,41,False,"{""currency_code"": 30, ""pattern"": 26}",{},False,
url,0.7377049180327869,1098,810,288,False,"{""pattern"": 288}",{},False,
title_description,1.0,1479,1479,0,False,{},{},False,
model,1.0,1340,1340,0,False,{},{},False,
model_number,0.9975062344139651,802,800,2,False,"{""pattern"": 2}",{},False,
product_type,0.7189728958630528,1402,1008,394,False,"{""enum"": 394}",{},False,
chipset_name,0.3544018058690745,443,157,286,False,"{""field_applicability"": 286}",{},False,
vram_gb,0.8652482269503546,141,122,19,False,"{""field_applicability"": 11, ""type"": 9}",{},False,
storage_gb,0.40998487140695916,661,271,390,False,"{""field_applicability"": 58, ""minimum"": 3, ""type"": 339}",{},False,
read_speed_mb_s,0.5,112,56,56,False,"{""field_applicability"": 3, ""type"": 55}",{},False,
write_speed_mb_s,0.8617886178861789,123,106,17,False,"{""field_applicability"": 3, ""type"": 15}",{},False,
bus_type,1.0,783,783,0,False,{},"{""open_taxonomy"": {""exhaustive"": false, ""expected_family_match_rate"": 0.9808429118773946, ""membership_enforced"": false, ""n_expected_family_matches"": 768, ""n_outside_expected_families"": 15, ""n_values_checked"": 783}}",False,
interface_type,1.0,442,442,0,False,{},"{""open_taxonomy"": {""exhaustive"": false, ""expected_family_match_rate"": 0.9276018099547512, ""membership_enforced"": false, ""n_expected_family_matches"": 410, ""n_outside_expected_families"": 32, ""n_values_checked"": 442}}",False,
width_mm,1.0,42,42,0,False,{},{},False,
length_mm,0.975,40,39,1,False,"{""type"": 1}",{},False,
height_mm,1.0,47,47,0,False,{},{},False,
weight_g,1.0,32,32,0,False,{},{},False,
storage_connection_type,0.9723502304147466,434,422,12,False,"{""field_applicability"": 12}",{},False,
memory_type,0.9726027397260274,146,142,4,False,"{""field_applicability"": 4}","{""open_taxonomy"": {""exhaustive"": false, ""expected_family_match_rate"": 0.9863013698630136, ""membership_enforced"": false, ""n_expected_family_matches"": 144, ""n_outside_expected_families"": 2, ""n_values_checked"": 146}}",False,
color,1.0,134,134,0,False,{},{},False,
form_factor,1.0,397,397,0,False,{},"{""open_taxonomy"": {""exhaustive"": false, ""expected_family_match_rate"": 0.9672544080604534, ""membership_enforced"": false, ""n_expected_family_matches"": 384, ""n_outside_expected_families"": 13, ""n_values_checked"": 397}}",False,
