Target Column,Prod1,Prod2,Prod3,Prod4
id,id,id,id,id
brand,manufacturer,brandName,Brand,mfr
title,product_name,name,ProductTitle,name
description,product_description,descriptionText,Details,desc
price,list_price,priceAmount,Price,amt
priceCurrency,currency_code,currency,Currency,cur
url,product_url,productUrl,Link,link
title_description,name_and_description,titleAndDescription,TitleDetails,name_desc
model,model_name,modelName,Model,mdl
model_number,manufacturer_part_number,mpn,PartNo,pn
product_type,category,productCategory,Type,cat
chipset_name,gpu_chipset,chipset,Chipset,chip
vram_gb,video_memory_gb,vramGb,MemorySizeGB,vram
storage_gb,capacity_gb,capacityGb,CapacityGB,cap_gb
read_speed_mb_s,sequential_read_mb_s,readSpeedMbps,ReadMBs,rd_mbs
write_speed_mb_s,sequential_write_mb_s,writeSpeedMbps,WriteMBs,wr_mbs
bus_type,bus_standard,busType,Bus,bus
interface_type,interface,interfaceType,Interface,iface
width_mm,width_millimeters,widthMm,WidthMM,w_mm
length_mm,length_millimeters,depthMm,LengthMM,l_mm
height_mm,height_millimeters,heightMm,HeightMM,h_mm
weight_g,weight_grams,weightG,WeightG,wt_g
storage_connection_type,connector,connectionType,Connector,conn
memory_type,memory_technology,memoryType,MemoryType,mem
color,colour,color,Colour,clr
form_factor,form_factor,formFactor,FormFactor,ff
Mapped,26/26,26/26,26/26,26/26
