column,type,metric,value,silver_value,pipe_value
city,categorical,column_drift,0.38835618582063147,,
city,categorical,js_divergence,0.38835618582063147,,
city,categorical,nan_rate_delta,0.05760855617063426,0.07426597582037997,0.13187453199101423
city,categorical,cardinality_delta,3440.0,874.0,4314.0
country,categorical,column_drift,0.13573097284914176,,
country,categorical,js_divergence,0.13573097284914176,,
country,categorical,nan_rate_delta,0.004686113231865704,0.002302820955670697,0.006988934187536401
country,categorical,cardinality_delta,127.0,60.0,187.0
industry,categorical,column_drift,0.4079192172558383,,
industry,categorical,js_divergence,0.4079192172558383,,
industry,categorical,nan_rate_delta,0.8285388951661309,0.008635578583765112,0.837174473749896
industry,categorical,cardinality_delta,-290.0,370.0,80.0
name,text,column_drift,0.6897277325270373,,
name,text,length_wasserstein_1,1.7448790901644247,,
name,text,token_js_divergence,0.46786740455805365,,
name,text,nan_rate_delta,0.0,0.0,0.0
name,text,cardinality_delta,10113.0,1737.0,11850.0
