entity_id,source,attribute,original_value,reason,knob,level
crossref-00004,crossref,authors,"['Faculty of Information Technology', ' Hung Yen Univ. Technology and Education', ' Viet Nam', ' Vu Khanh Quy', ' Nguyen Tien Ban', ' Nguyen Dinh Han']",cell_collision_with_prior_knob,6,medium
crossref-00195,crossref,authors,"['Genta Indra Winata', ' Chien-Sheng Wu', ' Andrea Madotto', ' Pascale",cell_collision_with_prior_knob,6,medium
crossref-00386,crossref,authors,"['Devamanyu Hazarika', ' Soujanya Poria', ' Prateek Vij', ' Gangeshwar Krishnamurthy', ' Erik Cambria', ' Roger",cell_collision_with_prior_knob,6,medium
crossref-00596,crossref,authors,"['Ge Peng', ' Jeffrey L. Privette', ' Curt Tilmes', ' Sky Bristol', ' Tom Maycock', ' John Journal Bates', ' Scott Hausman', ' Otis Brown', ' Edward J. Kearns']",cell_collision_with_prior_knob,6,medium
crossref-00672,crossref,authors,"' Sachan', ['Devendra Graham Neubig']",cell_collision_with_prior_knob,6,medium
crossref-00909,crossref,authors,"[Jingyuan Sun, Shaonan Wang, Chengqing Zong]",cell_collision_with_prior_knob,6,medium
crossref-01144,crossref,authors,"['Qian Zhang', ' Xueyun Wang', ' Shiqian Wang', Chaoying Pei']",cell_collision_with_prior_knob,6,medium
crossref-01310,crossref,authors,"['Katharina Kann', Manuel Jesus ' Mager Hois', ' Ivan Vladimir Meza Ruiz', ' Hinrich Schütze']",cell_collision_with_prior_knob,6,medium
crossref-01439,crossref,authors,"Yuting Wang, Guoqiang Zheng, Huahong Ma, Yang Li, and Jishun Li",cell_collision_with_prior_knob,6,medium
crossref-01653,crossref,authors,"['Mehmet Nazman'] Ünsal', ' Ezgi Güray",cell_collision_with_prior_knob,6,medium
crossref-02039,crossref,authors,"['Erik Journal Bekkers', ' Da Chen', ' Jorg M. Portegies']",cell_collision_with_prior_knob,6,medium
crossref-02294,crossref,authors,Mike Thelwall and Tamara Nevill,cell_collision_with_prior_knob,6,medium
crossref-02721,crossref,authors,"['Juan Sandino', ' Felipe Gonzalez', ' Kerrie Mengersen', ' Kevin Journal Gaston']",cell_collision_with_prior_knob,6,medium
crossref-03117,crossref,authors,Daniela Rus and Cynthia Sung,cell_collision_with_prior_knob,6,medium
crossref-03203,crossref,authors,"Teng Fei, Tengjiao Zhang, Weiyang Shi, and Tianwei Yu",cell_collision_with_prior_knob,6,medium
crossref-04427,crossref,authors,"['Sukho Oh', ' DongYeop Hwang', ' Kangseok ' Ki-Hyung Kim']",cell_collision_with_prior_knob,6,medium
crossref-04947,crossref,authors,"[Jian-Wei Li, Wei Gao, Yi-Hong Wu]",cell_collision_with_prior_knob,6,medium
crossref-05066,crossref,authors,Daniel L. Gardner and Theresa Jean Tanenbaum,cell_collision_with_prior_knob,6,medium
crossref-05143,crossref,authors,"Florian Brühlmann, Beat Vollenwyder, Klaus Opwis, and Elisa D. Mekler",cell_collision_with_prior_knob,6,medium
crossref-05849,crossref,authors,"Pooja Rani, G.S. Mahapatra",cell_collision_with_prior_knob,6,medium
crossref-05947,crossref,authors,"['Boyi Li', ' Xiulian Peng', ' Xu', Wang', ' Jizheng Zhangyang ' Dan Feng']",cell_collision_with_prior_knob,6,medium
crossref-06271,crossref,authors,"Barbara M. Wildemuth, Diane Kelly, Emma Boettcher, Erin Moore, and Gergana Dimitrova",cell_collision_with_prior_knob,6,medium
crossref-06455,crossref,authors,"['Andrea Carracedo Gugercin', ' Serkan Rodriguez', ' Jeff Borggaard']",cell_collision_with_prior_knob,6,medium
crossref-06613,crossref,authors,"['L. Khodayari', M. Ranjbar']",cell_collision_with_prior_knob,6,medium
crossref-07007,crossref,authors,"['Ameneh Shamekhi', Timothy ' Bickmore']",cell_collision_with_prior_knob,6,medium
crossref-07355,crossref,authors,"['Chunyang Chen', ' Ting Su', Guozhu Meng', ' Zhenchang Xing', ' Yang Liu']",cell_collision_with_prior_knob,6,medium
crossref-07783,crossref,authors,"['Alberto Petrillo', ' Pescapé', Antonio ' Stefania Santini']",cell_collision_with_prior_knob,6,medium
crossref-08088,crossref,authors,"Mao Yang, Bo Li, Zhicheng Bai, and Zhongjiang Yan",cell_collision_with_prior_knob,6,medium
crossref-08127,crossref,authors,"['R.J. Kuo', ' M. Rizki', ' Ferani E. Khasanah'] ' A.U. Zulvia',",cell_collision_with_prior_knob,6,medium
crossref-08521,crossref,authors,"['Sicong Liu', ' Nan', Lin', ' Zimu Zhou', ' Kaiming Yingyan ' Hui Liu', ' Junzhao Du']",cell_collision_with_prior_knob,6,medium
crossref-08580,crossref,authors,"Anthony Kougkas, Hariharan Devarajan, and Xian-He Sun",cell_collision_with_prior_knob,6,medium
crossref-08927,crossref,authors,"['Duri Long', ' Hannah Guthrie', Brian ' Magerko']",cell_collision_with_prior_knob,6,medium
crossref-08989,crossref,authors,<Aaron Schild>,cell_collision_with_prior_knob,6,medium
crossref-09216,crossref,authors,"['María-Teresa Lorente', ' Owen', ' Luis Montano']",cell_collision_with_prior_knob,6,medium
crossref-09234,crossref,authors,"Fadi Al Machot, Mouhannad Ali, Suneth Ranasinghe, Ahmad Haj Mosa, and Kyamakya Kyandoghere",cell_collision_with_prior_knob,6,medium
crossref-09501,crossref,authors,"Areen K. Al-Bashir, Mohammad A. Al-Abed, Hala K. Amari, Fadi M. Al-Rousan, Omar M. K. Bashmaf, Enas W. Abdulhay, Rabah M. Al Abdi, N. Arunkumar, B. R. Tapas Bapu, and Ahmad K. Al-Basheer",cell_collision_with_prior_knob,6,medium
crossref-10399,crossref,authors,"' Hedar', ['Abdel-Rahman Abdel-Monem M. Ibrahim', ' Alaa E. Abdel-Hakim', ' Adel A. Sewisy']",cell_collision_with_prior_knob,6,medium
crossref-10536,crossref,authors,"Ibraheem Shayea, Tharek Abd. Rahman, Marwan Hadri Azmi, and Arsany Arsad",cell_collision_with_prior_knob,6,medium
crossref-10928,crossref,authors,"['Luigi Marini', ' Indira Gutierrez-Polo', ' Rob Kooper', ' Sandeep Puthanveetil ' ' Maxwell Burnette', ' Jong Lee', ' Todd Nicholson', ' Yan Zhao', Satheesan', Kenton McHenry']",cell_collision_with_prior_knob,6,medium
crossref-11028,crossref,authors,"['Soohyun Jeon', ' Anat Hovav', ' Jinyoung Han', Steven Alter']",cell_collision_with_prior_knob,6,medium
crossref-11279,crossref,authors,"['Mohammed Alswaitti', ' Khairi Mohamad Ishak', ' Nor Ashidi Mat Isa']",cell_collision_with_prior_knob,6,medium
crossref-11625,crossref,authors,"Rabah AlShboul, Fadi Thabtah, Neda Abdelhamid, and Mofleh Al-diabat",cell_collision_with_prior_knob,6,medium
crossref-11654,crossref,authors,"['Hanli Zhao', ' Heyang Guo', ' Xiaogang Jin', ' Jianbing Shen', ' Xiaoyang Mao', Junru Liu']",cell_collision_with_prior_knob,6,medium
crossref-12052,crossref,authors,"['Rene Markovič', ' Marko Gosak', ' Matjaž Perc', ' Marhl', ' Vladimir Grubelnik']",cell_collision_with_prior_knob,6,medium
crossref-12165,crossref,authors,"['Hui Liu', ' Zhihong Yu', ' Chan Chen', Rui Hong', ' Kan Jin', ' Chun Yang']",cell_collision_with_prior_knob,6,medium
crossref-12734,crossref,authors,"['Xiaoyun Sun', ' Shijie Gong', ' Han', ' Mingming Wang', ' An Jin']",cell_collision_with_prior_knob,6,medium
crossref-12848,crossref,authors,"['Yang Yang', ' Xianghan Zheng', Wenzhong Guo', ' Ximeng Liu', ' Victor Chang']",cell_collision_with_prior_knob,6,medium
crossref-12874,crossref,authors,"['Ludmila I. Kuncheva', ' Juan Journal Rodríguez']",cell_collision_with_prior_knob,6,medium
