source,attribute,baseline_alignment_rate,n_cells,n_aligned
dbpedia,series,0.0,0,0
dbpedia,genres,0.0,0,0
dbpedia,releaseYear,0.0,76,0
dbpedia,developer,0.855263,76,65
dbpedia,platform,0.842105,76,64
dbpedia,name,0.881579,76,67
metacritic,ESRB,0.978022,91,89
metacritic,platform,0.956044,91,87
metacritic,name,0.967033,91,88
metacritic,genres,0.0,0,0
metacritic,developer,0.877778,90,79
metacritic,userScore,0.101124,89,9
metacritic,criticScore,0.142857,91,13
metacritic,releaseYear,0.010989,91,1
sales,ESRB,0.0,0,0
sales,userScore,0.0,0,0
sales,publisher,0.0,0,0
sales,genres,0.0,0,0
sales,platform,0.0,0,0
sales,releaseYear,0.0,0,0
sales,criticScore,0.0,0,0
sales,name,0.0,0,0
sales,developer,0.0,0,0
sales,globalSales,0.0,0,0
