source,attribute,null_rate
dbpedia,franchise,0.476449119793903
dbpedia,genre,0.004637183340489481
dbpedia,launch_yr,0.0302490339201374
dbpedia,studio,0.026212966938600257
dbpedia,system,0.008802060970373551
dbpedia,title,0.0
metacritic,age_rating,0.11105689470088806
metacritic,console,0.0
metacritic,game_title,0.0
metacritic,genres,0.0
metacritic,made_by,0.0009271006148140919
metacritic,player_rating,0.06894700888064799
metacritic,press_rating,0.0004879476920074168
metacritic,year_published,0.0
sales,age_classification,0.0
sales,comm_rating,0.13355338326774152
sales,dist,0.00012695188523549576
sales,genre,0.0
sales,hw,0.0
sales,launch_dt,0.0
sales,press_score,0.0
sales,prod_title,0.0
sales,studio,0.0
sales,units_sold_mm,0.0
