silver_cluster_id,pipe_cluster_id,name,releaseYear,developer,publisher,platform,criticScore,userScore,ESRB,n_attributes_correct,fully_correct
metacritic_10077,metacritic_10077,True,False,True,False,True,False,False,True,4,False
metacritic_10433,dbpedia_40500,True,False,True,True,True,False,False,True,5,False
metacritic_10504,metacritic_10504,True,False,False,False,True,False,False,True,3,False
metacritic_1123,metacritic_1123,True,False,True,False,True,False,False,True,4,False
metacritic_12133,metacritic_12133,True,False,True,False,True,False,False,True,4,False
metacritic_12202,dbpedia_22182,False,False,True,False,False,False,False,True,2,False
metacritic_12246,dbpedia_12989,True,False,True,False,True,True,True,False,5,False
metacritic_12329,metacritic_12329,True,False,True,False,True,False,False,False,3,False
metacritic_12545,dbpedia_58939,True,False,False,False,True,False,False,True,3,False
metacritic_12588,metacritic_12588,False,False,True,False,True,False,False,True,3,False
metacritic_12840,metacritic_12840,True,False,True,False,True,False,False,False,3,False
metacritic_13063,dbpedia_31523,True,False,True,False,True,False,False,False,3,False
metacritic_13124,dbpedia_15018,True,False,False,False,False,False,False,True,2,False
metacritic_13227,dbpedia_17541,True,False,True,False,True,False,False,True,4,False
metacritic_13385,dbpedia_1770,True,False,True,False,True,False,False,True,4,False
metacritic_13557,dbpedia_16438,True,False,False,False,False,False,False,True,2,False
metacritic_13588,dbpedia_38090,True,False,True,False,True,False,False,True,4,False
metacritic_13593,dbpedia_14401,False,False,True,False,True,False,False,True,3,False
metacritic_13940,dbpedia_29556,True,False,False,False,True,False,False,True,3,False
metacritic_14138,dbpedia_9655,True,False,True,True,True,False,True,True,6,False
metacritic_14164,dbpedia_64698,True,False,True,True,True,False,True,True,6,False
metacritic_14340,dbpedia_6432,True,False,True,False,True,True,False,True,5,False
metacritic_14352,metacritic_14352,False,False,True,False,True,False,False,True,3,False
metacritic_14580,metacritic_14580,True,False,False,False,True,True,True,True,5,False
metacritic_14712,metacritic_14712,True,False,False,False,True,False,False,True,3,False
metacritic_15253,dbpedia_7756,True,False,False,True,True,False,False,True,4,False
metacritic_15356,dbpedia_60293,True,False,False,False,True,False,False,False,2,False
metacritic_15443,metacritic_15443,True,False,False,False,False,False,False,False,1,False
metacritic_15495,dbpedia_3350,False,False,True,True,True,False,False,True,4,False
metacritic_16320,metacritic_16320,True,False,False,False,False,False,False,True,2,False
metacritic_16496,metacritic_16496,True,False,True,False,True,True,False,True,5,False
metacritic_16635,metacritic_16635,True,False,True,False,True,False,False,False,3,False
metacritic_16979,dbpedia_12574,True,False,False,True,True,False,False,False,3,False
metacritic_17161,metacritic_17161,True,False,False,False,True,True,False,False,3,False
metacritic_1733,dbpedia_26723,True,False,True,False,True,True,False,True,5,False
metacritic_17458,metacritic_17458,True,False,False,False,True,True,False,True,4,False
metacritic_17460,dbpedia_32781,True,False,True,False,False,True,False,True,4,False
metacritic_17606,dbpedia_53216,True,False,False,True,True,True,False,False,4,False
metacritic_17758,metacritic_17758,False,False,False,False,True,False,False,True,2,False
metacritic_17779,dbpedia_5,True,False,False,True,True,False,False,True,4,False
metacritic_1789,metacritic_1789,True,False,False,False,False,False,False,True,2,False
metacritic_17978,metacritic_17978,True,False,False,False,True,False,False,True,3,False
metacritic_17987,dbpedia_8927,True,False,False,False,True,False,False,False,2,False
metacritic_18136,metacritic_18136,True,False,True,False,True,True,False,True,5,False
metacritic_18194,metacritic_18194,True,False,True,False,False,False,False,False,2,False
metacritic_18314,metacritic_18314,False,False,False,False,True,False,False,True,2,False
metacritic_19362,metacritic_19362,True,False,True,False,True,False,False,True,4,False
metacritic_19481,dbpedia_52825,True,True,False,False,True,True,False,False,4,False
metacritic_19568,dbpedia_30631,True,False,True,False,True,True,True,True,6,False
metacritic_19962,metacritic_19962,True,False,True,False,True,False,False,True,4,False
metacritic_20220,metacritic_20220,True,False,True,False,True,False,False,False,3,False
metacritic_20407,dbpedia_4171,True,False,True,False,True,False,False,True,4,False
metacritic_20427,dbpedia_8338,True,False,True,False,True,True,False,True,5,False
metacritic_20465,dbpedia_757,True,False,True,False,True,False,False,True,4,False
metacritic_2510,dbpedia_17775,True,False,True,False,True,False,True,True,5,False
metacritic_2752,dbpedia_47187,True,False,True,False,True,False,False,True,4,False
metacritic_3124,dbpedia_46522,True,True,False,False,True,True,False,False,4,False
metacritic_3855,metacritic_3855,True,False,True,False,True,False,False,True,4,False
metacritic_4185,dbpedia_8780,True,False,True,False,False,False,False,True,3,False
metacritic_4501,dbpedia_10888,True,False,True,True,True,False,False,True,5,False
metacritic_4515,dbpedia_13389,True,False,True,False,True,False,False,True,4,False
metacritic_4639,dbpedia_15895,True,False,True,False,True,False,False,False,3,False
metacritic_470,metacritic_470,False,False,True,False,True,False,True,True,4,False
metacritic_4748,dbpedia_37580,True,False,True,False,True,True,False,False,4,False
metacritic_4932,metacritic_4932,False,False,True,False,True,False,False,False,2,False
metacritic_5020,dbpedia_33163,True,False,True,False,False,False,False,True,3,False
metacritic_5189,dbpedia_27418,True,False,True,True,False,False,False,True,4,False
metacritic_5286,dbpedia_45453,True,False,False,False,False,True,False,True,3,False
metacritic_6150,dbpedia_25715,False,False,False,False,True,False,False,True,2,False
metacritic_6428,metacritic_6428,True,False,True,False,True,False,False,True,4,False
metacritic_6785,dbpedia_23381,True,False,True,True,True,False,False,True,5,False
metacritic_6832,metacritic_6832,True,False,True,False,True,False,False,True,4,False
metacritic_696,dbpedia_21319,True,False,False,False,True,False,False,True,3,False
metacritic_703,dbpedia_3537,True,False,True,False,True,False,False,True,4,False
metacritic_7259,metacritic_7259,True,False,True,False,True,False,False,True,4,False
metacritic_780,dbpedia_32686,True,False,False,False,True,False,False,True,3,False
metacritic_8195,dbpedia_14472,False,False,False,False,True,False,False,True,2,False
metacritic_8244,metacritic_8244,True,False,True,False,True,True,True,True,6,False
metacritic_832,dbpedia_36888,True,False,False,False,False,False,False,True,2,False
metacritic_8409,metacritic_8409,True,False,True,False,True,False,False,False,3,False
metacritic_8617,dbpedia_48474,True,False,True,False,True,False,False,True,4,False
metacritic_8878,metacritic_8878,True,True,False,False,False,True,False,True,4,False
metacritic_9340,dbpedia_10357,True,False,True,False,True,False,False,True,4,False
metacritic_9865,dbpedia_11644,True,False,True,False,True,True,False,False,4,False
