source_dataset,source_column,target_dataset,target_column,score
dbpedia,id,games,id,1.0
dbpedia,name,games,name,1.0
dbpedia,releaseYear,games,releaseYear,1.0
dbpedia,developer,games,developer,1.0
dbpedia,platform,games,platform,1.0
dbpedia,genres,games,genres,1.0
dbpedia,series,games,series,1.0
metacritic,id,games,id,1.0
metacritic,name,games,name,1.0
metacritic,releaseYear,games,releaseYear,1.0
metacritic,developer,games,developer,1.0
metacritic,platform,games,platform,1.0
metacritic,genres,games,genres,1.0
metacritic,criticScore,games,criticScore,1.0
metacritic,userScore,games,userScore,1.0
metacritic,ESRB,games,ESRB,1.0
sales,id,games,id,1.0
sales,name,games,name,1.0
sales,releaseYear,games,releaseYear,1.0
sales,developer,games,developer,1.0
sales,publisher,games,publisher,1.0
sales,platform,games,platform,1.0
sales,genres,games,genres,1.0
sales,criticScore,games,criticScore,1.0
sales,userScore,games,userScore,1.0
sales,ESRB,games,ESRB,1.0
sales,globalSales,games,globalSales,1.0
