variant,model,train_total,train_positives,train_negatives,val_f1,val_precision,val_recall,tokens_used,test_f1,test_precision,test_recall,f1,precision,recall
faiss_small,rf,100,34,66,0.9849246231155778,0.98989898989899,0.98,0,0.8860759493670886,0.8467741935483871,0.9292035398230089,0.9849246231155778,0.98989898989899,0.98
faiss_small,hist_gb,100,34,66,0.9849246231155778,0.98989898989899,0.98,0,,,,0.9849246231155778,0.98989898989899,0.98
faiss_small,gb,100,34,66,0.9801980198019802,0.9705882352941176,0.99,0,,,,0.9801980198019802,0.9705882352941176,0.99
faiss_small,xgb,100,34,66,0.9801980198019802,0.9705882352941176,0.99,0,,,,0.9801980198019802,0.9705882352941176,0.99
faiss_small,logreg,100,34,66,0.9696969696969697,0.9795918367346939,0.96,0,,,,0.9696969696969697,0.9795918367346939,0.96
faiss_large,hist_gb,600,200,400,1.0,1.0,1.0,0,0.8823529411764706,0.84,0.9292035398230089,1.0,1.0,1.0
faiss_large,xgb,600,200,400,1.0,1.0,1.0,0,,,,1.0,1.0,1.0
faiss_large,rf,600,200,400,0.9950248756218906,0.9900990099009901,1.0,0,,,,0.9950248756218906,0.9900990099009901,1.0
faiss_large,logreg,600,200,400,0.99009900990099,0.9803921568627451,1.0,0,,,,0.99009900990099,0.9803921568627451,1.0
faiss_large,gb,600,200,400,0.99009900990099,0.9803921568627451,1.0,0,,,,0.99009900990099,0.9803921568627451,1.0
active,rf,1479,211,1268,1.0,1.0,1.0,0,0.8755364806866953,0.85,0.9026548672566371,1.0,1.0,1.0
active,hist_gb,1479,211,1268,1.0,1.0,1.0,0,,,,1.0,1.0,1.0
active,gb,1479,211,1268,0.9949748743718593,1.0,0.99,0,,,,0.9949748743718593,1.0,0.99
active,logreg,1479,211,1268,0.99009900990099,0.9803921568627451,1.0,0,,,,0.99009900990099,0.9803921568627451,1.0
active,xgb,1479,211,1268,0.9849246231155778,0.98989898989899,0.98,0,,,,0.9849246231155778,0.98989898989899,0.98
